服务区编号,boxes,mass_kg,volume_m3,first_boxes,hard_boxes,earliest_hard_s
S001,15,154,0.394,2,3,3600.0
S002,8,81,0.21100000000000002,2,2,3600.0
S003,8,81,0.21100000000000002,2,2,7200.0
S004,6,59,0.156,2,2,7200.0
S005,6,59,0.156,2,2,10800.0
S006,6,59,0.156,2,2,3600.0
S007,5,45,0.129,2,2,3600.0
S008,5,45,0.129,2,2,7200.0
S009,3,25,0.067,2,2,10800.0
S010,3,25,0.067,2,2,3600.0
S011,3,25,0.067,2,2,10800.0
S012,3,25,0.067,2,2,3600.0
S013,3,25,0.067,2,2,3600.0
S014,3,25,0.067,2,2,3600.0
S015,3,25,0.067,2,2,7200.0
