node_id,name,lon,lat,ground_m,population,operation_m,x_m,y_m,dem_row,dem_col,dem_pixel_m,dem_minus_given_m
O01,凤丹村无人机调度中心,109.2308517,23.0085095,127.7,0,127.7,0.0,0.0,778,713,128.72554,1.0255401611328097
S001,平旺、那龙、镇龙乡,109.2432319,23.0335927,154.0,2100,184.0,1269.1699219010623,2777.817111438484,688,758,153.96136,-0.03863525390625
S002,上良,109.2585519,23.0703271,189.5,330,219.5,2839.716698490673,6845.936207025278,556,813,188.79424,-0.7057647705078125
S003,六造、那旭、都长,109.1688578,23.0402714,308.5,275,338.5,-6355.3733559535785,3517.443919109309,664,490,308.51068,0.01068115234375
S004,大站,109.2381714,23.0778414,198.3,188,228.3,750.3871566968317,7678.1008080523625,529,739,195.11575,-3.1842468261718864
S005,上良、古律、那麓,109.2283003,23.0561338,165.0,126,195.0,-261.55959828932436,5274.111575089368,607,704,169.03955,4.03955078125
S006,六昌、木路,109.1997836,23.007714,284.8,121,314.8,-3184.980699070063,-88.09695382351546,781,601,275.12723,-9.672772216796886
S007,佛子、那桑、银坑,109.1928191,23.0294186,318.5,76,348.5,-3898.954134159564,2315.560046755532,703,576,314.22205,-4.2779541015625
S008,古麻、大站,109.2127472,23.0795113,240.9,55,270.9,-1856.0028796848846,7863.032427398767,523,648,248.28918,7.389184570312494
S009,那龙,109.2541424,23.0552989,200.0,45,230.0,2387.6719196811728,5181.651302622434,610,797,189.43709,-10.562911987304688
S010,镇龙乡,109.2760168,23.0194009,321.6,31,351.6,4630.150275412627,1206.1585956945476,739,876,321.58167,-0.018334960937522737
S011,那从,109.2203356,23.0319231,182.1,30,212.1,-1078.0696447321873,2592.918715330475,694,675,178.04286,-4.057138061523432
S012,镇龙乡,109.2831357,23.054464,249.8,16,279.8,5359.952197597735,5089.1910301555,613,901,253.31508,3.515078735351551
S013,镇龙乡,109.2713839,23.0310882,321.7,14,351.7,4155.203398046757,2500.458442863541,697,859,321.70807,0.008068847656261369
S014,镇龙乡,109.2835966,23.0052097,321.0,12,351.0,5407.201871835279,-365.43347357259984,790,903,320.9825,-0.017486572265625
S015,六造、那托、那旭,109.1923786,23.0494548,444.5,3,474.5,-3944.112479791533,4534.451544180149,631,575,436.22925,-8.270751953125
