zone,operation_asl_m,distance_3d_km,min_terrain_clearance_m,terrain_blocked,link_margin_db,direct_available
S001,184.0,3.0542393300556507,-52.496814839407534,True,2.24771385877267,True
S002,219.5,7.411881590955594,-51.33815298939183,True,-5.452794286226634,False
S003,338.5,7.266332421355612,-276.4180213237336,True,-5.280530077345318,False
S004,228.3,7.715102673558524,-138.90414415754694,True,-5.801059035898405,False
S005,195.0,5.280805205643257,-98.67631283559098,True,-2.508227791369876,False
S006,314.8,3.1905776180374943,-35.91210749517262,True,1.8683888800624544,True
S007,348.5,4.539160969872123,-168.25168518084178,True,-1.1937365176753048,False
S008,270.9,8.080049745126768,-97.43352378124683,True,-6.202505524891052,False
S009,230.0,5.705897011689112,-47.68800638521219,True,-3.1807034065250974,False
S010,351.6,4.789017158130827,-114.67965124565055,True,-1.6591526950182356,False
S011,212.1,2.808844777342462,-47.36696590018866,True,2.9752203689650543,True
S012,279.8,7.392320563391984,-154.25784511973808,True,-5.42984066485198,False
S013,351.7,4.853825677095014,-33.62719104260762,True,-1.775908330041716,False
S014,351.0,5.4233480983969935,-217.12279679748497,True,-2.739574445940306,False
S015,474.5,6.018643725937353,-126.08718235335323,True,-3.6441975540626004,False
