zone,vehicle,candidate_patterns,labelled_candidates,retained_patterns
S001,A,13,82,0
S001,B,19,187,19
S001,C,169,18063,150
S002,A,9,24,0
S002,B,14,45,14
S002,C,53,247,39
S003,A,9,24,0
S003,B,14,45,14
S003,C,53,247,39
S004,A,8,14,0
S004,B,12,24,12
S004,C,31,63,19
S005,A,8,14,0
S005,B,12,24,12
S005,C,31,63,19
S006,A,8,14,0
S006,B,12,24,12
S006,C,31,63,19
S007,A,8,11,0
S007,B,12,17,12
S007,C,23,31,11
S008,A,8,11,0
S008,B,12,17,12
S008,C,23,31,11
S009,A,6,6,0
S009,B,7,7,7
S009,C,7,7,0
S010,A,6,6,0
S010,B,7,7,7
S010,C,7,7,0
S011,A,6,6,0
S011,B,7,7,7
S011,C,7,7,0
S012,A,6,6,0
S012,B,7,7,7
S012,C,7,7,0
S013,A,6,6,0
S013,B,7,7,7
S013,C,7,7,0
S014,A,6,6,0
S014,B,7,7,7
S014,C,7,7,0
S015,A,6,6,0
S015,B,7,7,7
S015,C,7,7,0
