pattern,zone,vehicle,nbox,mass,volume,combinations,ub,prep_load_s,handoff_s,operation_s,battery,rho_crit,energy,horizontal_energy,climb_energy,out_s,back_s,fly_s,counts
P00001,S001,A,1,14.0,0.027,8,8,330.0,180.0,1190.9069627433817,4.5,0.7289905357101161,1.2195425893044773,1.1497374831495057,0.06980510615497167,338.57681470502416,342.33014803835744,680.9069627433817,"{""S001:T3"": 1}"
P00002,S001,B,1,14.0,0.027,8,8,330.0,180.0,1089.1061758262158,4.0,0.7482528485808796,1.0069886056764816,0.9416194441401589,0.0653691615363227,287.6764212464412,291.4297545797745,579.1061758262157,"{""S001:T3"": 1}"
P00003,S001,C,1,14.0,0.027,8,8,330.0,216.0,1164.1750458620231,8.0,0.7515402254649933,1.9876781962800534,1.9179618090174546,0.06971638726259868,306.2725229310115,311.9025229310115,618.175045862023,"{""S001:T3"": 1}"
P00004,S001,B,2,28.0,0.054,28,4,360.0,210.0,1149.1061758262158,4.0,0.6948913916721438,1.220434433311425,1.147363390281216,0.07307104303020902,287.6764212464412,291.4297545797745,579.1061758262157,"{""S001:T3"": 2}"
P00005,S001,C,2,28.0,0.054,28,4,360.0,252.0,1230.1750458620231,8.0,0.740657870784402,2.074737033724784,1.997318764968299,0.077418268756485,306.2725229310115,311.9025229310115,618.175045862023,"{""S001:T3"": 2}"
P00006,S001,C,3,42.0,0.081,56,2,390.0,288.0,1296.1750458620231,8.0,0.7241776109050189,2.206579112759849,2.121458962509478,0.0851201502503713,306.2725229310115,311.9025229310115,618.175045862023,"{""S001:T3"": 3}"
P00007,S001,C,4,56.0,0.108,70,2,420.0,324.0,1362.1750458620231,8.0,0.6993674925745017,2.4050600594039864,2.3122380276597285,0.09282203174425764,306.2725229310115,311.9025229310115,618.175045862023,"{""S001:T3"": 4}"
P00008,S001,C,5,70.0,0.135,56,1,450.0,360.0,1428.1750458620231,8.0,0.6599461370338009,2.7204309037295924,2.6199069904914483,0.10052391323814394,306.2725229310115,311.9025229310115,618.175045862023,"{""S001:T3"": 5}"
P00009,S001,A,1,8.0,0.028,3,3,330.0,180.0,1190.9069627433817,4.5,0.7363105460388388,1.1866025428252254,1.1200982430247763,0.06650429980044896,338.57681470502416,342.33014803835744,680.9069627433817,"{""S001:T2"": 1}"
P00010,S001,B,1,8.0,0.028,3,3,330.0,180.0,1089.1061758262158,4.0,0.7594975371024748,0.9620098515901009,0.8999414964083009,0.06206835518179999,287.6764212464412,291.4297545797745,579.1061758262157,"{""S001:T2"": 1}"
