zone,vehicle,rho,eta,safe_load_kg,status,capacity_kg,energy_empty,energy_full
S001,A,0.2,0.72,25.0,额定载荷受限,25.0,1.1615517233664772,1.3127361455151625
S001,B,0.2,0.72,30.0,额定载荷受限,30.0,0.930245453618144,1.2739663004816482
S001,C,0.2,0.72,80.0,额定载荷受限,80.0,1.9414136488548521,3.081740567048736
S002,A,0.2,0.72,25.0,额定载荷受限,25.0,2.73987112859314,3.090540075318948
S002,B,0.2,0.72,30.0,额定载荷受限,30.0,2.1841772627204414,2.998850081486445
S002,C,0.2,0.72,68.85749310387786,能量受限,80.0,4.63256038548019,7.347990745717291
S003,A,0.2,0.72,25.0,额定载荷受限,25.0,2.7891452482805166,3.1570915512935365
S003,B,0.2,0.72,30.0,额定载荷受限,30.0,2.2371061349689914,3.0646622174430327
S003,C,0.2,0.72,68.19802549288038,能量受限,80.0,4.643966093892555,7.382930809630359
S004,A,0.2,0.72,25.0,额定载荷受限,25.0,2.893981562007727,3.2667401259537403
S004,B,0.2,0.72,30.0,额定载荷受限,30.0,2.3125554847589735,3.1698459861254147
S004,C,0.2,0.72,63.69716434385203,能量受限,80.0,4.864025858246008,7.715312004474946
S005,A,0.2,0.72,25.0,额定载荷受限,25.0,1.9884729587543268,2.244901298268384
S005,B,0.2,0.72,30.0,额定载荷受限,30.0,1.589953212343397,2.178293038804701
S005,C,0.2,0.72,80.0,额定载荷受限,80.0,3.33693032340582,5.292693184380704
S006,A,0.2,0.72,25.0,额定载荷受限,25.0,1.223780823949235,1.3897165123134827
S006,B,0.2,0.72,30.0,额定载荷受限,30.0,0.9816096779815344,1.3500562144578478
S006,C,0.2,0.72,80.0,额定载荷受限,80.0,2.0373773506284674,3.2533226092430207
S007,A,0.2,0.72,25.0,额定载荷受限,25.0,1.7776129998064611,2.018034462303186
S007,B,0.2,0.72,30.0,额定载荷受限,30.0,1.4303829416098366,1.9598765342445654
S007,C,0.2,0.72,80.0,额定载荷受限,80.0,2.9355027457002585,4.679699386493309
S008,A,0.2,0.72,25.0,额定载荷受限,25.0,3.000468595262548,3.387229795682003
S008,B,0.2,0.72,28.800804934110722,能量受限,30.0,2.39373547380264,3.2871959267273168
S008,C,0.2,0.72,58.90317318333288,能量受限,80.0,5.063617697256651,8.038055128410255
S009,A,0.2,0.72,25.0,额定载荷受限,25.0,2.1145141783701575,2.3869148572931285
S009,B,0.2,0.72,30.0,额定载荷受限,30.0,1.6863627125079372,2.3164396532358267
S009,C,0.2,0.72,80.0,额定载荷受限,80.0,3.571474326255206,5.6696504499998355
S010,A,0.2,0.72,25.0,额定载荷受限,25.0,1.8263284657936716,2.0707751748126513
S010,B,0.2,0.72,30.0,额定载荷受限,30.0,1.4634779565042653,2.011085281088382
S010,C,0.2,0.72,80.0,额定载荷受限,80.0,3.0481123733965703,4.8589241771418905
S011,A,0.2,0.72,25.0,额定载荷受限,25.0,1.0773956135567522,1.2196242313977304
S011,B,0.2,0.72,30.0,额定载荷受限,30.0,0.8640450439874932,1.1839501833112869
S011,C,0.2,0.72,80.0,额定载荷受限,80.0,1.7944478220606963,2.8532502750832576
S012,A,0.2,0.72,25.0,额定载荷受限,25.0,2.7718433814834107,3.131467699596223
S012,B,0.2,0.72,30.0,额定载荷受限,30.0,2.2148563320552768,3.0391918195700405
S012,C,0.2,0.72,68.10876696681639,能量受限,80.0,4.65926825067979,7.398971687167174
S013,A,0.2,0.72,25.0,额定载荷受限,25.0,1.8303364839614134,2.0742527246961613
S013,B,0.2,0.72,30.0,额定载荷受限,30.0,1.464049230743229,2.0144669638952335
S013,C,0.2,0.72,80.0,额定载荷受限,80.0,3.0687128694734085,4.891770916453756
S014,A,0.2,0.72,25.0,额定载荷受限,25.0,2.1378607115981425,2.425666030215998
S014,B,0.2,0.72,30.0,额定载荷受限,30.0,1.7219217547725332,2.3552977804822923
S014,C,0.2,0.72,80.0,额定载荷受限,80.0,3.521660008487986,5.6076983700833685
S015,A,0.2,0.72,25.0,额定载荷受限,25.0,2.3069483694272277,2.619407597594029
S015,B,0.2,0.72,30.0,额定载荷受限,30.0,1.8502634768460056,2.5445906277755954
S015,C,0.2,0.72,80.0,额定载荷受限,80.0,3.8415449606814347,6.133359846106891
