rho,candidate_patterns,labelled_candidates,retained_patterns,baseline_still_feasible,feasible,n_A,n_B,n_C,N,E_kWh,T_s,max_regret,min_return_soc
0.0,742,19539,473,True,True,0.0,9.0,9.0,18.0,59.133133080893884,32776.5167822769,0.0,0.2308849309656894
0.1,742,19539,473,True,True,0.0,9.0,9.0,18.0,59.133133080893884,32776.5167822769,0.0,0.2308849309656894
0.15,738,19535,469,True,True,0.0,9.0,9.0,18.0,59.133133080893884,32776.5167822769,0.0,0.2308849309656894
0.2,732,19525,463,True,True,0.0,9.0,9.0,18.0,59.133133080893884,32776.5167822769,0.0,0.2308849309656894
0.2308839309656894,725,19510,457,True,True,0.0,9.0,9.0,18.0,59.133133080893884,32776.5167822769,0.0,0.2308849309656894
0.2308859309656894,724,19509,456,False,True,0.0,10.0,9.0,19.0,61.07522091639775,34566.15844562942,0.05980611006608605,0.27049171281181383
0.25,717,19492,450,False,True,0.0,10.0,9.0,19.0,61.07522091639775,34566.15844562942,0.059806110066087825,0.27049171281181383
0.3,682,19373,423,False,True,0.0,11.0,10.0,21.0,67.02329489638151,38262.6582933337,0.5925910198012261,0.3101886629129703
0.32,659,19294,410,False,True,0.0,12.0,10.0,22.0,69.01552116486616,40005.485107482884,0.9587274484307713,0.32041833475351233
0.34,628,19157,390,False,True,0.0,13.0,11.0,24.0,75.73436670793888,43797.349575116576,1.4046723343742684,0.34373653922648617
0.35,612,19104,381,False,True,0.0,17.0,9.0,26.0,75.42248153723959,47009.18417964014,0.7796297396952809,0.3511788903068387
0.35267099785647654,607,19091,379,False,True,0.0,17.0,10.0,27.0,80.41300793929376,48883.152342423,0.5044230824034912,0.3526719978564765
0.3526719978564765,607,19091,379,False,True,0.0,17.0,10.0,27.0,80.41300793929376,48883.152342423,0.5044230824034912,0.3526719978564765
0.3526729978564765,605,19088,377,False,False,,,,,,,,
0.36,589,19019,370,False,False,,,,,,,,
0.4,510,18785,324,False,False,,,,,,,,
