架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
Q1-001,,C,,,O01→S001→O01,,2.9176235505114585
Q1-002,,C,,,O01→S001→O01,,2.9958116355581934
Q1-003,,C,,,O01→S002→O01,,5.7213937786974585
Q1-004,,B,,,O01→S002→O01,,2.713501539552739
Q1-005,,C,,,O01→S003→O01,,5.765455505147942
Q1-006,,B,,,O01→S003→O01,,2.7801472884277274
Q1-007,,C,,,O01→S004→O01,,6.152920552274485
Q1-008,,C,,,O01→S005→O01,,4.222182349592158
Q1-009,,C,,,O01→S006→O01,,2.59798064071706
Q1-010,,C,,,O01→S007→O01,,3.411075641855823
Q1-011,,C,,,O01→S008→O01,,5.836066297505489
Q1-012,,B,,,O01→S009→O01,,2.096289967733762
Q1-013,,B,,,O01→S010→O01,,1.8232594430204312
Q1-014,,B,,,O01→S011→O01,,1.073963183411491
Q1-015,,B,,,O01→S012→O01,,2.7526443904556688
Q1-016,,B,,,O01→S013→O01,,1.8248637585718628
Q1-017,,B,,,O01→S014→O01,,2.1403652207656543
Q1-018,,B,,,O01→S015→O01,,2.3075883370944723
