index,N,E_kWh,T_s,B_sorties,C_sorties,patterns
1,8.0,18.872556387211368,15684.877320304502,8.0,0.0,P00284:4;P00291:2;P00307:1;P00326:1
2,7.0,16.6584423163676,13784.26765526644,7.0,0.0,P00284:4;P00291:2;P00349:1
3,7.0,16.665236277115465,13784.267655266438,7.0,0.0,P00284:4;P00291:1;P00307:1;P00335:1
4,7.0,16.693216076539752,13784.267655266438,7.0,0.0,P00284:4;P00291:1;P00314:1;P00326:1
5,6.0,16.808956446362043,12041.226036289574,5.0,1.0,P00284:4;P00291:1;P00355:1
6,7.0,16.713209947872638,13784.267655266438,7.0,0.0,P00284:4;P00300:1;P00307:1;P00326:1
7,6.0,14.49909587702887,11883.657990228376,6.0,0.0,P00284:4;P00300:1;P00349:1
8,6.0,14.539832343224488,11883.657990228376,6.0,0.0,P00284:4;P00307:1;P00342:1
9,6.0,14.48589596644385,11883.657990228376,6.0,0.0,P00284:4;P00314:1;P00335:1
10,6.0,16.821842877807853,12041.226036289574,5.0,1.0,P00284:4;P00320:1;P00326:1
11,5.0,14.61438197605143,10146.616371251512,4.0,1.0,P00284:4;P00360:1
12,7.0,16.689129418819007,13784.267655266438,7.0,0.0,P00284:3;P00291:2;P00307:1;P00329:1
13,7.0,16.74560928884464,13784.267655266438,7.0,0.0,P00284:3;P00291:2;P00309:1;P00326:1
14,6.0,16.78768833509889,12041.226036289574,5.0,1.0,P00284:3;P00291:2;P00351:1
15,7.0,16.78828407736652,13784.267655266438,7.0,0.0,P00284:3;P00291:1;P00294:1;P00307:1;P00326:1
16,6.0,14.57417000652275,11883.657990228376,6.0,0.0,P00284:3;P00291:1;P00294:1;P00349:1
17,6.0,14.656761539327233,11883.657990228376,6.0,0.0,P00284:3;P00291:1;P00307:1;P00337:1
18,6.0,14.538289178748737,11883.657990228376,6.0,0.0,P00284:3;P00291:1;P00309:1;P00335:1
19,6.0,14.509789108147391,11883.657990228376,6.0,0.0,P00284:3;P00291:1;P00314:1;P00329:1
20,6.0,16.81501350742225,12041.226036289574,5.0,1.0,P00284:3;P00291:1;P00316:1;P00326:1
21,5.0,14.616817810189476,10146.616371251512,4.0,1.0,P00284:3;P00291:1;P00356:1
22,6.0,14.580963967270618,11883.657990228377,6.0,0.0,P00284:3;P00294:1;P00307:1;P00335:1
23,6.0,14.608943766694903,11883.657990228376,6.0,0.0,P00284:3;P00294:1;P00314:1;P00326:1
24,5.0,14.724684136517194,10140.616371251512,4.0,1.0,P00284:3;P00294:1;P00355:1
25,6.0,14.529782979480276,11883.657990228377,6.0,0.0,P00284:3;P00300:1;P00307:1;P00329:1
26,6.0,14.586262849505909,11883.657990228376,6.0,0.0,P00284:3;P00300:1;P00309:1;P00326:1
27,5.0,14.628341895760155,10140.616371251512,4.0,1.0,P00284:3;P00300:1;P00351:1
28,6.0,16.826189320390014,12041.226036289574,5.0,1.0,P00284:3;P00302:1;P00307:1;P00326:1
29,5.0,14.612075249546248,10140.616371251512,4.0,1.0,P00284:3;P00302:1;P00349:1
30,5.0,14.631358907494956,10146.616371251512,4.0,1.0,P00284:3;P00307:1;P00344:1
31,5.0,12.412885244857758,9983.048325190313,5.0,0.0,P00284:3;P00309:1;P00342:1
32,5.0,12.477421228655617,9983.048325190313,5.0,0.0,P00284:3;P00314:1;P00337:1
33,5.0,14.607693397326349,10140.616371251512,4.0,1.0,P00284:3;P00316:1;P00335:1
34,5.0,14.63841590941549,10140.616371251512,4.0,1.0,P00284:3;P00320:1;P00329:1
35,5.0,14.666164413694535,10146.616371251512,4.0,1.0,P00284:3;P00321:1;P00326:1
