index,N,E_kWh,T_s,B_sorties,C_sorties,patterns
1,22.0,65.80703883329497,39786.01399355459,5.0,0.0,P00561:2;P00566:1;P00573:1;P00583:1
2,21.0,63.438876026123516,38004.17224637888,4.0,0.0,P00561:2;P00566:1;P00596:1
3,21.0,63.44643253311499,38004.17224637888,4.0,0.0,P00561:2;P00573:1;P00590:1
4,21.0,63.4775527526476,38004.17224637888,4.0,0.0,P00561:2;P00578:1;P00583:1
5,20.0,63.69362364096695,36328.20027662831,2.0,1.0,P00561:2;P00600:1
6,21.0,63.47300741322269,38004.17224637888,4.0,0.0,P00561:1;P00566:1;P00573:1;P00586:1
7,21.0,63.53582651809608,38004.17224637888,4.0,0.0,P00561:1;P00566:1;P00575:1;P00583:1
8,20.0,63.66996842165973,36328.20027662831,2.0,1.0,P00561:1;P00566:1;P00598:1
9,21.0,63.58329107519208,38004.17224637888,4.0,0.0,P00561:1;P00569:1;P00573:1;P00583:1
10,20.0,61.21512826802062,36222.33049920318,3.0,0.0,P00561:1;P00569:1;P00596:1
11,20.0,61.306989778299325,36222.33049920318,3.0,0.0,P00561:1;P00573:1;P00592:1
12,20.0,61.1752202179161,36222.33049920318,3.0,0.0,P00561:1;P00575:1;P00590:1
13,20.0,61.14352133257531,36222.33049920318,3.0,0.0,P00561:1;P00578:1;P00586:1
14,20.0,63.70036053950785,36328.20027662831,2.0,1.0,P00561:1;P00580:1;P00583:1
15,19.0,61.349902765666485,34552.358529452606,1.0,1.0,P00561:1;P00601:1
16,21.0,63.77493645620797,38004.17224637888,4.0,0.0,P00563:1;P00566:1;P00573:1;P00583:1
17,20.0,61.40677364903651,36222.33049920318,3.0,0.0,P00563:1;P00566:1;P00596:1
18,20.0,61.41433015602798,36222.33049920318,3.0,0.0,P00563:1;P00573:1;P00590:1
19,20.0,61.44545037556059,36222.33049920318,3.0,0.0,P00563:1;P00578:1;P00583:1
20,19.0,61.66152126387995,34546.358529452606,1.0,1.0,P00563:1;P00600:1
21,20.0,63.679388846313856,36328.20027662831,2.0,1.0,P00566:1;P00573:1;P00588:1
22,20.0,61.201795098023794,36222.33049920318,3.0,0.0,P00566:1;P00575:1;P00586:1
23,20.0,63.714059838056976,36328.20027662831,2.0,1.0,P00566:1;P00577:1;P00583:1
24,19.0,61.375433682803205,34552.358529452606,1.0,1.0,P00566:1;P00599:1
25,20.0,61.24925965511979,36222.33049920318,3.0,0.0,P00569:1;P00573:1;P00586:1
26,20.0,61.31207875999319,36222.33049920318,3.0,0.0,P00569:1;P00575:1;P00583:1
27,19.0,61.44622066355684,34546.358529452606,1.0,1.0,P00569:1;P00598:1
28,20.0,63.73427405513823,36328.20027662831,2.0,1.0,P00571:1;P00573:1;P00583:1
29,19.0,61.36611124796678,34546.358529452606,1.0,1.0,P00571:1;P00596:1
30,19.0,61.400045944287534,34552.358529452606,1.0,1.0,P00573:1;P00594:1
31,19.0,59.03577746310044,34440.48875202747,2.0,0.0,P00575:1;P00592:1
32,19.0,61.35345353787699,34546.358529452606,1.0,1.0,P00577:1;P00590:1
33,19.0,61.349902765666485,34546.358529452606,1.0,1.0,P00578:1;P00588:1
34,19.0,61.36632911943556,34546.358529452606,1.0,1.0,P00580:1;P00586:1
35,19.0,61.45238370213465,34552.358529452606,1.0,1.0,P00581:1;P00583:1
36,18.0,59.133133080893884,32776.5167822769,0.0,1.0,P00602:1
