zone,E_LP,E_IP,gap_kWh
S001,5.913435186069652,5.913435186069652,0.0
S002,7.624645401466261,8.434895318250197,0.8102499167839357
S003,7.6780935630609415,8.54560279357567,0.8675092305147283
S004,6.152920552274485,6.152920552274485,0.0
S005,4.222182349592158,4.222182349592158,0.0
S006,2.59798064071706,2.59798064071706,0.0
S007,3.411075641855823,3.411075641855823,0.0
S008,5.738710679712044,5.738710679712044,0.0
S009,2.096289967733762,2.096289967733762,0.0
S010,1.8232594430204312,1.8232594430204312,0.0
S011,1.073963183411491,1.073963183411491,0.0
S012,2.7526443904556688,2.7526443904556688,0.0
S013,1.8248637585718628,1.8248637585718628,0.0
S014,2.1403652207656543,2.1403652207656543,0.0
S015,2.3075883370944723,2.3075883370944723,0.0
