objective,pattern,zone,vehicle,multiplicity,counts
N,P00030,S001,C,0.39999999999999997,"{'S001:T2': 3, 'S001:T3': 4}"
N,P00109,S001,C,0.19999999999999998,"{'S001:T0': 1, 'S001:T1': 1, 'S001:T3': 5}"
N,P00132,S001,C,0.8999999999999999,"{'S001:T0': 1, 'S001:T1': 2, 'S001:T2': 1, 'S001:T3': 4}"
N,P00161,S001,C,0.45000000000000007,"{'S001:T0': 2, 'S001:T2': 2, 'S001:T3': 4}"
N,P00232,S002,C,0.11111111111111116,"{'S002:T1': 1, 'S002:T3': 4}"
N,P00242,S002,C,0.11111111111111105,"{'S002:T1': 1, 'S002:T2': 2, 'S002:T3': 3}"
N,P00260,S002,C,0.2222222222222222,"{'S002:T0': 1, 'S002:T2': 1, 'S002:T3': 4}"
N,P00282,S002,C,0.7777777777777778,"{'S002:T0': 1, 'S002:T1': 1, 'S002:T2': 2, 'S002:T3': 3}"
N,P00323,S003,C,0.2222222222222222,"{'S003:T1': 1, 'S003:T2': 2, 'S003:T3': 3}"
N,P00341,S003,C,0.2222222222222222,"{'S003:T0': 1, 'S003:T2': 1, 'S003:T3': 4}"
N,P00354,S003,C,0.11111111111111116,"{'S003:T0': 1, 'S003:T1': 1, 'S003:T3': 4}"
N,P00363,S003,C,0.6666666666666666,"{'S003:T0': 1, 'S003:T1': 1, 'S003:T2': 2, 'S003:T3': 3}"
E,P00242,S002,C,0.2222222222222222,"{'S002:T1': 1, 'S002:T2': 2, 'S002:T3': 3}"
E,P00260,S002,C,0.2222222222222222,"{'S002:T0': 1, 'S002:T2': 1, 'S002:T3': 4}"
E,P00273,S002,C,0.11111111111111116,"{'S002:T0': 1, 'S002:T1': 1, 'S002:T3': 4}"
E,P00282,S002,C,0.6666666666666666,"{'S002:T0': 1, 'S002:T1': 1, 'S002:T2': 2, 'S002:T3': 3}"
E,P00323,S003,C,0.2222222222222222,"{'S003:T1': 1, 'S003:T2': 2, 'S003:T3': 3}"
E,P00341,S003,C,0.2222222222222222,"{'S003:T0': 1, 'S003:T2': 1, 'S003:T3': 4}"
E,P00354,S003,C,0.11111111111111116,"{'S003:T0': 1, 'S003:T1': 1, 'S003:T3': 4}"
E,P00363,S003,C,0.6666666666666666,"{'S003:T0': 1, 'S003:T1': 1, 'S003:T2': 2, 'S003:T3': 3}"
T,P00030,S001,C,0.39999999999999997,"{'S001:T2': 3, 'S001:T3': 4}"
T,P00109,S001,C,0.19999999999999998,"{'S001:T0': 1, 'S001:T1': 1, 'S001:T3': 5}"
T,P00132,S001,C,0.8999999999999999,"{'S001:T0': 1, 'S001:T1': 2, 'S001:T2': 1, 'S001:T3': 4}"
T,P00161,S001,C,0.45000000000000007,"{'S001:T0': 2, 'S001:T2': 2, 'S001:T3': 4}"
T,P00232,S002,C,0.11111111111111116,"{'S002:T1': 1, 'S002:T3': 4}"
T,P00242,S002,C,0.11111111111111105,"{'S002:T1': 1, 'S002:T2': 2, 'S002:T3': 3}"
T,P00260,S002,C,0.2222222222222222,"{'S002:T0': 1, 'S002:T2': 1, 'S002:T3': 4}"
T,P00282,S002,C,0.7777777777777778,"{'S002:T0': 1, 'S002:T1': 1, 'S002:T2': 2, 'S002:T3': 3}"
T,P00323,S003,C,0.2222222222222222,"{'S003:T1': 1, 'S003:T2': 2, 'S003:T3': 3}"
T,P00341,S003,C,0.2222222222222222,"{'S003:T0': 1, 'S003:T2': 1, 'S003:T3': 4}"
T,P00354,S003,C,0.11111111111111116,"{'S003:T0': 1, 'S003:T1': 1, 'S003:T3': 4}"
T,P00363,S003,C,0.6666666666666666,"{'S003:T0': 1, 'S003:T1': 1, 'S003:T2': 2, 'S003:T3': 3}"
