archive_id,source,NT,NR,N,E,C,L,regret_lower,regret_upper,selected
P01,anchor_C,20,5,25,64.64255097271266,9163.54886305258,602.5438554866743,0.2466958291619969,2.10585948068885,False
P02,anchor_N,20,4,24,64.90750468311683,9163.549632969727,602.5439157410597,0.08631641165052881,1.9191072340882274,False
P03,seed202632_iter6_communication,20,5,25,64.61766955815122,9165.154435026616,602.5438554866743,0.24642119697827325,2.10470460840378,False
P04,final_polish,20,4,24,64.85205587579614,9165.154435026616,602.5438654866742,0.08543029117575933,1.916423928452693,False
P05,final_polish,20,4,24,64.99392250846589,9163.54886305258,602.5438554866743,0.08804462105498258,1.9234280574765115,False
P06,reassign_A_C,20,6,26,64.69667695113688,9165.15535154206,465.25841077498995,0.39079920350192965,2.2514527603407197,False
P07,reassign_A_L,20,5,25,65.00567221004812,9163.549779407465,465.2584107749898,0.19675611255034953,2.066813324834359,False
P08,reassign_A_E,20,5,25,64.88827397469255,9179.770558875132,465.2584107749898,0.19666103388041417,2.0618445674814514,False
P09,reassign_A_N,20,4,24,65.14636262795764,9163.549779407465,466.5392083584537,0.002254799230516309,1.8743815113896123,False
P10,resource_sensitivity_3组件,20,4,24,65.12006866674481,9170.432679280624,465.25841077498995,0.0004699884211132391,1.8729155309954808,True
