resource_type,resource,sortie,start,task_end,ready
运输机,U08,Q3-T001,0.0,1561.5526244866223,1561.5526244866223
运输电池,C-BAT-04,Q3-T001,0.0,1561.5526244866223,3098.505714680826
运输机,U05,Q3-T003,0.0,1869.7476752786915,1869.7476752786915
运输电池,B-BAT-04,Q3-T003,0.0,1869.7476752786915,3463.905937610475
运输机,U01,Q3-T004,0.0,1190.9069627433817,1190.9069627433817
运输电池,A-BAT-01,Q3-T004,0.0,1190.9069627433817,2043.2192663202309
运输机,U06,Q3-T002,0.0,1922.826814149187,1922.826814149187
运输电池,B-BAT-01,Q3-T002,0.0,1922.826814149187,3782.30605001331
运输机,U07,Q3-T005,144.3974847701029,2252.2396507946573,2252.2396507946573
运输电池,C-BAT-02,Q3-T005,144.3974847701029,2252.2396507946573,4786.679969634779
运输机,U08,Q3-T006,1561.5526244866196,3187.7276703486427,3187.7276703486427
运输电池,C-BAT-01,Q3-T006,1561.5526244866196,3187.7276703486427,4715.914948663478
运输机,U05,Q3-T007,1869.7476752786897,3425.151195058907,3425.151195058907
运输电池,B-BAT-03,Q3-T007,1869.7476752786897,3425.151195058907,4881.8969537010935
运输机,U06,Q3-T008,1922.8268141491862,3433.338402893711,3433.338402893711
运输电池,B-BAT-02,Q3-T008,1922.8268141491862,3433.338402893711,4890.779364941518
运输机,U07,Q3-T009,2252.2396507946546,4159.840349205346,4159.840349205346
运输电池,C-BAT-03,Q3-T009,2252.2396507946546,4159.840349205346,5917.006668874631
运输机,U08,Q3-T010,3187.727670348657,5387.43919494949,5387.43919494949
运输电池,C-BAT-04,Q3-T010,3187.727670348657,5387.43919494949,7801.373817190561
运输机,U06,Q3-T011,3463.905937610485,5220.630018918242,5220.630018918242
运输电池,B-BAT-04,Q3-T011,3463.905937610485,5220.630018918242,6910.5402225199905
运输机,U05,Q3-T012,3782.3060500133142,4931.41222583953,4931.41222583953
运输电池,B-BAT-01,Q3-T012,3782.3060500133142,4931.41222583953,6126.933813607814
运输机,U07,Q3-T013,4716.613741916784,7152.791453016045,7152.791453016045
运输电池,C-BAT-01,Q3-T013,4716.613741916784,7152.791453016045,9699.036303933772
运输机,U06,Q3-T014,5231.606789940195,7059.934350113855,7059.934350113855
运输电池,B-BAT-02,Q3-T014,5231.606789940195,7059.934350113855,8726.555962854793
运输机,U08,Q3-T015,5387.439194949489,7688.493913721935,7688.493913721935
运输电池,C-BAT-02,Q3-T015,5387.439194949489,7688.493913721935,10188.243229962942
运输机,U05,Q3-T016,5774.98589033812,7333.448754672478,7333.448754672478
运输电池,B-BAT-03,Q3-T016,5774.98589033812,7333.448754672478,8908.507740690442
运输机,U06,Q3-T017,7059.934350113863,9080.544015151925,9080.544015151925
运输电池,B-BAT-04,Q3-T017,7059.934350113863,9080.544015151925,10797.748692009947
运输机,U07,Q3-T018,7152.791453016054,9029.980168507525,9029.980168507525
运输电池,C-BAT-03,Q3-T018,7152.791453016054,9029.980168507525,11006.821221522068
运输机,U08,Q3-T019,7801.374411687356,9163.54945754938,9163.54945754938
运输电池,C-BAT-04,Q3-T019,7801.374411687356,9163.54945754938,10614.78315737638
运输机,U05,Q3-T020,7982.007916420103,9170.432679280624,9170.432679280624
运输电池,B-BAT-01,Q3-T020,7982.007916420103,9170.432679280624,10302.48339209227
中继机,R01,Q3-R002,428.2224676063638,9165.85322827993,9465.85322827993
能源组件,R-EC-01,Q3-R002,428.2224676063638,9165.85322827993,10705.85322827993
中继机,R02,Q3-R001,131.59422923524346,3504.302639989341,3804.302639989341
能源组件,R-EC-03,Q3-R001,131.59422923524346,3504.302639989341,4385.594796158676
中继机,R02,Q3-R003,5743.706359200023,7572.866928492798,7872.866928492798
能源组件,R-EC-03,Q3-R003,5743.706359200023,7572.866928492798,8264.767979985005
中继机,R02,Q3-R004,7983.750512680713,9025.540236791234,9325.540236791234
能源组件,R-EC-02,Q3-R004,7983.750512680713,9025.540236791234,9481.513343288
