架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
Q3-T001,U08,C,C-BAT-04,0.0,O01→S006→O01,1561.5526244866223,2.5979806407170596
Q3-T002,U06,B,B-BAT-01,0.0,O01→S012→O01,1922.826814149187,2.7526443904556688
Q3-T003,U05,B,B-BAT-04,0.0,O01→S014→O01,1869.7476752786915,2.140365220765654
Q3-T004,U01,A,A-BAT-01,0.0,O01→S001→O01,1190.9069627433817,1.2195425893044773
Q3-T005,U07,C,C-BAT-02,144.3974847701029,O01→S002→O01,2252.2396507946573,6.2810104080250655
Q3-T006,U08,C,C-BAT-01,1561.5526244866196,O01→S001→O01,3187.7276703486427,2.5656145660855434
Q3-T007,U05,B,B-BAT-03,1869.7476752786897,O01→S010→O01,3425.151195058907,1.8232594430204312
Q3-T008,U06,B,B-BAT-02,1922.8268141491862,O01→S013→O01,3433.338402893711,1.8248637585718628
Q3-T009,U07,C,C-BAT-03,2252.2396507946546,O01→S007→O01,4159.840349205346,3.411075641855823
Q3-T010,U08,C,C-BAT-04,3187.727670348657,O01→S008→O01,5387.43919494949,5.836066297505489
Q3-T011,U06,B,B-BAT-04,3463.905937610485,O01→S002→O01,5220.630018918242,2.3613312390809593
Q3-T012,U05,B,B-BAT-01,3782.3060500133142,O01→S001→O01,4931.41222583953,1.220434433311425
Q3-T013,U07,C,C-BAT-01,4716.613741916784,O01→S003→O01,7152.791453016045,6.324596372619295
Q3-T014,U06,B,B-BAT-02,5231.606789940195,O01→S015→O01,7059.934350113855,2.3075883370944723
Q3-T015,U08,C,C-BAT-02,5387.439194949489,O01→S004→O01,7688.493913721935,6.152920552274484
Q3-T016,U05,B,B-BAT-03,5774.98589033812,O01→S009→O01,7333.448754672478,2.096289967733762
Q3-T017,U06,B,B-BAT-04,7059.934350113863,O01→S003→O01,9080.544015151925,2.424318485056973
Q3-T018,U07,C,C-BAT-03,7152.791453016054,O01→S005→O01,9029.980168507525,4.222182349592158
Q3-T019,U08,C,C-BAT-04,7801.374411687356,O01→S001→O01,9163.54945754938,2.2814782762843073
Q3-T020,U05,B,B-BAT-01,7982.007916420103,O01→S011→O01,9170.432679280624,1.073963183411491
