货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,Q3-T006,S001,2875.8251474176313
S001-FOD-02,Q3-T006,S001,2875.8251474176313
S001-FOD-03,Q3-T006,S001,2875.8251474176313
S001-HYG-01,Q3-T006,S001,2875.8251474176313
S001-HYG-02,Q3-T019,S001,8851.646934618368
S001-MED-01,Q3-T006,S001,2875.8251474176313
S001-MED-02,Q3-T006,S001,2875.8251474176313
S001-WAT-01,Q3-T004,S001,848.5768147050242
S001-WAT-02,Q3-T006,S001,2875.8251474176313
S001-WAT-03,Q3-T006,S001,2875.8251474176313
S001-WAT-04,Q3-T012,S001,4639.982471259756
S001-WAT-05,Q3-T012,S001,4639.982471259756
S001-WAT-06,Q3-T019,S001,8851.646934618368
S001-WAT-07,Q3-T019,S001,8851.646934618368
S001-WAT-08,Q3-T019,S001,8851.646934618368
S002-FOD-01,Q3-T005,S002,1631.7285677823802
S002-FOD-02,Q3-T011,S002,4624.207978264364
S002-HYG-01,Q3-T011,S002,4624.207978264364
S002-MED-01,Q3-T005,S002,1631.7285677823802
S002-WAT-01,Q3-T005,S002,1631.7285677823802
S002-WAT-02,Q3-T005,S002,1631.7285677823802
S002-WAT-03,Q3-T005,S002,1631.7285677823802
S002-WAT-04,Q3-T005,S002,1631.7285677823802
S003-FOD-01,Q3-T013,S003,6362.162597466415
S003-FOD-02,Q3-T017,S003,8348.212515966228
S003-HYG-01,Q3-T017,S003,8348.212515966228
S003-MED-01,Q3-T013,S003,6362.162597466415
S003-WAT-01,Q3-T013,S003,6362.162597466415
S003-WAT-02,Q3-T013,S003,6362.162597466415
S003-WAT-03,Q3-T013,S003,6362.162597466415
S003-WAT-04,Q3-T013,S003,6362.162597466415
S004-FOD-01,Q3-T015,S004,6970.936554335713
S004-HYG-01,Q3-T015,S004,6970.936554335713
S004-MED-01,Q3-T015,S004,6970.936554335713
S004-WAT-01,Q3-T015,S004,6970.936554335713
S004-WAT-02,Q3-T015,S004,6970.936554335713
S004-WAT-03,Q3-T015,S004,6970.936554335713
S005-FOD-01,Q3-T018,S005,8526.02081076179
S005-HYG-01,Q3-T018,S005,8526.02081076179
S005-MED-01,Q3-T018,S005,8526.02081076179
S005-WAT-01,Q3-T018,S005,8526.02081076179
S005-WAT-02,Q3-T018,S005,8526.02081076179
S005-WAT-03,Q3-T018,S005,8526.02081076179
S006-FOD-01,Q3-T001,S006,1209.4213122433111
S006-HYG-01,Q3-T001,S006,1209.4213122433111
S006-MED-01,Q3-T001,S006,1209.4213122433111
S006-WAT-01,Q3-T001,S006,1209.4213122433111
S006-WAT-02,Q3-T001,S006,1209.4213122433111
S006-WAT-03,Q3-T001,S006,1209.4213122433111
S007-FOD-01,Q3-T009,S007,3600.0
S007-HYG-01,Q3-T009,S007,3600.0
S007-MED-01,Q3-T009,S007,3600.0
S007-WAT-01,Q3-T009,S007,3600.0
S007-WAT-02,Q3-T009,S007,3600.0
S008-FOD-01,Q3-T010,S008,4685.423432649073
S008-HYG-01,Q3-T010,S008,4685.423432649073
S008-MED-01,Q3-T010,S008,4685.423432649073
S008-WAT-01,Q3-T010,S008,4685.423432649073
S008-WAT-02,Q3-T010,S008,4685.423432649073
S009-FOD-01,Q3-T016,S009,6865.8073225052985
S009-MED-01,Q3-T016,S009,6865.8073225052985
S009-WAT-01,Q3-T016,S009,6865.8073225052985
S010-FOD-01,Q3-T007,S010,2954.986101835465
S010-MED-01,Q3-T007,S010,2954.986101835465
S010-WAT-01,Q3-T007,S010,2954.986101835465
S011-FOD-01,Q3-T020,S011,8888.406964517031
S011-MED-01,Q3-T020,S011,8888.406964517031
S011-WAT-01,Q3-T020,S011,8888.406964517031
S012-FOD-01,Q3-T002,S012,1271.3434070745934
S012-MED-01,Q3-T002,S012,1271.3434070745934
S012-WAT-01,Q3-T002,S012,1271.3434070745934
S013-FOD-01,Q3-T008,S013,2985.6159418547822
S013-MED-01,Q3-T008,S013,2985.6159418547822
S013-WAT-01,Q3-T008,S013,2985.6159418547822
S014-FOD-01,Q3-T003,S014,1242.4305043060124
S014-MED-01,Q3-T003,S014,1242.4305043060124
S014-WAT-01,Q3-T003,S014,1242.4305043060124
S015-FOD-01,Q3-T014,S015,6449.210570027025
S015-MED-01,Q3-T014,S015,6449.210570027025
S015-WAT-01,Q3-T014,S015,6449.210570027025
