运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
Q3-T001,爬升,480.0,575.3591357421875,直连,
Q3-T001,巡航,575.3591357421875,787.7723925655769,直连,
Q3-T001,下降,787.7723925655769,813.4213122433113,直连,
Q3-T001,物资投送,813.4213122433113,1209.4213122433111,直连,
Q3-T001,爬升,1209.4213122433111,1229.9404479854986,直连,
Q3-T001,巡航,1229.9404479854986,1442.3537048088879,直连,
Q3-T001,下降,1442.3537048088879,1561.5526244866223,直连,
Q3-T003,爬升,390.0,544.7491292317709,直连,
Q3-T003,巡航,544.7491292317709,806.8341108106792,直连,
Q3-T003,巡航,806.8341108106792,906.0515492278873,中继,Q3-R001
Q3-T003,下降,906.0515492278881,1002.4305043060124,中继,Q3-R001
Q3-T003,物资投送,1002.4305043060124,1242.4305043060124,中继,Q3-R001
Q3-T003,爬升,1242.4305043060124,1322.7463002044499,中继,Q3-R001
Q3-T003,巡航,1322.7463002044503,1421.963738621658,中继,Q3-R001
Q3-T003,巡航,1421.963738621658,1684.0487202005663,直连,
Q3-T003,下降,1684.0487202005663,1869.7476752786913,直连,
Q3-T004,爬升,330.0,378.45220336914065,直连,
Q3-T004,巡航,378.45220336914065,632.9541706620554,直连,
Q3-T004,下降,632.9541706620554,668.5768147050242,直连,
Q3-T004,物资投送,668.5768147050242,848.5768147050242,直连,
Q3-T004,爬升,848.5768147050242,878.2623514074982,直连,
Q3-T004,巡航,878.2623514074982,1132.7643187004128,直连,
Q3-T004,下降,1132.7643187004128,1190.9069627433814,直连,
Q3-T002,爬升,390.0,485.20033162434896,直连,
Q3-T002,巡航,485.20033162434896,748.3583560217763,直连,
Q3-T002,巡航,748.3583560217763,977.9430091253748,中继,Q3-R001
Q3-T002,下降,977.9430091253749,1031.3434070745936,中继,Q3-R001
Q3-T002,物资投送,1031.3434070745936,1271.3434070745936,中继,Q3-R001
Q3-T002,爬升,1271.3434070745936,1315.8437386989424,中继,Q3-R001
Q3-T002,巡航,1315.8437386989426,1545.428391802541,中继,Q3-R001
Q3-T002,巡航,1545.428391802541,1808.5864161999684,直连,
Q3-T002,下降,1808.5864161999684,1922.8268141491872,直连,
Q3-T005,爬升,624.3974847701029,696.8991864302592,直连,
Q3-T005,巡航,696.8991864302592,960.4330658467293,直连,
Q3-T005,巡航,960.4330658467293,1191.0014407071849,中继,Q3-R001
Q3-T005,下降,1191.001440707185,1235.7285677823802,中继,Q3-R002
Q3-T005,物资投送,1235.7285677823802,1631.7285677823802,中继,Q3-R002
Q3-T005,爬升,1631.7285677823802,1667.5102694425364,中继,Q3-R002
Q3-T005,巡航,1667.5102694425366,1898.078644302992,中继,Q3-R001
Q3-T005,巡航,1898.078644302992,2161.612523719462,直连,
Q3-T005,下降,2161.612523719462,2252.2396507946573,直连,
Q3-T006,爬升,2101.5526244866196,2159.6952685295882,直连,
Q3-T006,巡航,2159.6952685295882,2363.29684236392,直连,
Q3-T006,下降,2363.29684236392,2407.825147417631,直连,
Q3-T006,物资投送,2407.825147417631,2875.825147417631,直连,
Q3-T006,爬升,2875.825147417631,2911.4477914605995,直连,
Q3-T006,巡航,2911.4477914605995,3115.0493652949312,直连,
Q3-T006,下降,3115.0493652949312,3187.7276703486423,直连,
Q3-T007,爬升,2259.7476752786897,2362.3931871602003,直连,
Q3-T007,巡航,2362.3931871602003,2625.446787494504,直连,
Q3-T007,巡航,2625.446787494504,2681.3714875776527,中继,Q3-R001
Q3-T007,下降,2681.371487577653,2714.986101835465,中继,Q3-R001
Q3-T007,物资投送,2714.986101835465,2954.986101835465,中继,Q3-R001
Q3-T007,爬升,2954.986101835465,2982.998280383642,中继,Q3-R001
Q3-T007,巡航,2982.998280383643,3038.9229804667907,中继,Q3-R001
Q3-T007,巡航,3038.9229804667907,3301.9765808010943,直连,
Q3-T007,下降,3301.9765808010943,3425.151195058907,直连,
Q3-T008,爬升,2312.8268141491862,2403.320755392676,直连,
Q3-T008,巡航,2403.320755392676,2666.5404235777705,直连,
Q3-T008,巡航,2666.5404235777705,2726.6232123625946,中继,Q3-R001
Q3-T008,下降,2726.6232123625946,2745.6159418547822,中继,Q3-R001
Q3-T008,物资投送,2745.6159418547822,2985.6159418547822,中继,Q3-R001
Q3-T008,爬升,2985.6159418547822,3001.4432164316054,中继,Q3-R001
Q3-T008,巡航,3001.4432164316054,3061.5260052164294,中继,Q3-R001
Q3-T008,巡航,3061.5260052164294,3324.745673401524,直连,
Q3-T008,下降,3324.745673401524,3433.3384028937116,直连,
Q3-T009,爬升,2702.2396507946546,2855.948920814186,直连,
Q3-T009,巡航,2855.948920814186,3118.5815899209965,直连,
Q3-T009,巡航,3118.5815899209965,3158.2634124755855,中继,Q3-R002
Q3-T009,下降,3158.263412475586,3240.0,中继,Q3-R002
Q3-T009,物资投送,3240.0,3600.0,中继,Q3-R002
Q3-T009,爬升,3600.0,3665.3892700195306,中继,Q3-R002
Q3-T009,巡航,3665.389270019531,3705.0710925741205,中继,Q3-R002
Q3-T009,巡航,3705.0710925741205,3967.703761680931,直连,
Q3-T009,下降,3967.703761680931,4159.840349205345,直连,
Q3-T010,爬升,3637.727670348657,3735.8114032588132,直连,
Q3-T010,巡航,3735.8114032588132,4026.1865846930323,直连,
Q3-T010,巡航,4026.1865846930323,4274.418766511379,中继,Q3-R002
Q3-T010,下降,4274.418766511379,4325.423432649074,中继,Q3-R002
Q3-T010,物资投送,4325.423432649074,4685.423432649074,中继,Q3-R002
Q3-T010,爬升,4685.423432649074,4726.22716555923,中继,Q3-R002
