type,candidate_id,submission_id
transport,K000002,Q3-T001
transport,K000003,Q3-T002
transport,K000004,Q3-T003
transport,K001310,Q3-T004
transport,K000001,Q3-T005
transport,K000005,Q3-T006
transport,K000006,Q3-T007
transport,K000007,Q3-T008
transport,K000008,Q3-T009
transport,K000009,Q3-T010
transport,K000010,Q3-T011
transport,K000011,Q3-T012
transport,K000012,Q3-T013
transport,K000014,Q3-T014
transport,K000015,Q3-T015
transport,K000013,Q3-T016
transport,K000017,Q3-T017
transport,K000018,Q3-T018
transport,K000019,Q3-T019
transport,K000016,Q3-T020
relay,Q3-R004,Q3-R001
relay,Q3-R001,Q3-R002
relay,Q3-R005,Q3-R003
relay,Q3-R006,Q3-R004
