check,passed,value,limit,note
运输架次非空,True,20,,
货箱总数,True,80,80,
货箱编号唯一,True,80,,
货箱集合一致,True,,,"缺失=[],多余=[]"
路线/K000002/目的地/S006|医疗物资,True,,,
路线/K000002/目的地/S006|生活卫生用品,True,,,
路线/K000002/目的地/S006|应急食品,True,,,
路线/K000002/目的地/S006|饮用水,True,,,
路线/K000002/装卸组批一致,True,,,
路线/K000002/载荷体积,True,"{'mass': 59.0, 'volume': 0.156}","{'mass': 80.0, 'volume': 0.25}",
路线/K000002/返航能量余量,True,2.5979806407170596,6.4,
路线/K000002/能耗重算,True,2.5979806407170596,2.5979806407170596,
路线/K000002/SOC重算,True,,,
路线/K000002/卸载偏移重算,True,,,
路线/K000002/非负开始时刻,True,,,
路线/K000002/时间重算,True,"{'stored_finish': 1561.5526244866223, 'recomputed_finish': 1561.5526244866223}",,
路线/K000002/起飞准备,True,"{'stored': 480.0, 'recomputed': 480.0}",,
路线/K000002/充电时间,True,"{'stored': 1536.9530901942037, 'recomputed': 1536.9530901942037}",,
路线/K000002/充电完成重算,True,,,
路线/K000002/无人机编号,True,U08,,
路线/K000002/电池编号,True,C-BAT-04,,
通信连续性/K000002,True,"{'intervals': 7, 'relay_intervals': 0}",,
路线/K000002/逐箱组批一致,True,"{'S006|医疗物资': 1, 'S006|应急食品': 1, 'S006|生活卫生用品': 1, 'S006|饮用水': 3}","{'S006|医疗物资': 1, 'S006|生活卫生用品': 1, 'S006|应急食品': 1, 'S006|饮用水': 3}",
路线/K000004/目的地/S014|医疗物资,True,,,
路线/K000004/目的地/S014|应急食品,True,,,
路线/K000004/目的地/S014|饮用水,True,,,
路线/K000004/装卸组批一致,True,,,
路线/K000004/载荷体积,True,"{'mass': 25.0, 'volume': 0.067}","{'mass': 30.0, 'volume': 0.073}",
路线/K000004/返航能量余量,True,2.140365220765654,3.2,
路线/K000004/能耗重算,True,2.140365220765654,2.140365220765654,
路线/K000004/SOC重算,True,,,
路线/K000004/卸载偏移重算,True,,,
路线/K000004/非负开始时刻,True,,,
路线/K000004/时间重算,True,"{'stored_finish': 1869.7476752786915, 'recomputed_finish': 1869.7476752786913}",,
路线/K000004/起飞准备,True,"{'stored': 390.0, 'recomputed': 390.0}",,
路线/K000004/充电时间,True,"{'stored': 1594.1582623317836, 'recomputed': 1594.1582623317836}",,
路线/K000004/充电完成重算,True,,,
路线/K000004/无人机编号,True,U05,,
路线/K000004/电池编号,True,B-BAT-04,,
通信/K000004/802.822-854.437,True,"{'direct_margin': -1.4340705656682786, 'access_margin': 13.78842337675718, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000004/854.437-880.244,True,"{'direct_margin': -2.123486374110456, 'access_margin': 12.250551245218276, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000004/880.244-906.052,True,"{'direct_margin': -2.7625514695378683, 'access_margin': 10.708774758254222, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000004/906.052-938.178,True,"{'direct_margin': -2.76255146953784, 'access_margin': 10.693206181982418, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000004/938.178-970.304,True,"{'direct_margin': -2.7530073188915054, 'access_margin': 0.66106764815639, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000004/970.304-1002.431,True,"{'direct_margin': -2.7453449748713012, 'access_margin': 0.6127240211423697, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000004/1002.431-1242.431,True,"{'direct_margin': -2.739574445940306, 'access_margin': 0.6127240211423555, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000004/1242.431-1269.202,True,"{'direct_margin': -2.7453449748713297, 'access_margin': 0.6127240211423555, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000004/1269.202-1295.974,True,"{'direct_margin': -2.753007318891335, 'access_margin': 0.6610676481566031, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000004/1295.974-1322.746,True,"{'direct_margin': -2.762551469537698, 'access_margin': 10.69320618198195, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000004/1322.746-1348.554,True,"{'direct_margin': -2.7625514695378683, 'access_margin': 10.708774758254222, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000004/1348.554-1374.361,True,"{'direct_margin': -2.1234863741191106, 'access_margin': 12.250551245197741, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000004/1374.361-1425.976,True,"{'direct_margin': -1.4340705656776578, 'access_margin': 13.788423376738237, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信连续性/K000004,True,"{'intervals': 17, 'relay_intervals': 13}",,
路线/K000004/逐箱组批一致,True,"{'S014|医疗物资': 1, 'S014|应急食品': 1, 'S014|饮用水': 1}","{'S014|医疗物资': 1, 'S014|应急食品': 1, 'S014|饮用水': 1}",
路线/K001310/目的地/S001|饮用水,True,,,
路线/K001310/装卸组批一致,True,,,
路线/K001310/载荷体积,True,"{'mass': 14.0, 'volume': 0.027}","{'mass': 25.0, 'volume': 0.06}",
路线/K001310/返航能量余量,True,1.2195425893044773,3.6,
路线/K001310/能耗重算,True,1.2195425893044773,1.2195425893044773,
路线/K001310/SOC重算,True,,,
路线/K001310/卸载偏移重算,True,,,
路线/K001310/非负开始时刻,True,,,
路线/K001310/时间重算,True,"{'stored_finish': 1190.9069627433817, 'recomputed_finish': 1190.9069627433814}",,
路线/K001310/起飞准备,True,"{'stored': 330.0, 'recomputed': 330.0}",,
路线/K001310/充电时间,True,"{'stored': 852.3123035768491, 'recomputed': 852.3123035768491}",,
路线/K001310/充电完成重算,True,,,
路线/K001310/无人机编号,True,U01,,
路线/K001310/电池编号,True,A-BAT-01,,
通信连续性/K001310,True,"{'intervals': 7, 'relay_intervals': 0}",,
路线/K001310/逐箱组批一致,True,{'S001|饮用水': 1},{'S001|饮用水': 1},
路线/K000003/目的地/S012|医疗物资,True,,,
路线/K000003/目的地/S012|应急食品,True,,,
路线/K000003/目的地/S012|饮用水,True,,,
路线/K000003/装卸组批一致,True,,,
路线/K000003/载荷体积,True,"{'mass': 25.0, 'volume': 0.067}","{'mass': 30.0, 'volume': 0.073}",
路线/K000003/返航能量余量,True,2.7526443904556688,3.2,
路线/K000003/能耗重算,True,2.7526443904556688,2.7526443904556688,
路线/K000003/SOC重算,True,,,
路线/K000003/卸载偏移重算,True,,,
路线/K000003/非负开始时刻,True,,,
路线/K000003/时间重算,True,"{'stored_finish': 1922.826814149187, 'recomputed_finish': 1922.8268141491872}",,
路线/K000003/起飞准备,True,"{'stored': 390.0, 'recomputed': 390.0}",,
路线/K000003/充电时间,True,"{'stored': 1859.4792358641232, 'recomputed': 1859.4792358641232}",,
路线/K000003/充电完成重算,True,,,
路线/K000003/无人机编号,True,U06,,
路线/K000003/电池编号,True,B-BAT-01,,
通信/K000003/738.230-778.182,True,"{'direct_margin': -0.9287065987215328, 'access_margin': 8.416455661389605, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/778.182-791.500,True,"{'direct_margin': -1.3134650205847436, 'access_margin': 8.108013585518762, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/791.500-818.135,True,"{'direct_margin': -2.035486074737321, 'access_margin': 7.4020688739464475, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/818.135-831.452,True,"{'direct_margin': -2.375228615359319, 'access_margin': 7.020822258044092, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/831.452-871.404,True,"{'direct_margin': -3.3214985987820995, 'access_margin': 5.836647193533452, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/871.404-898.039,True,"{'direct_margin': -3.8996348087980692, 'access_margin': 5.0520201413118, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/898.039-924.674,True,"{'direct_margin': -4.441742315179468, 'access_margin': 4.291909181665886, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/924.674-937.991,True,"{'direct_margin': -4.700633887432815, 'access_margin': 3.9237814714054196, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/937.991-951.308,True,"{'direct_margin': -4.9520428958557545, 'access_margin': 3.564357408655127, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/951.308-977.943,True,"{'direct_margin': -5.434058144699378, 'access_margin': 2.872512988048612, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/977.943-1004.643,True,"{'direct_margin': -5.434058144705972, 'access_margin': 2.8654748664076806, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/1004.643-1031.343,True,"{'direct_margin': -5.43159596950764, 'access_margin': 2.8565475109592597, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/1031.343-1271.343,True,"{'direct_margin': -5.42984066485198, 'access_margin': 2.8565475109592597, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/1271.343-1293.594,True,"{'direct_margin': -5.4315959695076685, 'access_margin': 2.8565475109594445, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/1293.594-1315.844,True,"{'direct_margin': -5.434058144705972, 'access_margin': 2.865474866407766, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/1315.844-1342.478,True,"{'direct_margin': -5.434058144704963, 'access_margin': 2.872512988040569, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/1342.478-1355.796,True,"{'direct_margin': -4.952042895861666, 'access_margin': 3.564357408646657, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/1355.796-1369.113,True,"{'direct_margin': -4.700633887419741, 'access_margin': 3.923781471424064, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/1369.113-1395.748,True,"{'direct_margin': -4.441742315165996, 'access_margin': 4.2919091816849715, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/1395.748-1422.383,True,"{'direct_margin': -3.899634808804734, 'access_margin': 5.052020141302577, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
