battery,vehicle_type,route_id,uav,event,t0,t1,origin,destination,soc_before,soc_after,visited_nodes
A-BAT-01,A,,,initial_ready,0.0,0.0,O01,O01,1.0,1.0,
A-BAT-02,A,,,initial_ready,0.0,0.0,O01,O01,1.0,1.0,
A-BAT-03,A,,,initial_ready,0.0,0.0,O01,O01,1.0,1.0,
A-BAT-04,A,,,initial_ready,0.0,0.0,O01,O01,1.0,1.0,
A-BAT-05,A,,,initial_ready,0.0,0.0,O01,O01,1.0,1.0,
A-BAT-06,A,,,initial_ready,0.0,0.0,O01,O01,1.0,1.0,
B-BAT-01,B,,,initial_ready,0.0,0.0,O01,O01,1.0,1.0,
B-BAT-02,B,,,initial_ready,0.0,0.0,O01,O01,1.0,1.0,
B-BAT-03,B,,,initial_ready,0.0,0.0,O01,O01,1.0,1.0,
B-BAT-04,B,,,initial_ready,0.0,0.0,O01,O01,1.0,1.0,
C-BAT-01,C,,,initial_ready,0.0,0.0,O01,O01,1.0,1.0,
C-BAT-02,C,,,initial_ready,0.0,0.0,O01,O01,1.0,1.0,
C-BAT-03,C,,,initial_ready,0.0,0.0,O01,O01,1.0,1.0,
C-BAT-04,C,,,initial_ready,0.0,0.0,O01,O01,1.0,1.0,
C-BAT-04,C,K000002,U08,installed_during_preparation,0.0,480.0,O01,O01,1.0,1.0,
C-BAT-04,C,K000002,U08,installed_entire_round_trip,480.0,1561.5526244866223,O01,O01,1.0,0.6752524199103676,O01→S006→O01
C-BAT-04,C,K000002,,detached_charging,1561.5526244866223,3098.505714680826,O01,O01,0.6752524199103676,1.0,
B-BAT-04,B,K000004,U05,installed_during_preparation,0.0,390.0,O01,O01,1.0,1.0,
B-BAT-04,B,K000004,U05,installed_entire_round_trip,390.0,1869.7476752786915,O01,O01,1.0,0.46490869480858654,O01→S014→O01
B-BAT-04,B,K000004,,detached_charging,1869.7476752786915,3463.905937610474,O01,O01,0.46490869480858654,1.0,
A-BAT-01,A,K001310,U01,installed_during_preparation,0.0,330.0,O01,O01,1.0,1.0,
A-BAT-01,A,K001310,U01,installed_entire_round_trip,330.0,1190.9069627433817,O01,O01,1.0,0.7289905357101161,O01→S001→O01
A-BAT-01,A,K001310,,detached_charging,1190.9069627433817,2043.2192663202304,O01,O01,0.7289905357101161,1.0,
B-BAT-01,B,K000003,U06,installed_during_preparation,-0.0,390.0,O01,O01,1.0,1.0,
B-BAT-01,B,K000003,U06,installed_entire_round_trip,390.0,1922.826814149187,O01,O01,1.0,0.3118389023860828,O01→S012→O01
B-BAT-01,B,K000003,,detached_charging,1922.826814149187,3782.3060500133097,O01,O01,0.3118389023860828,1.0,
C-BAT-02,C,K000001,U07,installed_during_preparation,144.39748477010016,624.3974847701002,O01,O01,1.0,1.0,
C-BAT-02,C,K000001,U07,installed_entire_round_trip,624.3974847701002,2252.2396507946546,O01,O01,1.0,0.2148736989968668,O01→S002→O01
C-BAT-02,C,K000001,,detached_charging,2252.2396507946546,4786.679969634776,O01,O01,0.2148736989968668,1.0,
C-BAT-01,C,K000005,U08,installed_during_preparation,1561.5526244866223,2101.5526244866223,O01,O01,1.0,1.0,
C-BAT-01,C,K000005,U08,installed_entire_round_trip,2101.5526244866223,3187.7276703486455,O01,O01,1.0,0.6792981792393071,O01→S001→O01
C-BAT-01,C,K000005,,detached_charging,3187.7276703486455,4715.91494866348,O01,O01,0.6792981792393071,1.0,
B-BAT-03,B,K000006,U05,installed_during_preparation,1869.7476752786915,2259.7476752786915,O01,O01,1.0,1.0,
B-BAT-03,B,K000006,U05,installed_entire_round_trip,2259.7476752786915,3425.151195058909,O01,O01,1.0,0.5441851392448922,O01→S010→O01
B-BAT-03,B,K000006,,detached_charging,3425.151195058909,4881.896953701095,O01,O01,0.5441851392448922,1.0,
B-BAT-02,B,K000007,U06,installed_during_preparation,1922.826814149187,2312.826814149187,O01,O01,1.0,1.0,
B-BAT-02,B,K000007,U06,installed_entire_round_trip,2312.826814149187,3433.3384028937116,O01,O01,1.0,0.5437840603570343,O01→S013→O01
B-BAT-02,B,K000007,,detached_charging,3433.3384028937116,4890.779364941518,O01,O01,0.5437840603570343,1.0,
C-BAT-03,C,K000008,U07,installed_during_preparation,2252.2396507946546,2702.2396507946546,O01,O01,1.0,1.0,
C-BAT-03,C,K000008,U07,installed_entire_round_trip,2702.2396507946546,4159.840349205346,O01,O01,1.0,0.5736155447680221,O01→S007→O01
C-BAT-03,C,K000008,,detached_charging,4159.840349205346,5917.006668874631,O01,O01,0.5736155447680221,1.0,
C-BAT-04,C,K000009,U08,installed_during_preparation,3187.7276703486455,3637.7276703486455,O01,O01,1.0,1.0,
C-BAT-04,C,K000009,U08,installed_entire_round_trip,3637.7276703486455,5387.439194949478,O01,O01,1.0,0.27049171281181383,O01→S008→O01
C-BAT-04,C,K000009,,detached_charging,5387.439194949478,7801.373817190548,O01,O01,0.27049171281181383,1.0,
B-BAT-04,B,K000010,U06,installed_during_preparation,3498.8957671228823,3858.8957671228823,O01,O01,1.0,1.0,
B-BAT-04,B,K000010,U06,installed_entire_round_trip,3858.8957671228823,5255.61984843064,O01,O01,1.0,0.40966719022976017,O01→S002→O01
B-BAT-04,B,K000010,,detached_charging,5255.61984843064,6945.530052032389,O01,O01,0.40966719022976017,1.0,
B-BAT-01,B,K000011,U05,installed_during_preparation,3782.30605001331,4142.306050013311,O01,O01,1.0,1.0,
B-BAT-01,B,K000011,U05,installed_entire_round_trip,4142.306050013311,4931.4122258395255,O01,O01,1.0,0.6948913916721438,O01→S001→O01
B-BAT-01,B,K000011,,detached_charging,4931.4122258395255,6126.9338136078095,O01,O01,0.6948913916721438,1.0,
C-BAT-01,C,K000012,U07,installed_during_preparation,4715.91494866348,5195.91494866348,O01,O01,1.0,1.0,
C-BAT-01,C,K000012,U07,installed_entire_round_trip,5195.91494866348,7152.09265976274,O01,O01,1.0,0.20942545342258811,O01→S003→O01
C-BAT-01,C,K000012,,detached_charging,7152.09265976274,9698.337510680467,O01,O01,0.20942545342258811,1.0,
B-BAT-02,B,K000014,U06,installed_during_preparation,5255.61984843064,5645.61984843064,O01,O01,1.0,1.0,
B-BAT-02,B,K000014,U06,installed_entire_round_trip,5645.61984843064,7083.947408604299,O01,O01,1.0,0.4231029157263819,O01→S015→O01
B-BAT-02,B,K000014,,detached_charging,7083.947408604299,8750.569021345236,O01,O01,0.4231029157263819,1.0,
C-BAT-02,C,K000015,U08,installed_during_preparation,5387.439194949478,5867.439194949478,O01,O01,1.0,1.0,
C-BAT-02,C,K000015,U08,installed_entire_round_trip,5867.439194949478,7688.493913721924,O01,O01,1.0,0.23088493096568952,O01→S004→O01
C-BAT-02,C,K000015,,detached_charging,7688.493913721924,10188.243229962929,O01,O01,0.23088493096568952,1.0,
B-BAT-03,B,K000013,U05,installed_during_preparation,5774.985890338107,6164.985890338107,O01,O01,1.0,1.0,
B-BAT-03,B,K000013,U05,installed_entire_round_trip,6164.985890338107,7333.448754672465,O01,O01,1.0,0.4759275080665595,O01→S009→O01
B-BAT-03,B,K000013,,detached_charging,7333.448754672465,8908.507740690427,O01,O01,0.4759275080665595,1.0,
B-BAT-04,B,K000017,U06,installed_during_preparation,7083.947408604299,7443.947408604299,O01,O01,1.0,1.0,
B-BAT-04,B,K000017,U06,installed_entire_round_trip,7443.947408604299,9104.557073642362,O01,O01,1.0,0.3939203787357568,O01→S003→O01
B-BAT-04,B,K000017,,detached_charging,9104.557073642362,10821.761750500384,O01,O01,0.3939203787357568,1.0,
C-BAT-03,C,K000018,U07,installed_during_preparation,7152.09265976274,7632.09265976274,O01,O01,1.0,1.0,
C-BAT-03,C,K000018,U07,installed_entire_round_trip,7632.09265976274,9029.281375254212,O01,O01,1.0,0.47222720630098025,O01→S005→O01
C-BAT-03,C,K000018,,detached_charging,9029.281375254212,11006.122428268754,O01,O01,0.47222720630098025,1.0,
C-BAT-04,C,K000019,U08,installed_during_preparation,7801.37381719055,8221.37381719055,O01,O01,1.0,1.0,
C-BAT-04,C,K000019,U08,installed_entire_round_trip,8221.37381719055,9163.548863052572,O01,O01,1.0,0.7148152154644616,O01→S001→O01
C-BAT-04,C,K000019,,detached_charging,9163.548863052572,10614.782562879573,O01,O01,0.7148152154644616,1.0,
B-BAT-01,B,K000016,U05,installed_during_preparation,7976.729672266098,8366.729672266098,O01,O01,1.0,1.0,
B-BAT-01,B,K000016,U05,installed_entire_round_trip,8366.729672266098,9165.154435126618,O01,O01,1.0,0.7315092041471272,O01→S011→O01
B-BAT-01,B,K000016,,detached_charging,9165.154435126618,10297.205147938264,O01,O01,0.7315092041471272,1.0,
