方案ID,全部来源,总架次,总能耗kWh,联合返场s,加权平均迟到s,非支配,支配该方案者,档案内最大遗憾,最坏极点
CA01,polish_official;polish_mapped_witness,24.0,65.11205028199753,9165.154435126618,465.2583642491526,True,,0.0,1;2;3;4;5;6;7;8;9;10;11;12
CA02,polish_archive_00,24.0,64.93374004014163,9163.548863152573,602.5438555866732,False,CA03,0.0877344599470562,11
CA03,polish_archive_01,24.0,64.90750468311684,9163.548863152573,602.5438555866732,True,,0.08720975280656043,11
CA04,polish_archive_02,24.0,65.14636262795766,9163.548863152573,465.2583643491526,True,,0.0026557892754746903,5
CA05,polish_archive_03,24.0,64.85204587579615,9165.15443502662,602.5438554866731,True,,0.08632357268709745,11
CA06,polish_archive_05,25.0,64.63787853587301,9163.548863152573,602.5438555866731,True,,0.2474958570273037,1
CA07,polish_archive_06,25.0,64.99970719690505,9163.548863152573,465.2583643491526,True,,0.19753014223231086,1
CA08,original_official,24.0,65.12006866674481,9170.432679280624,465.25841077498995,False,CA01;CA09,0.0015738817684645828,7
CA09,ten_second_departure_witness,24.0,65.12006866674481,9165.85322827993,465.25841077498995,False,CA01,0.0007385447701751813,4
CA10,new_Q2_seed,33.0,81.05125838536102,10644.22661031477,576.1011585525097,False,CA01;CA04;CA07;CA08;CA09,2.8208608952170895,3
