方案ID,极点,wN,wE,wC,wL,归一化加权效用,档案最佳效用,遗憾
CA01,1,0.4,0.1,0.25,0.25,-0.047589305708542355,-0.047589305708542355,0.0
CA01,2,0.4,0.25,0.1,0.25,-0.0336381241028328,-0.0336381241028328,0.0
CA01,3,0.4,0.25,0.25,0.1,0.0008170463793841774,0.0008170463793841774,0.0
CA01,4,0.1,0.4,0.25,0.25,-0.01941934715145012,-0.01941934715145012,0.0
CA01,5,0.25,0.4,0.1,0.25,-0.019553144824286682,-0.019553144824286682,0.0
CA01,6,0.25,0.4,0.25,0.1,0.014902025657930298,0.014902025657930298,0.0
CA01,7,0.1,0.25,0.4,0.25,-0.03337052875715968,-0.03337052875715968,0.0
CA01,8,0.25,0.1,0.4,0.25,-0.04745550803570579,-0.04745550803570579,0.0
CA01,9,0.25,0.25,0.4,0.1,0.000950844052220738,0.000950844052220738,0.0
CA01,10,0.1,0.25,0.25,0.4,-0.06782569923937666,-0.06782569923937666,0.0
CA01,11,0.25,0.1,0.25,0.4,-0.08191067851792277,-0.08191067851792277,0.0
CA01,12,0.25,0.25,0.1,0.4,-0.06795949691221323,-0.06795949691221323,0.0
CA02,1,0.4,0.1,0.25,0.25,0.005823781404133684,-0.047589305708542355,0.05341308711267604
CA02,2,0.4,0.25,0.1,0.25,0.014559453418670102,-0.0336381241028328,0.0481975775215029
CA02,3,0.4,0.25,0.25,0.1,0.014559453402003158,0.0008170463793841774,0.013742407022618981
CA02,4,0.1,0.4,0.25,0.25,0.023295125449872105,-0.01941934715145012,0.042714472601322225
CA02,5,0.25,0.4,0.1,0.25,0.023295125441539315,-0.019553144824286682,0.042848270265825994
CA02,6,0.25,0.4,0.25,0.1,0.02329512542487237,0.014902025657930298,0.008393099766942072
CA02,7,0.1,0.25,0.4,0.25,0.014559453435335682,-0.03337052875715968,0.04792998219249536
CA02,8,0.25,0.1,0.4,0.25,0.005823781412466474,-0.04745550803570579,0.05327928944817227
CA02,9,0.25,0.25,0.4,0.1,0.014559453410335947,0.000950844052220738,0.01360860935811521
CA02,10,0.1,0.25,0.25,0.4,0.014559453452002628,-0.06782569923937666,0.08238515269137929
CA02,11,0.25,0.1,0.25,0.4,0.00582378142913342,-0.08191067851792277,0.0877344599470562
CA02,12,0.25,0.25,0.1,0.4,0.014559453443669837,-0.06795949691221323,0.08251895035588307
CA03,1,0.4,0.1,0.25,0.25,0.0052990742636379205,-0.047589305708542355,0.05288837997218027
CA03,2,0.4,0.25,0.1,0.25,0.013247685567430693,-0.0336381241028328,0.0468858096702635
CA03,3,0.4,0.25,0.25,0.1,0.01324768555076375,0.0008170463793841774,0.012430639171379572
CA03,4,0.1,0.4,0.25,0.25,0.02119629688788905,-0.01941934715145012,0.04061564403933917
CA03,5,0.25,0.4,0.1,0.25,0.02119629687955626,-0.019553144824286682,0.04074944170384294
CA03,6,0.25,0.4,0.25,0.1,0.021196296862889315,0.014902025657930298,0.006294271204959017
CA03,7,0.1,0.25,0.4,0.25,0.013247685584096273,-0.03337052875715968,0.04661821434125595
CA03,8,0.25,0.1,0.4,0.25,0.005299074271970711,-0.04745550803570579,0.052754582307676504
CA03,9,0.25,0.25,0.4,0.1,0.013247685559096539,0.000950844052220738,0.012296841506875801
CA03,10,0.1,0.25,0.25,0.4,0.013247685600763219,-0.06782569923937666,0.08107338484013987
CA03,11,0.25,0.1,0.25,0.4,0.005299074288637656,-0.08191067851792277,0.08720975280656043
CA03,12,0.25,0.25,0.1,0.4,0.013247685592430428,-0.06795949691221323,0.08120718250464366
CA04,1,0.4,0.1,0.25,0.25,-0.04712605485517933,-0.047589305708542355,0.00046325085336302446
CA04,2,0.4,0.25,0.1,0.25,-0.03201170520616206,-0.0336381241028328,0.0016264188966707421
CA04,3,0.4,0.25,0.25,0.1,0.0023096675865511436,0.0008170463793841774,0.0014926212071669663
CA04,4,0.1,0.4,0.25,0.25,-0.016897355540479206,-0.01941934715145012,0.002521991610970914
CA04,5,0.25,0.4,0.1,0.25,-0.01689735554881199,-0.019553144824286682,0.0026557892754746903
CA04,6,0.25,0.4,0.25,0.1,0.017424017243901205,0.014902025657930298,0.0025219915859709067
CA04,7,0.1,0.25,0.4,0.25,-0.032011705189496475,-0.03337052875715968,0.0013588235676632032
CA04,8,0.25,0.1,0.4,0.25,-0.04712605484684654,-0.04745550803570579,0.000329453188859255
CA04,9,0.25,0.25,0.4,0.1,0.002309667594883934,0.000950844052220738,0.001358823542663196
CA04,10,0.1,0.25,0.25,0.4,-0.06633307798220968,-0.06782569923937666,0.0014926212571669817
CA04,11,0.25,0.1,0.25,0.4,-0.08144742763955974,-0.08191067851792277,0.00046325087836303347
CA04,12,0.25,0.25,0.1,0.4,-0.06633307799054247,-0.06795949691221323,0.001626418921670758
CA05,1,0.4,0.1,0.25,0.25,0.004412894169174959,-0.047589305708542355,0.052002199877717314
CA05,2,0.4,0.25,0.1,0.25,0.010563943597176505,-0.0336381241028328,0.04420206770000931
CA05,3,0.4,0.25,0.25,0.1,0.010697741261680105,0.0008170463793841774,0.009880694882295928
CA05,4,0.1,0.4,0.25,0.25,0.01698258835418468,-0.01941934715145012,0.0364019355056348
CA05,5,0.25,0.4,0.1,0.25,0.016848790689681366,-0.019553144824286682,0.036401935513968045
CA05,6,0.25,0.4,0.25,0.1,0.016982588354184966,0.014902025657930298,0.002080562696254668
CA05,7,0.1,0.25,0.4,0.25,0.010831538926183135,-0.03337052875715968,0.04420206768334281
CA05,8,0.25,0.1,0.4,0.25,0.004546691833678273,-0.04745550803570579,0.052002199869384064
CA05,9,0.25,0.25,0.4,0.1,0.01083153892618342,0.000950844052220738,0.009880694873962682
CA05,10,0.1,0.25,0.25,0.4,0.010697741261679536,-0.06782569923937666,0.0785234405010562
CA05,11,0.25,0.1,0.25,0.4,0.004412894169174675,-0.08191067851792277,0.08632357268709745
CA05,12,0.25,0.25,0.1,0.4,0.010563943597176221,-0.06795949691221323,0.07852344050938945
CA06,1,0.4,0.1,0.25,0.25,0.19990655131876134,-0.047589305708542355,0.2474958570273037
CA06,2,0.4,0.25,0.1,0.25,0.19976637820523932,-0.0336381241028328,0.23340450230807214
CA06,3,0.4,0.25,0.25,0.1,0.1997663781885724,0.0008170463793841774,0.19894933180918822
CA06,4,0.1,0.4,0.25,0.25,0.04962620510838287,-0.01941934715145012,0.069045552259833
CA06,5,0.25,0.4,0.1,0.25,0.12462620510005008,-0.019553144824286682,0.14417934992433676
CA06,6,0.25,0.4,0.25,0.1,0.12462620508338317,0.014902025657930298,0.10972417942545287
CA06,7,0.1,0.25,0.4,0.25,0.0497663782219049,-0.03337052875715968,0.08313690697906458
CA06,8,0.25,0.1,0.4,0.25,0.12490655132709415,-0.04745550803570579,0.17236205936279994
CA06,9,0.25,0.25,0.4,0.1,0.1247663781969052,0.000950844052220738,0.12381553414468446
CA06,10,0.1,0.25,0.25,0.4,0.049766378238571815,-0.06782569923937666,0.11759207747794848
CA06,11,0.25,0.1,0.25,0.4,0.12490655134376104,-0.08191067851792277,0.20681722986168383
CA06,12,0.25,0.25,0.1,0.4,0.12476637823023902,-0.06795949691221323,0.19272587514245226
CA07,1,0.4,0.1,0.25,0.25,0.1499408365237685,-0.047589305708542355,0.19753014223231086
CA07,2,0.4,0.25,0.1,0.25,0.16065552324120758,-0.0336381241028328,0.19429364734404037
CA07,3,0.4,0.25,0.25,0.1,0.19497689603392077,0.0008170463793841774,0.1941598496545366
CA07,4,0.1,0.4,0.25,0.25,0.02137020997531218,-0.01941934715145012,0.0407895571267623
CA07,5,0.25,0.4,0.1,0.25,0.09637020996697938,-0.019553144824286682,0.11592335479126606
CA07,6,0.25,0.4,0.25,0.1,0.1306915827596926,0.014902025657930298,0.1157895571017623
CA07,7,0.1,0.25,0.4,0.25,0.01065552325787314,-0.03337052875715968,0.04402605201503282
CA07,8,0.25,0.1,0.4,0.25,0.0749408365321013,-0.04745550803570579,0.1223963445678071
CA07,9,0.25,0.25,0.4,0.1,0.11997689604225355,0.000950844052220738,0.11902605199003281
CA07,10,0.1,0.25,0.25,0.4,-0.023665849534840085,-0.06782569923937666,0.044159849704536576
CA07,11,0.25,0.1,0.25,0.4,0.04061946373938809,-0.08191067851792277,0.12253014225731086
CA07,12,0.25,0.25,0.1,0.4,0.05133415045682713,-0.06795949691221323,0.11929364736904036
CA08,1,0.4,0.1,0.25,0.25,-0.046695829161996896,-0.047589305708542355,0.0008934765465454589
CA08,2,0.4,0.25,0.1,0.25,-0.032943949693369175,-0.0336381241028328,0.0006941744094636285
CA08,3,0.4,0.25,0.25,0.1,0.0019510628368889415,0.0008170463793841774,0.0011340164575047642
CA08,4,0.1,0.4,0.25,0.25,-0.018044767520067374,-0.01941934715145012,0.0013745796313827455
CA08,5,0.25,0.4,0.1,0.25,-0.01861841887240441,-0.019553144824286682,0.0009347259518822718
CA08,6,0.25,0.4,0.25,0.1,0.0162765936578537,0.014902025657930298,0.001374567999923403
CA08,7,0.1,0.25,0.4,0.25,-0.031796646988695096,-0.03337052875715968,0.0015738817684645828
CA08,8,0.25,0.1,0.4,0.25,-0.04612217780965985,-0.04745550803570579,0.0013333302260459395
CA08,9,0.25,0.25,0.4,0.1,0.0025247141892259786,0.000950844052220738,0.0015738701370052407
CA08,10,0.1,0.25,0.25,0.4,-0.06669165951895321,-0.06782569923937666,0.0011340397204234465
CA08,11,0.25,0.1,0.25,0.4,-0.08101719033991797,-0.08191067851792277,0.0008934881780048032
CA08,12,0.25,0.25,0.1,0.4,-0.06726531087129026,-0.06795949691221323,0.0006941860409229728
CA09,1,0.4,0.1,0.25,0.25,-0.047331864023204454,-0.047589305708542355,0.0002574416853379016
CA09,2,0.4,0.25,0.1,0.25,-0.033198363637852196,-0.0336381241028328,0.00043976046498060695
CA09,3,0.4,0.25,0.25,0.1,0.0013150279756813774,0.0008170463793841774,0.0004979815962972
CA09,4,0.1,0.4,0.25,0.25,-0.01868080238127494,-0.01941934715145012,0.0007385447701751813
CA09,5,0.25,0.4,0.1,0.25,-0.018872832816887432,-0.019553144824286682,0.0006803120073992502
CA09,6,0.25,0.4,0.25,0.1,0.015640558796646137,0.014902025657930298,0.0007385331387158387
CA09,7,0.1,0.25,0.4,0.25,-0.032814302766627196,-0.03337052875715968,0.0005562259905324829
CA09,8,0.25,0.1,0.4,0.25,-0.04713983358759196,-0.04745550803570579,0.00031567444811383266
CA09,9,0.25,0.25,0.4,0.1,0.001507058411293876,0.000950844052220738,0.0005562143590731381
CA09,10,0.1,0.25,0.25,0.4,-0.06732769438016079,-0.06782569923937666,0.0004980048592158753
CA09,11,0.25,0.1,0.25,0.4,-0.08165322520112554,-0.08191067851792277,0.00025745331679723205
CA09,12,0.25,0.25,0.1,0.4,-0.06751972481577329,-0.06795949691221323,0.0004397720964399443
CA10,1,0.4,0.1,0.25,0.25,2.322806044983481,-0.047589305708542355,2.3703953506920232
CA10,2,0.4,0.25,0.1,0.25,2.691677455091083,-0.0336381241028328,2.7253155791939156
CA10,3,0.4,0.25,0.25,0.1,2.8216779415964734,0.0008170463793841774,2.8208608952170895
CA10,4,0.1,0.4,0.25,0.25,1.957328489742383,-0.01941934715145012,1.9767478368938332
CA10,5,0.25,0.4,0.1,0.25,2.508938677470534,-0.019553144824286682,2.5284918222948205
CA10,6,0.25,0.4,0.25,0.1,2.6389391639759245,0.014902025657930298,2.6240371383179943
CA10,7,0.1,0.25,0.4,0.25,1.5884570796347812,-0.03337052875715968,1.621827608391941
CA10,8,0.25,0.1,0.4,0.25,1.7711958572553301,-0.04745550803570579,1.8186513652910359
CA10,9,0.25,0.25,0.4,0.1,2.2700677538683225,0.000950844052220738,2.269116909816102
CA10,10,0.1,0.25,0.25,0.4,1.458456593129391,-0.06782569923937666,1.5262822923687676
CA10,11,0.25,0.1,0.25,0.4,1.6411953707499396,-0.08191067851792277,1.7231060492678623
CA10,12,0.25,0.25,0.1,0.4,2.0100667808575414,-0.06795949691221323,2.0780262777697547
