货箱编号,服务区编号,物资类型,交付完成时刻s,期望时刻s,硬时限,首批保障,priority,迟到量s
S001-WAT-02,S001,饮用水,2875.825147417636,3600.0,False,否,12,0.0
S001-WAT-03,S001,饮用水,4639.982471259751,3600.0,False,否,12,1039.982471259751
S001-WAT-04,S001,饮用水,4639.982471259751,3600.0,False,否,12,1039.982471259751
S001-WAT-05,S001,饮用水,8851.646340121562,3600.0,False,否,12,5251.646340121562
S001-WAT-06,S001,饮用水,8851.646340121562,3600.0,False,否,12,5251.646340121562
S001-WAT-07,S001,饮用水,8851.646340121562,3600.0,False,否,12,5251.646340121562
S001-WAT-08,S001,饮用水,8862.610497438289,3600.0,False,否,12,5262.610497438289
S001-FOD-01,S001,应急食品,2875.825147417636,7200.0,False,否,10,0.0
S001-FOD-02,S001,应急食品,2875.825147417636,7200.0,False,否,10,0.0
S001-FOD-03,S001,应急食品,2875.825147417636,7200.0,False,否,10,0.0
S001-HYG-01,S001,生活卫生用品,2875.825147417636,10800.0,False,否,8,0.0
S001-HYG-02,S001,生活卫生用品,8851.646340121562,10800.0,False,否,8,0.0
S002-WAT-02,S002,饮用水,1487.3310830122773,3600.0,False,否,12,0.0
S002-WAT-03,S002,饮用水,1487.3310830122773,3600.0,False,否,12,0.0
S002-WAT-04,S002,饮用水,1487.3310830122773,3600.0,False,否,12,0.0
S002-FOD-01,S002,应急食品,1487.3310830122773,7200.0,False,否,10,0.0
S002-FOD-02,S002,应急食品,4624.207978264353,7200.0,False,否,10,0.0
S002-HYG-01,S002,生活卫生用品,4624.207978264353,10800.0,False,否,8,0.0
S003-WAT-02,S003,饮用水,6361.463804213114,7200.0,False,否,10,0.0
S003-WAT-03,S003,饮用水,6361.463804213114,7200.0,False,否,10,0.0
S003-WAT-04,S003,饮用水,6361.463804213114,7200.0,False,否,10,0.0
S003-FOD-01,S003,应急食品,6361.463804213114,10800.0,False,否,8,0.0
S003-FOD-02,S003,应急食品,8337.235744944257,10800.0,False,否,8,0.0
S003-HYG-01,S003,生活卫生用品,8337.235744944257,14400.0,False,否,6,0.0
S004-WAT-02,S004,饮用水,6970.936554335702,7200.0,False,否,10,0.0
S004-WAT-03,S004,饮用水,6970.936554335702,7200.0,False,否,10,0.0
S004-FOD-01,S004,应急食品,6970.936554335702,10800.0,False,否,8,0.0
S004-HYG-01,S004,生活卫生用品,6970.936554335702,14400.0,False,否,6,0.0
S005-WAT-02,S005,饮用水,8525.32201750848,10800.0,False,否,8,0.0
S005-WAT-03,S005,饮用水,8525.32201750848,10800.0,False,否,8,0.0
S005-FOD-01,S005,应急食品,8525.32201750848,14400.0,False,否,6,0.0
S005-HYG-01,S005,生活卫生用品,8525.32201750848,18000.0,False,否,4,0.0
S006-WAT-02,S006,饮用水,1209.4213122433111,3600.0,False,否,12,0.0
S006-WAT-03,S006,饮用水,1209.4213122433111,3600.0,False,否,12,0.0
S006-FOD-01,S006,应急食品,1209.4213122433111,7200.0,False,否,10,0.0
S006-HYG-01,S006,生活卫生用品,1209.4213122433111,10800.0,False,否,8,0.0
S007-WAT-02,S007,饮用水,3455.6025152299003,3600.0,False,否,12,0.0
S007-FOD-01,S007,应急食品,3455.6025152299003,7200.0,False,否,10,0.0
S007-HYG-01,S007,生活卫生用品,3455.6025152299003,10800.0,False,否,8,0.0
S008-WAT-02,S008,饮用水,4685.423432649062,7200.0,False,否,10,0.0
S008-FOD-01,S008,应急食品,4685.423432649062,10800.0,False,否,8,0.0
S008-HYG-01,S008,生活卫生用品,4685.423432649062,14400.0,False,否,6,0.0
S009-FOD-01,S009,应急食品,6022.233658006704,14400.0,False,否,6,0.0
S010-FOD-01,S010,应急食品,2954.986101835468,7200.0,False,否,10,0.0
S011-FOD-01,S011,应急食品,7396.274138270809,14400.0,False,否,6,0.0
S012-FOD-01,S012,应急食品,1271.3434070745934,7200.0,False,否,10,0.0
S013-FOD-01,S013,应急食品,2985.615941854783,7200.0,False,否,10,0.0
S014-FOD-01,S014,应急食品,1242.4305043060124,7200.0,False,否,10,0.0
S015-FOD-01,S015,应急食品,6438.233799005063,14400.0,False,否,6,0.0
