资源类型,资源编号,架次编号,阶段,开始时刻s,结束时刻s
运输无人机,U07,R000058,任务占用,-0.0,2107.8421660245544
共享电池,C-BAT-02,R000058,任务占用,-0.0,2107.8421660245544
共享电池,C-BAT-02,R000058,充电,2107.8421660245544,4642.282484864676
运输无人机,U08,R000176,任务占用,-0.0,1561.5526244866223
共享电池,C-BAT-04,R000176,任务占用,-0.0,1561.5526244866223
共享电池,C-BAT-04,R000176,充电,1561.5526244866223,3098.505714680826
运输无人机,U06,R000254,任务占用,0.0,1922.826814149187
共享电池,B-BAT-01,R000254,任务占用,0.0,1922.826814149187
共享电池,B-BAT-01,R000254,充电,1922.826814149187,3782.30605001331
运输无人机,U05,R000268,任务占用,-0.0,1869.7476752786915
共享电池,B-BAT-04,R000268,任务占用,-0.0,1869.7476752786915
共享电池,B-BAT-04,R000268,充电,1869.7476752786915,3463.905937610475
运输无人机,U08,R000028,任务占用,1561.5526244866242,3187.7276703486473
共享电池,C-BAT-01,R000028,任务占用,1561.5526244866242,3187.7276703486473
共享电池,C-BAT-01,R000028,充电,3187.7276703486473,4715.9149486634815
运输无人机,U05,R000240,任务占用,1869.747675278693,3425.15119505891
共享电池,B-BAT-03,R000240,任务占用,1869.747675278693,3425.15119505891
共享电池,B-BAT-03,R000240,充电,3425.15119505891,4881.896953701097
运输无人机,U06,R000261,任务占用,1922.8268141491876,3433.3384028937126
共享电池,B-BAT-02,R000261,任务占用,1922.8268141491876,3433.3384028937126
共享电池,B-BAT-02,R000261,充电,3433.3384028937126,4890.77936494152
运输无人机,U07,R000203,任务占用,2107.842166024555,4015.4428644352456
共享电池,C-BAT-03,R000203,任务占用,2107.842166024555,4015.4428644352456
共享电池,C-BAT-03,R000203,充电,4015.4428644352456,5772.609184104531
运输无人机,U08,R000226,任务占用,3187.727670348646,5387.439194949479
共享电池,C-BAT-04,R000226,任务占用,3187.727670348646,5387.439194949479
共享电池,C-BAT-04,R000226,充电,5387.439194949479,7801.37381719055
运输无人机,U06,R000037,任务占用,3463.905937610474,5220.630018918231
共享电池,B-BAT-04,R000037,任务占用,3463.905937610474,5220.630018918231
共享电池,B-BAT-04,R000037,充电,5220.630018918231,6910.54022251998
运输无人机,U05,R000019,任务占用,3782.30605001331,4931.4122258395255
共享电池,B-BAT-01,R000019,任务占用,3782.30605001331,4931.4122258395255
共享电池,B-BAT-01,R000019,充电,4931.4122258395255,6126.9338136078095
运输无人机,U07,R000089,任务占用,4715.914948663483,7152.092659762744
共享电池,C-BAT-01,R000089,任务占用,4715.914948663483,7152.092659762744
共享电池,C-BAT-01,R000089,充电,7152.092659762744,9698.33751068047
运输无人机,U05,R000233,任务占用,4931.4122258395255,6489.875090173883
共享电池,B-BAT-03,R000233,任务占用,4931.4122258395255,6489.875090173883
共享电池,B-BAT-03,R000233,充电,6489.875090173883,8064.9340761918465
运输无人机,U06,R000275,任务占用,5220.630018918233,7048.9575790918925
共享电池,B-BAT-02,R000275,任务占用,5220.630018918233,7048.9575790918925
共享电池,B-BAT-02,R000275,充电,7048.9575790918925,8715.57919183283
运输无人机,U08,R000120,任务占用,5387.439194949478,7688.493913721924
共享电池,C-BAT-02,R000120,任务占用,5387.439194949478,7688.493913721924
共享电池,C-BAT-02,R000120,充电,7688.493913721924,10188.24322996293
运输无人机,U05,R000247,任务占用,6489.875090173882,7678.299853034403
共享电池,B-BAT-01,R000247,任务占用,6489.875090173882,7678.299853034403
共享电池,B-BAT-01,R000247,充电,7678.299853034403,8810.350565846049
运输无人机,U06,R000067,任务占用,7048.957579091893,9069.567244129956
共享电池,B-BAT-04,R000067,任务占用,7048.957579091893,9069.567244129956
共享电池,B-BAT-04,R000067,充电,9069.567244129956,10786.771920987978
运输无人机,U07,R000143,任务占用,7152.092659762746,9029.281375254217
共享电池,C-BAT-03,R000143,任务占用,7152.092659762746,9029.281375254217
共享电池,C-BAT-03,R000143,充电,9029.281375254217,11006.12242826876
运输无人机,U08,R000027,任务占用,7801.373817190551,9163.548863052574
共享电池,C-BAT-04,R000027,任务占用,7801.373817190551,9163.548863052574
共享电池,C-BAT-04,R000027,充电,9163.548863052574,10614.782562879574
运输无人机,U05,R000009,任务占用,8064.934076191847,9154.040252018063
共享电池,B-BAT-03,R000009,任务占用,8064.934076191847,9154.040252018063
共享电池,B-BAT-03,R000009,充电,9154.040252018063,10257.068647811206
