架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
R000058,U07,C,C-BAT-02,0.0,O01→S002→O01,2107.842,6.28101
R000176,U08,C,C-BAT-04,0.0,O01→S006→O01,1561.553,2.597981
R000254,U06,B,B-BAT-01,0.0,O01→S012→O01,1922.827,2.752644
R000268,U05,B,B-BAT-04,0.0,O01→S014→O01,1869.748,2.140365
R000028,U08,C,C-BAT-01,1561.553,O01→S001→O01,3187.728,2.565615
R000240,U05,B,B-BAT-03,1869.748,O01→S010→O01,3425.151,1.823259
R000261,U06,B,B-BAT-02,1922.827,O01→S013→O01,3433.338,1.824864
R000203,U07,C,C-BAT-03,2107.842,O01→S007→O01,4015.443,3.411076
R000226,U08,C,C-BAT-04,3187.728,O01→S008→O01,5387.439,5.836066
R000037,U06,B,B-BAT-04,3463.906,O01→S002→O01,5220.63,2.361331
R000019,U05,B,B-BAT-01,3782.306,O01→S001→O01,4931.412,1.220434
R000089,U07,C,C-BAT-01,4715.915,O01→S003→O01,7152.093,6.324596
R000233,U05,B,B-BAT-03,4931.412,O01→S009→O01,6489.875,2.09629
R000275,U06,B,B-BAT-02,5220.63,O01→S015→O01,7048.958,2.307588
R000120,U08,C,C-BAT-02,5387.439,O01→S004→O01,7688.494,6.152921
R000247,U05,B,B-BAT-01,6489.875,O01→S011→O01,7678.3,1.073963
R000067,U06,B,B-BAT-04,7048.958,O01→S003→O01,9069.567,2.424318
R000143,U07,C,C-BAT-03,7152.093,O01→S005→O01,9029.281,4.222182
R000027,U08,C,C-BAT-04,7801.374,O01→S001→O01,9163.549,2.281478
R000009,U05,B,B-BAT-03,8064.934,O01→S001→O01,9154.04,1.006989
