资源类型,资源编号,机型编号,执行架次,占用总时长s,最后返场s,占用率,使用次数,任务总时长s,充电总时长s,最后充满s
实体运输无人机,U05,B,6.0,8410.251173906217,9154.040252018063,0.9177941100763207,,,,
实体运输无人机,U06,B,5.0,9038.99970941319,9069.567244129956,0.9864081967040558,,,,
实体运输无人机,U07,C,4.0,8328.809291025977,9029.281375254217,0.9089065181512517,,,,
实体运输无人机,U08,C,5.0,9050.668959583949,9163.548863052574,0.9876816389418998,,,,
共享电池,B-BAT-01,B,,,,,3.0,4260.357752835923,4187.051536444053,8810.350565846049
共享电池,B-BAT-02,B,,,,,2.0,3338.8391489181845,3124.062574788745,8715.57919183283
共享电池,B-BAT-03,B,,,,,3.0,4202.97255994079,4134.833140453293,10257.068647811206
共享电池,B-BAT-04,B,,,,,3.0,5647.081421624511,5001.273142791554,10786.771920987978
共享电池,C-BAT-01,C,,,,,2.0,4062.352756961284,4074.432129232561,9698.33751068047
共享电池,C-BAT-02,C,,,,,2.0,4408.896884797001,5034.189635081128,10188.24322996293
共享电池,C-BAT-03,C,,,,,2.0,3784.789413902162,3734.007372683828,11006.12242826876
共享电池,C-BAT-04,C,,,,,3.0,5123.439194949479,5402.121412262274,10614.782562879574
