货箱编号,服务区编号,物资类型,交付完成时刻s,期望时刻s,硬时限,首批保障,priority,迟到量s
S014-FOD-01,S014,应急食品,1242.4305043060124,,False,False,10.0,0.0
S002-FOD-01,S002,应急食品,1487.3310830122773,,False,False,10.0,0.0
S002-FOD-02,S002,应急食品,1487.3310830122773,,False,False,10.0,0.0
S002-WAT-02,S002,饮用水,1487.3310830122773,,False,False,12.0,0.0
S002-WAT-03,S002,饮用水,1487.3310830122773,,False,False,12.0,0.0
S013-FOD-01,S013,应急食品,1062.7891277055958,,False,False,10.0,0.0
S001-FOD-01,S001,应急食品,1380.2725229310115,,False,False,10.0,0.0
S001-FOD-02,S001,应急食品,1380.2725229310115,,False,False,10.0,0.0
S001-FOD-03,S001,应急食品,1380.2725229310115,,False,False,10.0,0.0
S001-HYG-01,S001,生活卫生用品,1380.2725229310115,,False,False,8.0,0.0
S001-HYG-02,S001,生活卫生用品,1380.2725229310115,,False,False,8.0,0.0
S001-WAT-08,S001,饮用水,1380.2725229310115,,False,False,12.0,0.0
S010-FOD-01,S010,应急食品,2595.7500153013034,,False,False,10.0,0.0
S006-FOD-01,S006,应急食品,2901.596358105334,,False,False,10.0,0.0
S006-HYG-01,S006,生活卫生用品,2901.596358105334,,False,False,8.0,0.0
S006-WAT-02,S006,饮用水,2901.596358105334,,False,False,12.0,0.0
S006-WAT-03,S006,饮用水,2901.596358105334,,False,False,12.0,0.0
S012-FOD-01,S012,应急食品,3141.091082353283,,False,False,10.0,0.0
S007-FOD-01,S007,应急食品,3455.6025152298967,,False,False,10.0,0.0
S007-HYG-01,S007,生活卫生用品,3455.6025152298967,,False,False,8.0,0.0
S007-WAT-02,S007,饮用水,3455.6025152298967,,False,False,12.0,0.0
S003-FOD-01,S003,应急食品,4907.840604505083,,False,False,8.0,0.0
S003-FOD-02,S003,应急食品,4907.840604505083,,False,False,8.0,0.0
S003-WAT-02,S003,饮用水,4907.840604505083,,False,False,10.0,0.0
S003-WAT-03,S003,饮用水,4907.840604505083,,False,False,10.0,0.0
S001-WAT-06,S001,饮用水,4321.582358856912,,False,False,12.0,721.5823588569119
S001-WAT-07,S001,饮用水,4321.582358856912,,False,False,12.0,721.5823588569119
S015-FOD-01,S015,应急食品,5010.178269514706,,False,False,6.0,0.0
S011-FOD-01,S011,应急食品,5519.41116153362,,False,False,6.0,0.0
S004-FOD-01,S004,应急食品,6374.178119929071,,False,False,8.0,0.0
S004-HYG-01,S004,生活卫生用品,6374.178119929071,,False,False,6.0,0.0
S004-WAT-02,S004,饮用水,6374.178119929071,,False,False,10.0,0.0
S004-WAT-03,S004,饮用水,6374.178119929071,,False,False,10.0,0.0
S001-WAT-02,S001,饮用水,6509.730146538445,,False,False,12.0,2909.7301465384453
S001-WAT-03,S001,饮用水,6509.730146538445,,False,False,12.0,2909.7301465384453
S008-FOD-01,S008,应急食品,7196.165222355125,,False,False,8.0,0.0
S008-HYG-01,S008,生活卫生用品,7196.165222355125,,False,False,6.0,0.0
S008-WAT-02,S008,饮用水,7196.165222355125,,False,False,10.0,0.0
S002-HYG-01,S002,生活卫生用品,6968.83574185885,,False,False,8.0,0.0
S002-WAT-04,S002,饮用水,6968.83574185885,,False,False,12.0,3368.8357418588503
S001-WAT-04,S001,饮用水,7791.164010355301,,False,False,12.0,4191.164010355301
S001-WAT-05,S001,饮用水,7791.164010355301,,False,False,12.0,4191.164010355301
S005-FOD-01,S005,应急食品,8464.964837061027,,False,False,6.0,0.0
S005-HYG-01,S005,生活卫生用品,8464.964837061027,,False,False,4.0,0.0
S005-WAT-02,S005,饮用水,8464.964837061027,,False,False,8.0,0.0
S005-WAT-03,S005,饮用水,8464.964837061027,,False,False,8.0,0.0
S003-HYG-01,S003,生活卫生用品,8853.535948365086,,False,False,6.0,0.0
S003-WAT-04,S003,饮用水,8853.535948365086,,False,False,10.0,1653.5359483650864
S009-FOD-01,S009,应急食品,9173.415197102264,,False,False,6.0,0.0
