资源类型,资源编号,架次编号,阶段,开始时刻s,结束时刻s
运输无人机,U08,K00592,任务占用,0.0,1907.600698410691
共享电池,C-BAT-02,K00592,任务占用,0.0,1907.600698410691
共享电池,C-BAT-02,K00592,充电,1907.600698410691,3664.767018079976
运输无人机,U05,K00309,任务占用,0.0,1869.7476752786915
共享电池,B-BAT-04,K00309,任务占用,0.0,1869.7476752786915
共享电池,B-BAT-04,K00309,充电,1869.7476752786915,3463.905937610475
运输无人机,U07,K00455,任务占用,0.0,1561.5526244866223
共享电池,C-BAT-04,K00455,任务占用,0.0,1561.5526244866223
共享电池,C-BAT-04,K00455,充电,1561.5526244866223,3098.505714680826
运输无人机,U06,K00178,任务占用,0.0,1510.511588744525
共享电池,B-BAT-03,K00178,任务占用,0.0,1510.511588744525
共享电池,B-BAT-03,K00178,充电,1510.511588744525,2967.9525507923327
运输无人机,U06,K00176,任务占用,1510.5115887445281,3065.9151085247454
共享电池,B-BAT-02,K00176,任务占用,1510.5115887445281,3065.9151085247454
共享电池,B-BAT-02,K00176,充电,3065.9151085247454,4522.660867166933
运输无人机,U07,K00474,任务占用,1561.5526244866196,3253.7276703486423
共享电池,C-BAT-01,K00474,任务占用,1561.5526244866196,3253.7276703486423
共享电池,C-BAT-01,K00474,充电,3253.7276703486423,4823.844373442073
运输无人机,U05,K00478,任务占用,1869.7476752786897,3792.574489427877
共享电池,B-BAT-01,K00478,任务占用,1869.7476752786897,3792.574489427877
共享电池,B-BAT-01,K00478,充电,3792.574489427877,5652.053725292
运输无人机,U08,K00873,任务占用,1907.6006984106934,4015.442864435248
共享电池,C-BAT-03,K00873,任务占用,1907.6006984106934,4015.442864435248
共享电池,C-BAT-03,K00873,充电,4015.442864435248,6459.951672586552
运输无人机,U06,K00112,任务占用,3065.9151085247436,4215.021284350959
共享电池,B-BAT-03,K00112,任务占用,3065.9151085247436,4215.021284350959
共享电池,B-BAT-03,K00112,充电,4215.021284350959,5410.542872119243
运输无人机,U07,K00895,任务占用,3253.7276703486423,5554.782389121088
共享电池,C-BAT-04,K00895,任务占用,3253.7276703486423,5554.782389121088
共享电池,C-BAT-04,K00895,充电,5554.782389121088,8054.531705362095
运输无人机,U05,K00345,任务占用,3792.574489427876,5620.9020496015355
共享电池,B-BAT-04,K00345,任务占用,3792.574489427876,5620.9020496015355
共享电池,B-BAT-04,K00345,充电,5620.9020496015355,7287.5236623424735
运输无人机,U08,K00879,任务占用,4015.4428644352447,6451.620575534505
共享电池,C-BAT-02,K00879,任务占用,4015.4428644352447,6451.620575534505
共享电池,C-BAT-02,K00879,充电,6451.620575534505,8908.148903028727
运输无人机,U06,K00115,任务占用,4522.660867166938,5671.767042993154
共享电池,B-BAT-02,K00115,任务占用,4522.660867166938,5671.767042993154
共享电池,B-BAT-02,K00115,充电,5671.767042993154,6867.288630761438
运输无人机,U07,K00862,任务占用,5554.7823891210855,7754.493913721919
共享电池,C-BAT-01,K00862,任务占用,5554.7823891210855,7754.493913721919
共享电池,C-BAT-01,K00862,充电,7754.493913721919,10168.428535962988
运输无人机,U05,K00448,任务占用,5620.902049601529,7641.511714639591
共享电池,B-BAT-03,K00448,任务占用,5620.902049601529,7641.511714639591
共享电池,B-BAT-03,K00448,充电,7641.511714639591,9428.647593654076
运输无人机,U06,K00117,任务占用,5671.76704299316,6820.873218819376
共享电池,B-BAT-01,K00117,任务占用,5671.76704299316,6820.873218819376
共享电池,B-BAT-01,K00117,充电,6820.873218819376,8016.39480658766
运输无人机,U08,K00633,任务占用,6459.951672586554,8337.140388078025
共享电池,C-BAT-03,K00633,任务占用,6459.951672586554,8337.140388078025
共享电池,C-BAT-03,K00633,充电,8337.140388078025,10313.981441092568
运输无人机,U06,K00064,任务占用,6867.288630761439,8055.71339362196
共享电池,B-BAT-02,K00064,任务占用,6867.288630761439,8055.71339362196
共享电池,B-BAT-02,K00064,充电,8055.71339362196,9187.764106433606
运输无人机,U05,K00306,任务占用,7641.511714639593,9199.97457897395
共享电池,B-BAT-04,K00306,任务占用,7641.511714639593,9199.97457897395
共享电池,B-BAT-04,K00306,充电,9199.97457897395,10775.033564991914
运输无人机,U06,K00422,任务占用,8055.713393621962,9812.437474929719
共享电池,B-BAT-01,K00422,任务占用,8055.713393621962,9812.437474929719
共享电池,B-BAT-01,K00422,充电,9812.437474929719,11571.125925665769
