架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,实际起飞时刻（s）,访问服务区顺序,返回O01时刻（s）,电池充满时刻（s）,架次能耗（kWh）,返场SOC,货箱数,货箱编号
K00592,U08,C,C-BAT-02,0.0,450.0,O01→S007→O01,1907.600698,3664.767018,3.411075642,0.573615545,5,S007-FOD-01、S007-HYG-01、S007-MED-01、S007-WAT-01、S007-WAT-02
K00309,U05,B,B-BAT-04,0.0,390.0,O01→S014→O01,1869.747675,3463.905938,2.140365221,0.464908695,3,S014-FOD-01、S014-MED-01、S014-WAT-01
K00455,U07,C,C-BAT-04,0.0,480.0,O01→S006→O01,1561.552624,3098.505715,2.597980641,0.67525242,6,S006-FOD-01、S006-HYG-01、S006-MED-01、S006-WAT-01、S006-WAT-02、S006-WAT-03
K00178,U06,B,B-BAT-03,0.0,390.0,O01→S013→O01,1510.511589,2967.952551,1.824863759,0.54378406,3,S013-FOD-01、S013-MED-01、S013-WAT-01
K00176,U06,B,B-BAT-02,1510.511589,1900.511589,O01→S010→O01,3065.915109,4522.660867,1.823259443,0.544185139,3,S010-FOD-01、S010-MED-01、S010-WAT-01
K00474,U07,C,C-BAT-01,1561.552624,2131.552624,O01→S001→O01,3253.72767,4823.844373,2.720430904,0.659946137,9,S001-FOD-01、S001-FOD-02、S001-FOD-03、S001-HYG-01、S001-HYG-02、S001-MED-01、S001-MED-02、S001-WAT-01、S001-WAT-08
K00478,U05,B,B-BAT-01,1869.747675,2259.747675,O01→S012→O01,3792.574489,5652.053725,2.75264439,0.311838902,3,S012-FOD-01、S012-MED-01、S012-WAT-01
K00873,U08,C,C-BAT-03,1907.600698,2387.600698,O01→S002→O01,4015.442864,6459.951673,5.948955599,0.25638055,6,S002-FOD-01、S002-FOD-02、S002-MED-01、S002-WAT-01、S002-WAT-03、S002-WAT-04
K00112,U06,B,B-BAT-03,3065.915109,3425.915109,O01→S001→O01,4215.021284,5410.542872,1.220434433,0.694891392,2,S001-WAT-06、S001-WAT-07
K00895,U07,C,C-BAT-04,3253.72767,3733.72767,O01→S004→O01,5554.782389,8054.531705,6.152920552,0.230884931,6,S004-FOD-01、S004-HYG-01、S004-MED-01、S004-WAT-01、S004-WAT-02、S004-WAT-03
K00345,U05,B,B-BAT-04,3792.574489,4182.574489,O01→S015→O01,5620.90205,7287.523662,2.307588337,0.423102916,3,S015-FOD-01、S015-MED-01、S015-WAT-01
K00879,U08,C,C-BAT-02,4015.442864,4495.442864,O01→S003→O01,6451.620576,8908.148903,5.993335363,0.25083308,6,S003-FOD-01、S003-FOD-02、S003-MED-01、S003-WAT-01、S003-WAT-03、S003-WAT-04
K00115,U06,B,B-BAT-02,4522.660867,4882.660867,O01→S001→O01,5671.767043,6867.288631,1.220434433,0.694891392,2,S001-WAT-02、S001-WAT-03
K00862,U07,C,C-BAT-01,5554.782389,6004.782389,O01→S008→O01,7754.493914,10168.428536,5.836066298,0.270491713,5,S008-FOD-01、S008-HYG-01、S008-MED-01、S008-WAT-01、S008-WAT-02
K00448,U05,B,B-BAT-03,5620.90205,5980.90205,O01→S003→O01,7641.511715,9428.647594,2.585698182,0.353575454,2,S003-HYG-01、S003-WAT-02
K00117,U06,B,B-BAT-01,5671.767043,6031.767043,O01→S001→O01,6820.873219,8016.394807,1.220434433,0.694891392,2,S001-WAT-04、S001-WAT-05
K00633,U08,C,C-BAT-03,6459.951673,6939.951673,O01→S005→O01,8337.140388,10313.981441,4.22218235,0.472227206,6,S005-FOD-01、S005-HYG-01、S005-MED-01、S005-WAT-01、S005-WAT-02、S005-WAT-03
K00064,U06,B,B-BAT-02,6867.288631,7257.288631,O01→S011→O01,8055.713394,9187.764106,1.073963183,0.731509204,3,S011-FOD-01、S011-MED-01、S011-WAT-01
K00306,U05,B,B-BAT-04,7641.511715,8031.511715,O01→S009→O01,9199.974579,10775.033565,2.096289968,0.475927508,3,S009-FOD-01、S009-MED-01、S009-WAT-01
K00422,U06,B,B-BAT-01,8055.713394,8415.713394,O01→S002→O01,9812.437475,11571.125926,2.520050271,0.369987432,2,S002-HYG-01、S002-WAT-02
