货箱编号,架次编号,服务区编号,访问事件,交付完成时刻（s）,期望送达时间（s）,适用硬截止时间（s）,时限裕度或迟到量（s）
S013-FOD-01,K00178,S013,1,1062.789128,7200.0,,0.0
S013-MED-01,K00178,S013,1,1062.789128,3600.0,3600.0,2537.210872
S013-WAT-01,K00178,S013,1,1062.789128,3600.0,3600.0,2537.210872
S006-FOD-01,K00455,S006,1,1209.421312,7200.0,,0.0
S006-HYG-01,K00455,S006,1,1209.421312,10800.0,,0.0
S006-MED-01,K00455,S006,1,1209.421312,3600.0,3600.0,2390.578688
S006-WAT-01,K00455,S006,1,1209.421312,3600.0,3600.0,2390.578688
S006-WAT-02,K00455,S006,1,1209.421312,3600.0,,0.0
S006-WAT-03,K00455,S006,1,1209.421312,3600.0,,0.0
S014-FOD-01,K00309,S014,1,1242.430504,7200.0,,0.0
S014-MED-01,K00309,S014,1,1242.430504,7200.0,3600.0,2357.569496
S014-WAT-01,K00309,S014,1,1242.430504,3600.0,3600.0,2357.569496
S007-FOD-01,K00592,S007,1,1347.760349,7200.0,,0.0
S007-HYG-01,K00592,S007,1,1347.760349,10800.0,,0.0
S007-MED-01,K00592,S007,1,1347.760349,3600.0,3600.0,2252.239651
S007-WAT-01,K00592,S007,1,1347.760349,3600.0,3600.0,2252.239651
S007-WAT-02,K00592,S007,1,1347.760349,3600.0,,0.0
S010-FOD-01,K00176,S010,1,2595.750015,7200.0,,0.0
S010-MED-01,K00176,S010,1,2595.750015,3600.0,3600.0,1004.249985
S010-WAT-01,K00176,S010,1,2595.750015,3600.0,3600.0,1004.249985
S001-FOD-01,K00474,S001,1,2941.825147,7200.0,,0.0
S001-FOD-02,K00474,S001,1,2941.825147,7200.0,,0.0
S001-FOD-03,K00474,S001,1,2941.825147,7200.0,,0.0
S001-HYG-01,K00474,S001,1,2941.825147,10800.0,,0.0
S001-HYG-02,K00474,S001,1,2941.825147,10800.0,,0.0
S001-MED-01,K00474,S001,1,2941.825147,3600.0,3600.0,658.174853
S001-MED-02,K00474,S001,1,2941.825147,3600.0,3600.0,658.174853
S001-WAT-01,K00474,S001,1,2941.825147,3600.0,3600.0,658.174853
S001-WAT-08,K00474,S001,1,2941.825147,3600.0,,0.0
S012-FOD-01,K00478,S012,1,3141.091082,7200.0,,0.0
S012-MED-01,K00478,S012,1,3141.091082,7200.0,3600.0,458.908918
S012-WAT-01,K00478,S012,1,3141.091082,3600.0,3600.0,458.908918
S002-FOD-01,K00873,S002,1,3394.931781,7200.0,,0.0
S002-FOD-02,K00873,S002,1,3394.931781,7200.0,,0.0
