货箱编号,服务区编号,物资类型,交付完成时刻s,适用截止时刻s,硬时限,首批保障,priority,时限裕度s
S014-MED-01,S014,医疗物资,1242.4305043060124,3600.0,True,True,22.0,2357.569495693988
S014-WAT-01,S014,饮用水,1242.4305043060124,3600.0,True,True,12.0,2357.569495693988
S002-MED-01,S002,医疗物资,1487.3310830122773,3600.0,True,True,24.0,2112.6689169877227
S002-WAT-01,S002,饮用水,1487.3310830122773,3600.0,True,True,12.0,2112.6689169877227
S013-MED-01,S013,医疗物资,1062.7891277055958,3600.0,True,True,24.0,2537.210872294404
S013-WAT-01,S013,饮用水,1062.7891277055958,3600.0,True,True,12.0,2537.210872294404
S001-MED-01,S001,医疗物资,1380.2725229310115,3600.0,True,True,24.0,2219.7274770689883
S001-MED-02,S001,医疗物资,1380.2725229310115,3600.0,True,False,24.0,2219.7274770689883
S001-WAT-01,S001,饮用水,1380.2725229310115,3600.0,True,True,12.0,2219.7274770689883
S010-MED-01,S010,医疗物资,2595.7500153013034,3600.0,True,True,24.0,1004.2499846986966
S010-WAT-01,S010,饮用水,2595.7500153013034,3600.0,True,True,12.0,1004.2499846986966
S006-MED-01,S006,医疗物资,2901.596358105334,3600.0,True,True,24.0,698.4036418946662
S006-WAT-01,S006,饮用水,2901.596358105334,3600.0,True,True,12.0,698.4036418946662
S012-MED-01,S012,医疗物资,3141.091082353283,3600.0,True,True,22.0,458.9089176467169
S012-WAT-01,S012,饮用水,3141.091082353283,3600.0,True,True,12.0,458.9089176467169
S007-MED-01,S007,医疗物资,3455.6025152298967,3600.0,True,True,24.0,144.39748477010335
S007-WAT-01,S007,饮用水,3455.6025152298967,3600.0,True,True,12.0,144.39748477010335
S003-MED-01,S003,医疗物资,4907.840604505083,7200.0,True,True,20.0,2292.1593954949167
S003-WAT-01,S003,饮用水,4907.840604505083,7200.0,True,True,10.0,2292.1593954949167
S015-MED-01,S015,医疗物资,5010.178269514706,7200.0,True,True,18.0,2189.821730485294
S015-WAT-01,S015,饮用水,5010.178269514706,10800.0,True,True,8.0,5789.821730485294
S011-MED-01,S011,医疗物资,5519.41116153362,10800.0,True,True,16.0,5280.58883846638
S011-WAT-01,S011,饮用水,5519.41116153362,10800.0,True,True,8.0,5280.58883846638
S004-MED-01,S004,医疗物资,6374.178119929071,7200.0,True,True,20.0,825.8218800709292
S004-WAT-01,S004,饮用水,6374.178119929071,7200.0,True,True,10.0,825.8218800709292
S008-MED-01,S008,医疗物资,7196.165222355125,7200.0,True,True,20.0,3.8347776448754303
S008-WAT-01,S008,饮用水,7196.165222355125,7200.0,True,True,10.0,3.8347776448754303
S005-MED-01,S005,医疗物资,8464.964837061027,10800.0,True,True,16.0,2335.0351629389734
S005-WAT-01,S005,饮用水,8464.964837061027,10800.0,True,True,8.0,2335.0351629389734
S009-MED-01,S009,医疗物资,9173.415197102264,10800.0,True,True,16.0,1626.5848028977362
S009-WAT-01,S009,饮用水,9173.415197102264,10800.0,True,True,8.0,1626.5848028977362
