资源类型,资源编号,机型编号,执行次数,任务占用总时长s,最后返场s,占用率,充电总时长s,最后充满s
实体运输无人机,U01,A,0,0.0,0.0,0.0,,
实体运输无人机,U02,A,0,0.0,0.0,0.0,,
实体运输无人机,U03,A,0,0.0,0.0,0.0,,
实体运输无人机,U04,A,0,0.0,0.0,0.0,,
实体运输无人机,U05,B,5,9199.974578973957,9199.97457897395,0.9375830014182945,,
实体运输无人机,U06,B,7,9458.382480171667,9812.437474929719,0.9639177324021025,,
实体运输无人机,U07,C,4,7754.493913721924,7754.493913721919,0.7902719312642006,,
实体运输无人机,U08,C,4,8328.809291025977,8337.140388078025,0.848801259860831,,
共享电池,A-BAT-01,A,0,0.0,,,0.0,0.0
共享电池,A-BAT-02,A,0,0.0,,,0.0,0.0
共享电池,A-BAT-03,A,0,0.0,,,0.0,0.0
共享电池,A-BAT-04,A,0,0.0,,,0.0,0.0
共享电池,A-BAT-05,A,0,0.0,,,0.0,0.0
共享电池,A-BAT-06,A,0,0.0,,,0.0,0.0
共享电池,B-BAT-01,B,3,4828.65707128316,,,4813.689274368458,11571.125925665769
共享电池,B-BAT-02,B,3,3892.9344584669534,,,3784.318059222118,9187.764106433606
共享电池,B-BAT-03,B,3,4680.2274296088035,,,4440.098428830576,9428.647593654076
共享电池,B-BAT-04,B,3,5256.538099786709,,,4835.838861090685,10775.033564991914
共享电池,C-BAT-01,C,2,3891.886570462856,,,3984.0513253345007,10168.428535962988
共享电池,C-BAT-02,C,2,4343.778409509951,,,4213.694647163506,8908.148903028727
共享电池,C-BAT-03,C,2,3985.0308815160256,,,4421.349861165848,10313.981441092568
共享电池,C-BAT-04,C,2,3862.607343259068,,,4036.70240643521,8054.531705362095
