vehicle,zones,counts,nbox,mass,volume,energy,horizontal_energy,climb_energy,duration,prep_s,offsets,latest_start,urgent_start,soc,charge_s,route_id
B,"[""S001""]","{""S001|医疗物资"": 1}",1,3.0,0.012,0.9378899520498651,0.8785722688301674,0.05931768321969774,1089.1061758262156,330.0,"{""S001|医疗物资"": 797.6764212464411}",2802.3235787535586,2802.3235787535586,0.7655275119875338,1073.0856458882747,R000001
B,"[""S001""]","{""S001|生活卫生用品"": 1}",1,6.0,0.035,0.9509369839181344,0.8899688975211753,0.060968086396959095,1089.1061758262156,330.0,"{""S001|生活卫生用品"": 797.6764212464411}",inf,inf,0.7622657540204664,1078.7393596978584,R000002
B,"[""S001""]","{""S001|医疗物资"": 2}",2,6.0,0.024,0.9509369839181344,0.8899688975211753,0.060968086396959095,1149.1061758262156,360.0,"{""S001|医疗物资"": 857.6764212464411}",2742.3235787535586,2742.3235787535586,0.7622657540204664,1078.7393596978584,R000003
B,"[""S001""]","{""S001|应急食品"": 1}",1,8.0,0.028,0.962009851590101,0.8999414964083009,0.0620683551818,1089.1061758262156,330.0,"{""S001|应急食品"": 797.6764212464411}",inf,inf,0.7594975371024748,1083.5376023557103,R000004
B,"[""S001""]","{""S001|医疗物资"": 1, ""S001|生活卫生用品"": 1}",2,9.0,0.047,0.9682483297204674,0.9056298401462468,0.06261848957422045,1149.1061758262156,360.0,"{""S001|医疗物资"": 857.6764212464411, ""S001|生活卫生用品"": 857.6764212464411}",2742.3235787535586,2742.3235787535586,0.7579379175698832,1086.2409428788692,R000005
B,"[""S001""]","{""S001|医疗物资"": 1, ""S001|应急食品"": 1}",2,11.0,0.04,0.9821776691399837,0.9184589107809222,0.06371875835906135,1149.1061758262156,360.0,"{""S001|医疗物资"": 857.6764212464411, ""S001|应急食品"": 857.6764212464411}",2742.3235787535586,2742.3235787535586,0.7544555827150041,1092.2769899606596,R000006
B,"[""S001""]","{""S001|生活卫生用品"": 2}",2,12.0,0.07,0.9899022345212865,0.9256333417698046,0.0642688927514818,1149.1061758262156,360.0,"{""S001|生活卫生用品"": 857.6764212464411}",inf,inf,0.7525244413696783,1095.624301625891,R000007
B,"[""S001""]","{""S001|医疗物资"": 2, ""S001|生活卫生用品"": 1}",3,12.0,0.059000000000000004,0.9899022345212865,0.9256333417698046,0.0642688927514818,1209.1061758262156,390.0,"{""S001|医疗物资"": 917.6764212464411, ""S001|生活卫生用品"": 917.6764212464411}",2682.3235787535586,2682.3235787535586,0.7525244413696783,1095.624301625891,R000008
B,"[""S001""]","{""S001|饮用水"": 1}",1,14.0,0.027,1.0069886056764816,0.9416194441401589,0.0653691615363227,1089.1061758262156,330.0,"{""S001|饮用水"": 797.6764212464411}",inf,2802.3235787535586,0.7482528485808796,1103.028395793142,R000009
B,"[""S001""]","{""S001|生活卫生用品"": 1, ""S001|应急食品"": 1}",2,14.0,0.063,1.0069886056764816,0.9416194441401589,0.0653691615363227,1149.1061758262156,360.0,"{""S001|生活卫生用品"": 857.6764212464411, ""S001|应急食品"": 857.6764212464411}",inf,inf,0.7482528485808796,1103.028395793142,R000010
B,"[""S001""]","{""S001|医疗物资"": 2, ""S001|应急食品"": 1}",3,14.0,0.052000000000000005,1.0069886056764816,0.9416194441401589,0.0653691615363227,1209.1061758262156,390.0,"{""S001|医疗物资"": 917.6764212464411, ""S001|应急食品"": 917.6764212464411}",2682.3235787535586,2682.3235787535586,0.7482528485808796,1103.028395793142,R000011
B,"[""S001""]","{""S001|应急食品"": 2}",2,16.0,0.056,1.0264677522049264,0.9599983218837627,0.0664694303211636,1149.1061758262156,360.0,"{""S001|应急食品"": 857.6764212464411}",inf,inf,0.7433830619487685,1111.4693592888013,R000012
B,"[""S001""]","{""S001|医疗物资"": 1, ""S001|饮用水"": 1}",2,17.0,0.039,1.0372021221594647,0.9701825574458807,0.06701956471358406,1149.1061758262156,360.0,"{""S001|医疗物资"": 857.6764212464411, ""S001|饮用水"": 857.6764212464411}",2742.3235787535586,2742.3235787535586,0.7406994694601339,1116.1209196024347,R000013
B,"[""S001""]","{""S001|医疗物资"": 1, ""S001|应急食品"": 2}",3,19.0,0.068,1.0609064511229427,0.9927866176245177,0.06811983349842496,1209.1061758262156,390.0,"{""S001|医疗物资"": 917.6764212464411, ""S001|应急食品"": 917.6764212464411}",2682.3235787535586,2682.3235787535586,0.7347733872192643,1126.3927954866085,R000014
B,"[""S001""]","{""S001|生活卫生用品"": 1, ""S001|饮用水"": 1}",2,20.0,0.062,1.073995707624496,1.0053257397336506,0.06866996789084541,1149.1061758262156,360.0,"{""S001|生活卫生用品"": 857.6764212464411, ""S001|饮用水"": 857.6764212464411}",inf,2742.3235787535586,0.731501073093876,1132.0648066372817,R000015
B,"[""S001""]","{""S001|医疗物资"": 2, ""S001|饮用水"": 1}",3,20.0,0.051000000000000004,1.073995707624496,1.0053257397336506,0.06866996789084541,1209.1061758262156,390.0,"{""S001|医疗物资"": 917.6764212464411, ""S001|饮用水"": 917.6764212464411}",2682.3235787535586,2682.3235787535586,0.731501073093876,1132.0648066372817,R000016
B,"[""S001""]","{""S001|应急食品"": 1, ""S001|饮用水"": 1}",2,22.0,0.055,1.1030108820405364,1.0332406453648502,0.06977023667568631,1149.1061758262156,360.0,"{""S001|应急食品"": 857.6764212464411, ""S001|饮用水"": 857.6764212464411}",inf,2742.3235787535586,0.7242472794898659,1144.6380488842324,R000017
B,"[""S001""]","{""S001|医疗物资"": 1, ""S001|应急食品"": 1, ""S001|饮用水"": 1}",3,25.0,0.067,1.1550472415422686,1.0836266016893208,0.07142063985294766,1209.1061758262156,390.0,"{""S001|医疗物资"": 917.6764212464411, ""S001|应急食品"": 917.6764212464411, ""S001|饮用水"": 917.6764212464411}",2682.3235787535586,2682.3235787535586,0.7112381896144329,1167.1871380016498,R000018
B,"[""S001""]","{""S001|饮用水"": 2}",2,28.0,0.054,1.220434433311425,1.147363390281216,0.07307104303020902,1149.1061758262156,360.0,"{""S001|饮用水"": 857.6764212464411}",inf,2742.3235787535586,0.6948913916721438,1195.5215877682842,R000019
