from,to,distance,cruise,up,down,terrain,cells
0,1,3054.023607514977,273.0566101074219,145.3566101074219,89.05661010742188,223.05661010742188,136
0,2,7411.533814153884,308.9542541503906,181.25425415039064,89.45425415039062,258.9542541503906,323
0,3,7263.826967765938,561.8041381835938,434.10413818359376,223.30413818359375,511.80413818359375,338
0,4,7714.681646286508,398.2391662597656,270.53916625976564,169.9391662597656,348.2391662597656,276
0,5,5280.5933691157215,326.410888671875,198.710888671875,131.410888671875,276.410888671875,181
0,6,3186.1988523508403,366.09783935546875,238.39783935546876,51.29783935546874,316.09783935546875,116
0,7,4534.717374921003,511.9731750488281,384.27317504882814,163.47317504882812,461.9731750488281,213
0,8,8079.110448788477,372.9093322753906,245.20933227539064,102.00933227539065,322.9093322753906,321
0,9,5705.303446619009,293.2289123535156,165.52891235351564,63.228912353515625,243.22891235351562,253
0,10,4784.674506261786,435.63653564453125,307.93653564453126,84.03653564453123,385.63653564453125,203
0,11,2808.106412371872,295.36175537109375,167.66175537109376,83.26175537109376,245.36175537109375,123
0,12,7391.140162515388,413.3009948730469,285.6009948730469,133.50099487304686,363.3009948730469,354
0,13,4849.53685454878,399.18182373046875,271.48182373046876,47.48182373046876,349.18182373046875,228
0,14,5419.5362999417475,591.9473876953125,464.2473876953125,240.9473876953125,541.9473876953125,203
0,15,6009.764892220415,571.7992553710938,444.09925537109376,97.29925537109375,521.7992553710938,286
1,0,3054.023607514977,273.0566101074219,89.05661010742188,145.3566101074219,223.05661010742188,136
1,2,4360.757979220348,309.2448425292969,125.24484252929688,89.74484252929688,259.2448425292969,188
1,3,7660.333413794972,555.9443969726562,371.94439697265625,217.44439697265625,505.94439697265625,293
1,4,4927.668400447896,408.7777404785156,224.77774047851562,180.4777404785156,358.7777404785156,179
1,5,2928.2450227459353,316.13800048828125,132.13800048828125,121.13800048828125,266.13800048828125,136
1,6,5296.500843364798,393.9356384277344,209.93563842773438,79.13563842773436,343.9356384277344,251
1,7,5188.755906060897,439.17535400390625,255.17535400390625,90.67535400390625,389.17535400390625,198
1,8,5968.762003083185,366.78717041015625,182.78717041015625,95.88717041015627,316.78717041015625,276
1,9,2651.3139266678877,293.2289123535156,109.22891235351562,63.228912353515625,243.22891235351562,118
1,10,3710.296406865785,431.0796813964844,247.07968139648438,79.47968139648435,381.0796813964844,170
1,11,2354.5107772214506,276.3879089355469,92.38790893554688,64.28790893554688,226.38790893554688,90
1,12,4698.611392664784,435.599609375,251.599609375,155.799609375,385.599609375,219
1,13,2899.3304496844207,378.3608093261719,194.36080932617188,26.660809326171886,328.3608093261719,111
1,14,5196.473098058807,600.0504150390625,416.0504150390625,249.0504150390625,550.0504150390625,248
1,15,5501.2796629594595,597.315185546875,413.315185546875,122.815185546875,547.315185546875,241
2,0,7411.533814153884,308.9542541503906,89.45425415039062,181.25425415039064,258.9542541503906,323
2,1,4360.757979220348,309.2448425292969,89.74484252929688,125.24484252929688,259.2448425292969,188
2,3,9778.984713151753,621.1314086914062,401.63140869140625,282.63140869140625,571.1314086914062,432
2,4,2248.954392026443,333.658203125,114.158203125,105.35820312499999,283.658203125,102
2,5,3476.8588327008497,406.79864501953125,187.29864501953125,211.79864501953125,356.79864501953125,161
2,6,9185.738653365108,394.2987060546875,174.7987060546875,79.49870605468749,344.2987060546875,438
2,7,8119.9749226430185,474.7281799316406,255.22817993164062,126.22817993164062,424.7281799316406,385
2,8,4804.608941252063,381.8424987792969,162.34249877929688,110.9424987792969,331.8424987792969,199
2,9,1724.583638178246,328.2866516113281,108.78665161132812,98.28665161132812,278.2866516113281,71
2,10,5917.156741090852,491.85394287109375,272.35394287109375,140.25394287109373,441.85394287109375,247
2,11,5782.491471312821,361.78533935546875,142.28533935546875,149.68533935546876,311.78533935546875,277
2,12,3072.0905890638464,408.1782531738281,188.67825317382812,128.3782531738281,358.1782531738281,146
2,13,4540.229317505124,377.2103271484375,157.7103271484375,25.51032714843751,327.2103271484375,188
2,14,7654.791491973555,507.5832214355469,288.0832214355469,156.58322143554688,457.5832214355469,325
2,15,7166.81935496363,643.7526245117188,424.25262451171875,169.25262451171875,593.7526245117188,314
3,0,7263.826967765938,561.8041381835938,223.30413818359375,434.10413818359376,511.80413818359375,338
3,1,7660.333413794972,555.9443969726562,217.44439697265625,371.94439697265625,505.94439697265625,293
3,2,9778.984713151753,621.1314086914062,282.63140869140625,401.63140869140625,571.1314086914062,432
3,4,8234.251527045499,724.2682495117188,385.76824951171875,495.96824951171874,674.2682495117188,385
3,5,6341.959268764236,583.8880615234375,245.3880615234375,388.8880615234375,533.8880615234375,272
3,6,4801.178457963222,662.3626708984375,323.8626708984375,347.5626708984375,612.3626708984375,229
3,7,2734.688325170388,410.6993408203125,72.1993408203125,62.1993408203125,360.6993408203125,126
3,8,6255.275706641217,796.0787353515625,457.5787353515625,525.1787353515625,746.0787353515625,300
3,9,8900.023983514806,594.588134765625,256.088134765625,364.588134765625,544.588134765625,362
3,10,11226.030879235004,516.9641723632812,178.46417236328125,165.36417236328123,466.96417236328125,462
3,11,5357.674991345907,535.4223022460938,196.92230224609375,323.3223022460937,485.42230224609375,216
3,12,11820.289412987078,594.5889282226562,256.08892822265625,314.78892822265624,544.5889282226562,463
3,13,10559.663023062198,555.9443969726562,217.44439697265625,204.24439697265626,505.94439697265625,403
3,14,12386.88471069269,592.7295532226562,254.22955322265625,241.72955322265625,542.7295532226562,540
3,15,2616.9607414636516,487.89886474609375,149.39886474609375,13.39886474609375,437.89886474609375,119
4,0,7714.681646286508,398.2391662597656,169.9391662597656,270.53916625976564,348.2391662597656,276
4,1,4927.668400447896,408.7777404785156,180.4777404785156,224.77774047851562,358.7777404785156,179
4,2,2248.954392026443,333.658203125,105.35820312499999,114.158203125,283.658203125,102
4,3,8234.251527045499,724.2682495117188,495.96824951171874,385.76824951171875,674.2682495117188,385
4,5,2608.294551451009,365.80657958984375,137.50657958984374,170.80657958984375,315.80657958984375,114
4,6,8706.373977539055,425.2806396484375,196.9806396484375,110.48063964843749,375.2806396484375,391
4,7,7097.409235448679,593.2369995117188,364.93699951171874,244.73699951171875,543.2369995117188,338
4,8,2612.94254157721,386.83349609375,158.53349609375,115.93349609375002,336.83349609375,98
4,9,2985.4583447541227,325.2157897949219,96.91578979492186,95.21578979492188,275.2157897949219,140
4,10,7545.766883322482,482.957275390625,254.657275390625,131.35727539062498,432.957275390625,348
4,11,5403.918133246597,361.138916015625,132.838916015625,149.038916015625,311.138916015625,230
4,12,5286.82737607213,362.0069580078125,133.7069580078125,82.20695800781249,312.0069580078125,247
