货箱编号,架次编号,服务区编号,物资类型,交付完成时刻s,期望时刻s,硬时限,适用截止时刻s,首批保障,优先系数,时限裕度s,迟到量s
S001-FOD-01,Q2-0001,S001,应急食品,1314.27252293,7200,False,,False,10,,0
S001-FOD-02,Q2-0001,S001,应急食品,1314.27252293,7200,False,,False,10,,0
S001-FOD-03,Q2-0001,S001,应急食品,1314.27252293,7200,False,,False,10,,0
S001-HYG-01,Q2-0001,S001,生活卫生用品,1314.27252293,10800,False,,False,8,,0
S001-HYG-02,Q2-0001,S001,生活卫生用品,1314.27252293,10800,False,,False,8,,0
S001-WAT-02,Q2-0016,S001,饮用水,3498.54970122,3600,False,,False,12,,0
S001-WAT-03,Q2-0021,S001,饮用水,4555.7516567,3600,False,,False,12,,955.751656699
S001-WAT-04,Q2-0021,S001,饮用水,4555.7516567,3600,False,,False,12,,955.751656699
S001-WAT-05,Q2-0026,S001,饮用水,6222.37326944,3600,False,,False,12,,2622.37326944
S001-WAT-06,Q2-0026,S001,饮用水,6222.37326944,3600,False,,False,12,,2622.37326944
S001-WAT-07,Q2-0001,S001,饮用水,1314.27252293,3600,False,,False,12,,0
S001-WAT-08,Q2-0018,S001,饮用水,4132.10913058,3600,False,,False,12,,532.109130582
S002-FOD-01,Q2-0008,S002,应急食品,1553.33108301,7200,False,,False,10,,0
S002-FOD-02,Q2-0008,S002,应急食品,1553.33108301,7200,False,,False,10,,0
S002-HYG-01,Q2-0008,S002,生活卫生用品,1553.33108301,10800,False,,False,8,,0
S002-WAT-02,Q2-0014,S002,饮用水,3267.04687054,3600,False,,False,12,,0
S002-WAT-03,Q2-0008,S002,饮用水,1553.33108301,3600,False,,False,12,,0
S002-WAT-04,Q2-0008,S002,饮用水,1553.33108301,3600,False,,False,12,,0
S003-FOD-01,Q2-0017,S003,应急食品,4899.2765259,10800,False,,False,8,,0
S003-FOD-02,Q2-0017,S003,应急食品,4899.2765259,10800,False,,False,8,,0
S003-HYG-01,Q2-0017,S003,生活卫生用品,4899.2765259,14400,False,,False,6,,0
S003-WAT-02,Q2-0027,S003,饮用水,6631.31801823,7200,False,,False,10,,0
S003-WAT-03,Q2-0017,S003,饮用水,4899.2765259,7200,False,,False,10,,0
S003-WAT-04,Q2-0017,S003,饮用水,4899.2765259,7200,False,,False,10,,0
S004-FOD-01,Q2-0010,S004,应急食品,2812.97908709,10800,False,,False,8,,0
S004-HYG-01,Q2-0023,S004,生活卫生用品,5997.62907974,14400,False,,False,6,,0
S004-WAT-02,Q2-0019,S004,饮用水,4774.85455765,7200,False,,False,10,,0
S004-WAT-03,Q2-0010,S004,饮用水,2812.97908709,7200,False,,False,10,,0
S005-FOD-01,Q2-0028,S005,应急食品,7063.13473919,14400,False,,False,6,,0
S005-HYG-01,Q2-0028,S005,生活卫生用品,7063.13473919,18000,False,,False,4,,0
S005-WAT-02,Q2-0028,S005,饮用水,7063.13473919,10800,False,,False,8,,0
S005-WAT-03,Q2-0028,S005,饮用水,7063.13473919,10800,False,,False,8,,0
S006-FOD-01,Q2-0012,S006,应急食品,2835.59635811,7200,False,,False,10,,0
S006-HYG-01,Q2-0012,S006,生活卫生用品,2835.59635811,10800,False,,False,8,,0
S006-WAT-02,Q2-0012,S006,饮用水,2835.59635811,3600,False,,False,12,,0
S006-WAT-03,Q2-0012,S006,饮用水,2835.59635811,3600,False,,False,12,,0
S007-FOD-01,Q2-0015,S007,应急食品,3521.60251523,7200,False,,False,10,,0
S007-HYG-01,Q2-0015,S007,生活卫生用品,3521.60251523,10800,False,,False,8,,0
S007-WAT-02,Q2-0015,S007,饮用水,3521.60251523,3600,False,,False,12,,0
S008-FOD-01,Q2-0025,S008,应急食品,6205.97824717,10800,False,,False,8,,0
S008-HYG-01,Q2-0025,S008,生活卫生用品,6205.97824717,14400,False,,False,6,,0
S008-WAT-02,Q2-0025,S008,饮用水,6205.97824717,7200,False,,False,10,,0
S009-FOD-01,Q2-0024,S009,应急食品,5759.10197578,14400,False,,False,6,,0
S010-FOD-01,Q2-0005,S010,应急食品,1104.98300166,7200,False,,False,10,,0
S011-FOD-01,Q2-0020,S011,应急食品,4398.55230019,14400,False,,False,6,,0
S012-FOD-01,Q2-0022,S012,应急食品,5709.47219787,7200,False,,False,10,,0
S013-FOD-01,Q2-0007,S013,应急食品,1062.78912771,7200,False,,False,10,,0
S014-FOD-01,Q2-0003,S014,应急食品,1242.43050431,7200,False,,False,10,,0
S015-FOD-01,Q2-0013,S015,应急食品,3087.35145537,14400,False,,False,6,,0
