架次编号,候选编号,货箱编号列表,总质量kg,总体积m3,实际起飞s,返航SOC,充满时刻s
Q2-0001,K1828e5c16cac500b,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02;S001-MED-01;S001-MED-02;S001-WAT-07,56,0.205,540,0.699367492575,3110.87881195
Q2-0002,K41b884755a03ab53,S010-WAT-01,14,0.027,330,0.573015218054,2649.97288652
Q2-0003,K645309ed991e9fa2,S014-FOD-01;S014-MED-01;S014-WAT-01,25,0.067,390,0.464908694809,3463.90593761
Q2-0004,K827727021e9b4ea3,S012-MED-01;S012-WAT-01,17,0.039,360,0.342607016178,3463.80903187
Q2-0005,Ka1838e6ec77b2d25,S010-FOD-01;S010-MED-01,11,0.04,360,0.579436036421,2701.62582264
Q2-0006,Kb4037a5c7e0576d0,S001-WAT-01,14,0.027,330,0.72899053571,2043.21926632
Q2-0007,Kb4dcea9456a134a0,S013-FOD-01;S013-MED-01;S013-WAT-01,25,0.067,390,0.543784060357,2967.95255079
Q2-0008,Kcb2b55c84e67d87c,S002-FOD-01;S002-FOD-02;S002-HYG-01;S002-MED-01;S002-WAT-01;S002-WAT-03;S002-WAT-04,67,0.184,510,0.214873698997,4708.28248486
Q2-0009,Kf5d720c243a1075b,S004-WAT-01,14,0.027,1520.90696274,0.32547779001,4686.58355396
Q2-0010,K4bd2066b5fe7dc3c,S004-FOD-01;S004-MED-01;S004-WAT-03,25,0.067,1900.51158874,0.282180807529,5403.03985238
Q2-0011,K371497d7436d81a7,S009-MED-01;S009-WAT-01,17,0.039,1954.89266999,0.498914764966,4434.94312142
Q2-0012,K8e2c748c649551ef,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,59,0.156,2106.17504586,0.67525241991,4724.68076054
Q2-0013,K8d90beceb5941288,S015-FOD-01;S015-MED-01;S015-WAT-01,25,0.067,2259.74767528,0.423102915726,5364.69684819
Q2-0014,K5ed0fd2a67098c26,S002-WAT-02,14,0.027,2373.21926632,0.361885138457,5316.54379477
Q2-0015,K47d3c93c96fd1eb3,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02,45,0.129,2623.84216602,0.573615544768,5838.6091841
Q2-0016,Kd7ab568e699bcd78,S001-WAT-02,14,0.027,2979.97288652,0.72899053571,4693.19215284
Q2-0017,K6a2e5f3223bf9174,S003-FOD-01;S003-FOD-02;S003-HYG-01;S003-MED-01;S003-WAT-01;S003-WAT-03;S003-WAT-04,67,0.184,3697.72767035,0.209425453423,8236.15023237
Q2-0018,K4d25eefccc289311,S001-WAT-08,14,0.027,3613.53231588,0.72899053571,5326.7515822
Q2-0019,K5c3cd12420ceceb1,S004-WAT-02,14,0.027,3793.80903187,0.32547779001,6959.48562308
Q2-0020,K4c7b7001c84eb366,S011-FOD-01;S011-MED-01;S011-WAT-01,25,0.067,3882.1532521,0.731509204147,5812.62872777
Q2-0021,K1ffbd54f3df7bdbb,S001-WAT-03;S001-WAT-04,28,0.054,4058.07523545,0.694891391672,6042.70299905
Q2-0022,Kd1d0e13137f86d48,S012-FOD-01,8,0.028,4764.94312142,0.371007588602,7801.83140914
Q2-0023,Kae6e950b7bf1ac34,S004-HYG-01,6,0.035,5016.58355396,0.348096558966,8152.85574553
Q2-0024,Kb0cd62057d2e005e,S009-FOD-01,8,0.028,5023.19215284,0.520421696127,7445.28359376
Q2-0025,K057be62281aeda8d,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02,45,0.129,5158.28248486,0.270491712812,9321.92863171
Q2-0026,K7288cab1aa261c76,S001-WAT-05;S001-WAT-06,28,0.054,5724.69684819,0.694891391672,7709.32461179
Q2-0027,Ke5cfb1f82505be01,S003-WAT-02,14,0.027,5733.03985238,0.393920378736,9080.85419428
Q2-0028,K1b4069e1511c59e5,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,59,0.156,6169.90538145,0.472227206301,9543.93514995
