架次编号,航段,起点,终点,剩余载荷kg,水平距离m,爬升m,下降m,巡航海拔m,离开s,到达s,水平能耗kWh,爬升能耗kWh,航段能耗kWh
Q2-0001,1,O01,S001,56,3054.02360751,145.356610107,89.0566101074,273.056610107,540,846.272522931,1.37253845612,0.0692619200057,1.44180037612
Q2-0001,2,S001,O01,0,3054.02360751,89.0566101074,145.356610107,273.056610107,1314.27252293,1626.17504586,0.939699571543,0.0235601117385,0.963259683282
Q2-0002,1,O01,S010,14,4784.67450626,307.936535645,84.0365356445,435.636535645,330,864.983001661,0.940028104597,0.097898156957,1.03792626155
Q2-0002,2,S010,O01,0,4784.67450626,84.0365356445,307.936535645,435.636535645,1044.98300166,1594.89266999,0.861241411127,0.0222638460753,0.883505257202
Q2-0003,1,O01,S014,25,5419.53629994,464.247387695,240.947387695,591.947387695,390,1002.43050431,1.14873675229,0.158134266434,1.30687101873
Q2-0003,2,S014,O01,0,5419.53629994,240.947387695,464.247387695,591.947387695,1242.43050431,1869.74767528,0.77421947142,0.0592747306188,0.833494202039
Q2-0004,1,O01,S012,17,7391.14016252,285.600994873,133.500994873,413.300994873,360,1124.52907645,1.49845462763,0.0940400775827,1.59249470521
Q2-0004,2,S012,O01,0,7391.14016252,133.500994873,285.600994873,413.300994873,1334.52907645,2109.1981529,1.33040522925,0.0353684927389,1.36577372199
Q2-0005,1,O01,S010,11,4784.67450626,307.936535645,84.0365356445,435.636535645,360,894.983001661,0.914630784695,0.0944017942085,1.0090325789
Q2-0005,2,S010,O01,0,4784.67450626,84.0365356445,307.936535645,435.636535645,1104.98300166,1654.89266999,0.861241411127,0.0222638460753,0.883505257202
Q2-0006,1,O01,S001,14,3054.02360751,145.356610107,89.0566101074,273.056610107,330,668.576814705,0.600013233797,0.0462112889633,0.64622452276
Q2-0006,2,S001,O01,0,3054.02360751,89.0566101074,145.356610107,273.056610107,848.576814705,1190.90696274,0.549724249353,0.0235938171917,0.573318066544
Q2-0007,1,O01,S013,25,4849.53685455,271.48182373,47.4818237305,399.18182373,390,822.789127706,1.02791842477,0.0924734962082,1.12039192098
Q2-0007,2,S013,O01,0,4849.53685455,47.4818237305,271.48182373,399.18182373,1062.78912771,1510.51158874,0.692790979221,0.0116808583726,0.704471837594
Q2-0008,1,O01,S002,67,7411.53381415,181.25425415,89.4542541504,308.95425415,510,1121.33108301,3.88296016612,0.0939129897867,3.97687315591
Q2-0008,2,S002,O01,0,7411.53381415,89.4542541504,181.25425415,308.95425415,1553.33108301,2173.84216602,2.28047194282,0.0236653092985,2.30413725212
Q2-0009,1,O01,S004,14,7714.68164629,270.53916626,169.93916626,398.23916626,1520.90696274,2321.95248852,1.51567626095,0.0860089099401,1.60168517089
Q2-0009,2,S004,O01,0,7714.68164629,169.93916626,270.53916626,398.23916626,2501.95248852,3309.70468097,1.38864269633,0.0450220777278,1.43366477406
Q2-0010,1,O01,S004,25,7714.68164629,270.53916626,169.93916626,398.23916626,1900.51158874,2572.97908709,1.6352207733,0.0921524035072,1.72737317681
Q2-0010,2,S004,O01,0,7714.68164629,169.93916626,270.53916626,398.23916626,2812.97908709,3492.1532521,1.10209737804,0.041806215033,1.14390359307
Q2-0011,1,O01,S009,17,5705.30344662,165.528912354,63.2289123535,293.228912354,1954.89266999,2510.80249293,1.15667382347,0.0545038429114,1.21117766638
Q2-0011,2,S009,O01,0,5705.30344662,63.2289123535,165.528912354,293.228912354,2720.80249293,3283.53231588,1.02695462039,0.016751270877,1.04370589127
Q2-0012,1,O01,S006,59,3186.19885235,238.397839355,51.2978393555,366.097839355,2106.17504586,2439.59635811,1.48773826132,0.116302551484,1.6040408128
Q2-0012,2,S006,O01,0,3186.19885235,51.2978393555,238.397839355,366.097839355,2835.59635811,3187.72767035,0.980368877646,0.013570950272,0.993939827918
Q2-0013,1,O01,S015,25,6009.76489222,444.099255371,97.2992553711,571.799255371,2259.74767528,2847.35145537,1.27384289398,0.151271308861,1.42511420284
Q2-0013,2,S015,O01,0,6009.76489222,97.2992553711,444.099255371,571.799255371,3087.35145537,3698.07523545,0.858537841746,0.0239362925106,0.882474134256
Q2-0014,1,O01,S002,14,7411.53381415,181.25425415,89.4542541504,308.95425415,2373.21926632,3087.04687054,1.45611787685,0.0576237482986,1.51374162515
Q2-0014,2,S002,O01,0,7411.53381415,89.4542541504,181.25425415,308.95425415,3267.04687054,3986.99447477,1.33407608655,0.0236991652489,1.3577752518
Q2-0015,1,O01,S007,45,4534.71737492,384.273175049,163.473175049,511.973175049,2623.84216602,3161.60251523,1.80542402485,0.167106794154,1.97253081901
Q2-0015,2,S007,O01,0,4534.71737492,163.473175049,384.273175049,511.973175049,3521.60251523,4081.44286444,1.39529765382,0.0432471690283,1.43854482285
Q2-0016,1,O01,S001,14,3054.02360751,145.356610107,89.0566101074,273.056610107,2979.97288652,3318.54970122,0.600013233797,0.0462112889633,0.64622452276
Q2-0016,2,S001,O01,0,3054.02360751,89.0566101074,145.356610107,273.056610107,3498.54970122,3840.87984926,0.549724249353,0.0235938171917,0.573318066544
Q2-0017,1,O01,S003,67,7263.82696777,434.104138184,223.304138184,561.804138184,3697.72767035,4467.2765259,3.80557540135,0.224921713902,4.03049711526
Q2-0017,2,S003,O01,0,7263.82696777,223.304138184,434.104138184,561.804138184,4899.2765259,5689.90538145,2.23502368239,0.0590755749734,2.29409925736
Q2-0018,1,O01,S001,14,3054.02360751,145.356610107,89.0566101074,273.056610107,3613.53231588,3952.10913058,0.600013233797,0.0462112889633,0.64622452276
Q2-0018,2,S001,O01,0,3054.02360751,89.0566101074,145.356610107,273.056610107,4132.10913058,4474.43927862,0.549724249353,0.0235938171917,0.573318066544
Q2-0019,1,O01,S004,14,7714.68164629,270.53916626,169.93916626,398.23916626,3793.80903187,4594.85455765,1.51567626095,0.0860089099401,1.60168517089
Q2-0019,2,S004,O01,0,7714.68164629,169.93916626,270.53916626,398.23916626,4774.85455765,5582.6067501,1.38864269633,0.0450220777278,1.43366477406
Q2-0020,1,O01,S011,25,2808.10641237,167.661755371,83.2617553711,295.361755371,3882.1532521,4158.55230019,0.59521236905,0.0571097854233,0.652322154473
Q2-0020,2,S011,O01,0,2808.10641237,83.2617553711,167.661755371,295.361755371,4398.55230019,4680.57801496,0.40115805891,0.0204829700279,0.421641028938
Q2-0021,1,O01,S001,28,3054.02360751,145.356610107,89.0566101074,273.056610107,4058.07523545,4345.7516567,0.711074303493,0.0511624984951,0.762236801988
Q2-0021,2,S001,O01,0,3054.02360751,89.0566101074,145.356610107,273.056610107,4555.7516567,4847.18141128,0.436289086788,0.0219085445351,0.458197631323
Q2-0022,1,O01,S012,8,7391.14016252,285.600994873,133.500994873,413.300994873,4764.94312142,5529.47219787,1.3803803356,0.0843117936948,1.4646921293
Q2-0022,2,S012,O01,0,7391.14016252,133.500994873,285.600994873,413.300994873,5709.47219787,6484.14127432,1.33040522925,0.0353684927389,1.36577372199
Q2-0023,1,O01,S004,6,7714.68164629,270.53916626,169.93916626,398.23916626,5016.58355396,5817.62907974,1.42208312541,0.0778175851839,1.49990071059
Q2-0023,2,S004,O01,0,7714.68164629,169.93916626,270.53916626,398.23916626,5997.62907974,6805.38127219,1.38864269633,0.0450220777278,1.43366477406
Q2-0024,1,O01,S009,8,5705.30344662,165.528912354,63.2289123535,293.228912354,5023.19215284,5579.10197578,1.06553096183,0.0488655143344,1.11439647616
Q2-0024,2,S009,O01,0,5705.30344662,63.2289123535,165.528912354,293.228912354,5759.10197578,6321.83179873,1.02695462039,0.016751270877,1.04370589127
Q2-0025,1,O01,S008,45,8079.11044879,245.209332275,102.009332275,372.909332275,5158.28248486,5845.97824717,3.21656652393,0.106632854109,3.32319937804
Q2-0025,2,S008,O01,0,8079.11044879,102.009332275,245.209332275,372.909332275,6205.97824717,6907.99400947,2.48588013809,0.0269867813729,2.51286691946
Q2-0026,1,O01,S001,28,3054.02360751,145.356610107,89.0566101074,273.056610107,5724.69684819,6012.37326944,0.711074303493,0.0511624984951,0.762236801988
Q2-0026,2,S001,O01,0,3054.02360751,89.0566101074,145.356610107,273.056610107,6222.37326944,6513.80302402,0.436289086788,0.0219085445351,0.458197631323
Q2-0027,1,O01,S003,14,7263.82696777,434.104138184,223.304138184,561.804138184,5733.03985238,6451.31801823,1.20190042681,0.129794122705,1.33169454952
Q2-0027,2,S003,O01,0,7263.82696777,223.304138184,434.104138184,561.804138184,6631.31801823,7363.64951742,1.03768956682,0.0549343687163,1.09262393554
Q2-0028,1,O01,S005,59,5280.59336912,198.710888672,131.410888672,326.410888672,6169.90538145,6667.13473919,2.46567812046,0.0969412450322,2.56261936549
Q2-0028,2,S005,O01,0,5280.59336912,131.410888672,198.710888672,326.410888672,7063.13473919,7567.09409694,1.62479795973,0.0347650243708,1.6595629841
