资源类型,资源编号,架次编号,阶段,开始s,结束s
无人机,U07,Q2-0001,任务,0,1626.17504586
电池,C-BAT-01,Q2-0001,任务,0,1626.17504586
电池,C-BAT-01,Q2-0001,充电,1626.17504586,3110.87881195
无人机,U03,Q2-0002,任务,0,1594.89266999
电池,A-BAT-03,Q2-0002,任务,0,1594.89266999
电池,A-BAT-03,Q2-0002,充电,1594.89266999,2649.97288652
无人机,U06,Q2-0003,任务,0,1869.74767528
电池,B-BAT-02,Q2-0003,任务,0,1869.74767528
电池,B-BAT-02,Q2-0003,充电,1869.74767528,3463.90593761
无人机,U04,Q2-0004,任务,0,2109.1981529
电池,A-BAT-04,Q2-0004,任务,0,2109.1981529
电池,A-BAT-04,Q2-0004,充电,2109.1981529,3463.80903187
无人机,U02,Q2-0005,任务,0,1654.89266999
电池,A-BAT-02,Q2-0005,任务,0,1654.89266999
电池,A-BAT-02,Q2-0005,充电,1654.89266999,2701.62582264
无人机,U01,Q2-0006,任务,0,1190.90696274
电池,A-BAT-01,Q2-0006,任务,0,1190.90696274
电池,A-BAT-01,Q2-0006,充电,1190.90696274,2043.21926632
无人机,U05,Q2-0007,任务,0,1510.51158874
电池,B-BAT-01,Q2-0007,任务,0,1510.51158874
电池,B-BAT-01,Q2-0007,充电,1510.51158874,2967.95255079
无人机,U08,Q2-0008,任务,0,2173.84216602
电池,C-BAT-02,Q2-0008,任务,0,2173.84216602
电池,C-BAT-02,Q2-0008,充电,2173.84216602,4708.28248486
无人机,U01,Q2-0009,任务,1190.90696274,3309.70468097
电池,A-BAT-05,Q2-0009,任务,1190.90696274,3309.70468097
电池,A-BAT-05,Q2-0009,充电,3309.70468097,4686.58355396
无人机,U05,Q2-0010,任务,1510.51158874,3492.1532521
电池,B-BAT-03,Q2-0010,任务,1510.51158874,3492.1532521
电池,B-BAT-03,Q2-0010,充电,3492.1532521,5403.03985238
无人机,U03,Q2-0011,任务,1594.89266999,3283.53231588
电池,A-BAT-06,Q2-0011,任务,1594.89266999,3283.53231588
电池,A-BAT-06,Q2-0011,充电,3283.53231588,4434.94312142
无人机,U07,Q2-0012,任务,1626.17504586,3187.72767035
电池,C-BAT-03,Q2-0012,任务,1626.17504586,3187.72767035
电池,C-BAT-03,Q2-0012,充电,3187.72767035,4724.68076054
无人机,U06,Q2-0013,任务,1869.74767528,3698.07523545
电池,B-BAT-04,Q2-0013,任务,1869.74767528,3698.07523545
电池,B-BAT-04,Q2-0013,充电,3698.07523545,5364.69684819
无人机,U02,Q2-0014,任务,2043.21926632,3986.99447477
电池,A-BAT-01,Q2-0014,任务,2043.21926632,3986.99447477
电池,A-BAT-01,Q2-0014,充电,3986.99447477,5316.54379477
无人机,U08,Q2-0015,任务,2173.84216602,4081.44286444
电池,C-BAT-04,Q2-0015,任务,2173.84216602,4081.44286444
电池,C-BAT-04,Q2-0015,充电,4081.44286444,5838.6091841
无人机,U04,Q2-0016,任务,2649.97288652,3840.87984926
电池,A-BAT-03,Q2-0016,任务,2649.97288652,3840.87984926
电池,A-BAT-03,Q2-0016,充电,3840.87984926,4693.19215284
无人机,U07,Q2-0017,任务,3187.72767035,5689.90538145
电池,C-BAT-01,Q2-0017,任务,3187.72767035,5689.90538145
电池,C-BAT-01,Q2-0017,充电,5689.90538145,8236.15023237
无人机,U03,Q2-0018,任务,3283.53231588,4474.43927862
电池,A-BAT-02,Q2-0018,任务,3283.53231588,4474.43927862
电池,A-BAT-02,Q2-0018,充电,4474.43927862,5326.7515822
无人机,U01,Q2-0019,任务,3463.80903187,5582.6067501
电池,A-BAT-04,Q2-0019,任务,3463.80903187,5582.6067501
电池,A-BAT-04,Q2-0019,充电,5582.6067501,6959.48562308
无人机,U05,Q2-0020,任务,3492.1532521,4680.57801496
电池,B-BAT-01,Q2-0020,任务,3492.1532521,4680.57801496
电池,B-BAT-01,Q2-0020,充电,4680.57801496,5812.62872777
无人机,U06,Q2-0021,任务,3698.07523545,4847.18141128
电池,B-BAT-02,Q2-0021,任务,3698.07523545,4847.18141128
电池,B-BAT-02,Q2-0021,充电,4847.18141128,6042.70299905
无人机,U04,Q2-0022,任务,4434.94312142,6484.14127432
电池,A-BAT-06,Q2-0022,任务,4434.94312142,6484.14127432
电池,A-BAT-06,Q2-0022,充电,6484.14127432,7801.83140914
无人机,U02,Q2-0023,任务,4686.58355396,6805.38127219
电池,A-BAT-05,Q2-0023,任务,4686.58355396,6805.38127219
电池,A-BAT-05,Q2-0023,充电,6805.38127219,8152.85574553
无人机,U03,Q2-0024,任务,4693.19215284,6321.83179873
电池,A-BAT-03,Q2-0024,任务,4693.19215284,6321.83179873
电池,A-BAT-03,Q2-0024,充电,6321.83179873,7445.28359376
无人机,U08,Q2-0025,任务,4708.28248486,6907.99400947
电池,C-BAT-02,Q2-0025,任务,4708.28248486,6907.99400947
电池,C-BAT-02,Q2-0025,充电,6907.99400947,9321.92863171
无人机,U05,Q2-0026,任务,5364.69684819,6513.80302402
电池,B-BAT-04,Q2-0026,任务,5364.69684819,6513.80302402
电池,B-BAT-04,Q2-0026,充电,6513.80302402,7709.32461179
无人机,U06,Q2-0027,任务,5403.03985238,7363.64951742
电池,B-BAT-03,Q2-0027,任务,5403.03985238,7363.64951742
电池,B-BAT-03,Q2-0027,充电,7363.64951742,9080.85419428
无人机,U07,Q2-0028,任务,5689.90538145,7567.09409694
电池,C-BAT-03,Q2-0028,任务,5689.90538145,7567.09409694
电池,C-BAT-03,Q2-0028,充电,7567.09409694,9543.93514995
