架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
Q2-0001,U07,C,C-BAT-01,0,O01→S001→O01,1626.17504586,2.4050600594
Q2-0002,U03,A,A-BAT-03,0,O01→S010→O01,1594.89266999,1.92143151876
Q2-0003,U06,B,B-BAT-02,0,O01→S014→O01,1869.74767528,2.14036522077
Q2-0004,U04,A,A-BAT-04,0,O01→S012→O01,2109.1981529,2.9582684272
Q2-0005,U02,A,A-BAT-02,0,O01→S010→O01,1654.89266999,1.89253783611
Q2-0006,U01,A,A-BAT-01,0,O01→S001→O01,1190.90696274,1.2195425893
Q2-0007,U05,B,B-BAT-01,0,O01→S013→O01,1510.51158874,1.82486375857
Q2-0008,U08,C,C-BAT-02,0,O01→S002→O01,2173.84216602,6.28101040803
Q2-0009,U01,A,A-BAT-05,1190.90696274,O01→S004→O01,3309.70468097,3.03534994495
Q2-0010,U05,B,B-BAT-03,1510.51158874,O01→S004→O01,3492.1532521,2.87127676988
Q2-0011,U03,A,A-BAT-06,1594.89266999,O01→S009→O01,3283.53231588,2.25488355765
Q2-0012,U07,C,C-BAT-03,1626.17504586,O01→S006→O01,3187.72767035,2.59798064072
Q2-0013,U06,B,B-BAT-04,1869.74767528,O01→S015→O01,3698.07523545,2.30758833709
Q2-0014,U02,A,A-BAT-01,2043.21926632,O01→S002→O01,3986.99447477,2.87151687695
Q2-0015,U08,C,C-BAT-04,2173.84216602,O01→S007→O01,4081.44286444,3.41107564186
Q2-0016,U04,A,A-BAT-03,2649.97288652,O01→S001→O01,3840.87984926,1.2195425893
Q2-0017,U07,C,C-BAT-01,3187.72767035,O01→S003→O01,5689.90538145,6.32459637262
Q2-0018,U03,A,A-BAT-02,3283.53231588,O01→S001→O01,4474.43927862,1.2195425893
Q2-0019,U01,A,A-BAT-04,3463.80903187,O01→S004→O01,5582.6067501,3.03534994495
Q2-0020,U05,B,B-BAT-01,3492.1532521,O01→S011→O01,4680.57801496,1.07396318341
Q2-0021,U06,B,B-BAT-02,3698.07523545,O01→S001→O01,4847.18141128,1.22043443331
Q2-0022,U04,A,A-BAT-06,4434.94312142,O01→S012→O01,6484.14127432,2.83046585129
Q2-0023,U02,A,A-BAT-05,4686.58355396,O01→S004→O01,6805.38127219,2.93356548465
Q2-0024,U03,A,A-BAT-03,4693.19215284,O01→S009→O01,6321.83179873,2.15810236743
Q2-0025,U08,C,C-BAT-02,4708.28248486,O01→S008→O01,6907.99400947,5.83606629751
Q2-0026,U05,B,B-BAT-04,5364.69684819,O01→S001→O01,6513.80302402,1.22043443331
Q2-0027,U06,B,B-BAT-03,5403.03985238,O01→S003→O01,7363.64951742,2.42431848506
Q2-0028,U07,C,C-BAT-03,5689.90538145,O01→S005→O01,7567.09409694,4.22218234959
