架次编号,事件序号,服务区编号,货箱编号列表,到达s,交接完成s
Q2-0001,1,S001,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02;S001-MED-01;S001-MED-02;S001-WAT-07,846.272522931,1314.27252293
Q2-0002,1,S010,S010-WAT-01,864.983001661,1044.98300166
Q2-0003,1,S014,S014-FOD-01;S014-MED-01;S014-WAT-01,1002.43050431,1242.43050431
Q2-0004,1,S012,S012-MED-01;S012-WAT-01,1124.52907645,1334.52907645
Q2-0005,1,S010,S010-FOD-01;S010-MED-01,894.983001661,1104.98300166
Q2-0006,1,S001,S001-WAT-01,668.576814705,848.576814705
Q2-0007,1,S013,S013-FOD-01;S013-MED-01;S013-WAT-01,822.789127706,1062.78912771
Q2-0008,1,S002,S002-FOD-01;S002-FOD-02;S002-HYG-01;S002-MED-01;S002-WAT-01;S002-WAT-03;S002-WAT-04,1121.33108301,1553.33108301
Q2-0009,1,S004,S004-WAT-01,2321.95248852,2501.95248852
Q2-0010,1,S004,S004-FOD-01;S004-MED-01;S004-WAT-03,2572.97908709,2812.97908709
Q2-0011,1,S009,S009-MED-01;S009-WAT-01,2510.80249293,2720.80249293
Q2-0012,1,S006,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,2439.59635811,2835.59635811
Q2-0013,1,S015,S015-FOD-01;S015-MED-01;S015-WAT-01,2847.35145537,3087.35145537
Q2-0014,1,S002,S002-WAT-02,3087.04687054,3267.04687054
Q2-0015,1,S007,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02,3161.60251523,3521.60251523
Q2-0016,1,S001,S001-WAT-02,3318.54970122,3498.54970122
Q2-0017,1,S003,S003-FOD-01;S003-FOD-02;S003-HYG-01;S003-MED-01;S003-WAT-01;S003-WAT-03;S003-WAT-04,4467.2765259,4899.2765259
Q2-0018,1,S001,S001-WAT-08,3952.10913058,4132.10913058
Q2-0019,1,S004,S004-WAT-02,4594.85455765,4774.85455765
Q2-0020,1,S011,S011-FOD-01;S011-MED-01;S011-WAT-01,4158.55230019,4398.55230019
Q2-0021,1,S001,S001-WAT-03;S001-WAT-04,4345.7516567,4555.7516567
Q2-0022,1,S012,S012-FOD-01,5529.47219787,5709.47219787
Q2-0023,1,S004,S004-HYG-01,5817.62907974,5997.62907974
Q2-0024,1,S009,S009-FOD-01,5579.10197578,5759.10197578
Q2-0025,1,S008,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02,5845.97824717,6205.97824717
Q2-0026,1,S001,S001-WAT-05;S001-WAT-06,6012.37326944,6222.37326944
Q2-0027,1,S003,S003-WAT-02,6451.31801823,6631.31801823
Q2-0028,1,S005,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,6667.13473919,7063.13473919
