货箱编号,架次编号,服务区编号,交付完成时刻（s）
S006-FOD-01,R000176,S006,1209.421
S006-HYG-01,R000176,S006,1209.421
S006-MED-01,R000176,S006,1209.421
S006-WAT-01,R000176,S006,1209.421
S006-WAT-02,R000176,S006,1209.421
S006-WAT-03,R000176,S006,1209.421
S014-FOD-01,R000268,S014,1242.431
S014-MED-01,R000268,S014,1242.431
S014-WAT-01,R000268,S014,1242.431
S012-FOD-01,R000254,S012,1271.343
S012-MED-01,R000254,S012,1271.343
S012-WAT-01,R000254,S012,1271.343
S002-FOD-01,R000058,S002,1487.331
S002-MED-01,R000058,S002,1487.331
S002-WAT-01,R000058,S002,1487.331
S002-WAT-02,R000058,S002,1487.331
S002-WAT-03,R000058,S002,1487.331
S002-WAT-04,R000058,S002,1487.331
S001-FOD-01,R000028,S001,2875.825
S001-FOD-02,R000028,S001,2875.825
S001-FOD-03,R000028,S001,2875.825
S001-HYG-01,R000028,S001,2875.825
S001-MED-01,R000028,S001,2875.825
S001-MED-02,R000028,S001,2875.825
S001-WAT-01,R000028,S001,2875.825
S001-WAT-02,R000028,S001,2875.825
S010-FOD-01,R000240,S010,2954.986
S010-MED-01,R000240,S010,2954.986
S010-WAT-01,R000240,S010,2954.986
S013-FOD-01,R000261,S013,2985.616
S013-MED-01,R000261,S013,2985.616
S013-WAT-01,R000261,S013,2985.616
S007-FOD-01,R000203,S007,3455.603
S007-HYG-01,R000203,S007,3455.603
S007-MED-01,R000203,S007,3455.603
S007-WAT-01,R000203,S007,3455.603
S007-WAT-02,R000203,S007,3455.603
S002-FOD-02,R000037,S002,4624.208
S002-HYG-01,R000037,S002,4624.208
S001-WAT-03,R000019,S001,4639.982
S001-WAT-04,R000019,S001,4639.982
S008-FOD-01,R000226,S008,4685.423
S008-HYG-01,R000226,S008,4685.423
S008-MED-01,R000226,S008,4685.423
S008-WAT-01,R000226,S008,4685.423
S008-WAT-02,R000226,S008,4685.423
S009-FOD-01,R000233,S009,6022.234
S009-MED-01,R000233,S009,6022.234
S009-WAT-01,R000233,S009,6022.234
S003-FOD-01,R000089,S003,6361.464
S003-MED-01,R000089,S003,6361.464
S003-WAT-01,R000089,S003,6361.464
S003-WAT-02,R000089,S003,6361.464
S003-WAT-03,R000089,S003,6361.464
S003-WAT-04,R000089,S003,6361.464
S015-FOD-01,R000275,S015,6438.234
S015-MED-01,R000275,S015,6438.234
S015-WAT-01,R000275,S015,6438.234
S004-FOD-01,R000120,S004,6970.937
S004-HYG-01,R000120,S004,6970.937
S004-MED-01,R000120,S004,6970.937
S004-WAT-01,R000120,S004,6970.937
S004-WAT-02,R000120,S004,6970.937
S004-WAT-03,R000120,S004,6970.937
S011-FOD-01,R000247,S011,7396.274
S011-MED-01,R000247,S011,7396.274
S011-WAT-01,R000247,S011,7396.274
S003-FOD-02,R000067,S003,8337.236
S003-HYG-01,R000067,S003,8337.236
S005-FOD-01,R000143,S005,8525.322
S005-HYG-01,R000143,S005,8525.322
S005-MED-01,R000143,S005,8525.322
S005-WAT-01,R000143,S005,8525.322
S005-WAT-02,R000143,S005,8525.322
S005-WAT-03,R000143,S005,8525.322
S001-HYG-02,R000027,S001,8851.646
S001-WAT-05,R000027,S001,8851.646
S001-WAT-06,R000027,S001,8851.646
S001-WAT-07,R000027,S001,8851.646
S001-WAT-08,R000009,S001,8862.61
