货箱编号,架次编号,服务区编号,物资类型,交付完成时刻s,期望时刻s,硬时限,适用截止时刻s,首批保障,优先系数,时限裕度s,迟到量s
S001-FOD-01,Q2-0001,S001,应急食品,1314.27252293,7200,False,,False,10,,0
S001-FOD-02,Q2-0001,S001,应急食品,1314.27252293,7200,False,,False,10,,0
S001-FOD-03,Q2-0001,S001,应急食品,1314.27252293,7200,False,,False,10,,0
S001-HYG-01,Q2-0001,S001,生活卫生用品,1314.27252293,10800,False,,False,8,,0
S001-HYG-02,Q2-0001,S001,生活卫生用品,1314.27252293,10800,False,,False,8,,0
S001-MED-01,Q2-0001,S001,医疗物资,1314.27252293,3600,True,3600,True,24,2285.72747707,
S001-MED-02,Q2-0001,S001,医疗物资,1314.27252293,3600,True,3600,False,24,2285.72747707,
S001-WAT-01,Q2-0006,S001,饮用水,848.576814705,3600,True,3600,True,12,2751.42318529,
S001-WAT-02,Q2-0016,S001,饮用水,3498.54970122,3600,False,,False,12,,0
S001-WAT-03,Q2-0021,S001,饮用水,4555.7516567,3600,False,,False,12,,955.751656699
S001-WAT-04,Q2-0021,S001,饮用水,4555.7516567,3600,False,,False,12,,955.751656699
S001-WAT-05,Q2-0026,S001,饮用水,6222.37326944,3600,False,,False,12,,2622.37326944
S001-WAT-06,Q2-0026,S001,饮用水,6222.37326944,3600,False,,False,12,,2622.37326944
S001-WAT-07,Q2-0001,S001,饮用水,1314.27252293,3600,False,,False,12,,0
S001-WAT-08,Q2-0018,S001,饮用水,4132.10913058,3600,False,,False,12,,532.109130582
S002-FOD-01,Q2-0008,S002,应急食品,1553.33108301,7200,False,,False,10,,0
S002-FOD-02,Q2-0008,S002,应急食品,1553.33108301,7200,False,,False,10,,0
S002-HYG-01,Q2-0008,S002,生活卫生用品,1553.33108301,10800,False,,False,8,,0
S002-MED-01,Q2-0008,S002,医疗物资,1553.33108301,3600,True,3600,True,24,2046.66891699,
S002-WAT-01,Q2-0008,S002,饮用水,1553.33108301,3600,True,3600,True,12,2046.66891699,
S002-WAT-02,Q2-0014,S002,饮用水,3267.04687054,3600,False,,False,12,,0
S002-WAT-03,Q2-0008,S002,饮用水,1553.33108301,3600,False,,False,12,,0
S002-WAT-04,Q2-0008,S002,饮用水,1553.33108301,3600,False,,False,12,,0
S003-FOD-01,Q2-0017,S003,应急食品,4899.2765259,10800,False,,False,8,,0
S003-FOD-02,Q2-0017,S003,应急食品,4899.2765259,10800,False,,False,8,,0
S003-HYG-01,Q2-0017,S003,生活卫生用品,4899.2765259,14400,False,,False,6,,0
S003-MED-01,Q2-0017,S003,医疗物资,4899.2765259,7200,True,7200,True,20,2300.7234741,
S003-WAT-01,Q2-0017,S003,饮用水,4899.2765259,7200,True,7200,True,10,2300.7234741,
S003-WAT-02,Q2-0027,S003,饮用水,6631.31801823,7200,False,,False,10,,0
S003-WAT-03,Q2-0017,S003,饮用水,4899.2765259,7200,False,,False,10,,0
S003-WAT-04,Q2-0017,S003,饮用水,4899.2765259,7200,False,,False,10,,0
S004-FOD-01,Q2-0010,S004,应急食品,2812.97908709,10800,False,,False,8,,0
S004-HYG-01,Q2-0023,S004,生活卫生用品,5997.62907974,14400,False,,False,6,,0
S004-MED-01,Q2-0010,S004,医疗物资,2812.97908709,7200,True,7200,True,20,4387.02091291,
S004-WAT-01,Q2-0009,S004,饮用水,2501.95248852,7200,True,7200,True,10,4698.04751148,
S004-WAT-02,Q2-0019,S004,饮用水,4774.85455765,7200,False,,False,10,,0
S004-WAT-03,Q2-0010,S004,饮用水,2812.97908709,7200,False,,False,10,,0
S005-FOD-01,Q2-0028,S005,应急食品,7063.13473919,14400,False,,False,6,,0
S005-HYG-01,Q2-0028,S005,生活卫生用品,7063.13473919,18000,False,,False,4,,0
S005-MED-01,Q2-0028,S005,医疗物资,7063.13473919,10800,True,10800,True,16,3736.86526081,
S005-WAT-01,Q2-0028,S005,饮用水,7063.13473919,10800,True,10800,True,8,3736.86526081,
S005-WAT-02,Q2-0028,S005,饮用水,7063.13473919,10800,False,,False,8,,0
S005-WAT-03,Q2-0028,S005,饮用水,7063.13473919,10800,False,,False,8,,0
S006-FOD-01,Q2-0012,S006,应急食品,2835.59635811,7200,False,,False,10,,0
