任务,阶段,阶段目标,状态,已有可行解,最优性认证,下界,上界,相对界差,实际求解秒,变量数,约束数,模型时域s,阈值,先前阶段全部认证,种子
global_anchor_N,1,"[1.0, 0.0, 0.0, 0.0]",Optimal,True,True,20,20,0,17.2177017,55230,694828,368611.718476,{},,202600
global_anchor_E,1,"[0.0, 1.0, 0.0, 0.0]",Time limit reached,True,False,60.7038082528,60.7049721691,1.91733280063e-05,212.1566233,55230,694828,368611.718476,{},,202601
global_anchor_C,1,"[0.0, 0.0, 1.0, 0.0]",Time limit reached,True,False,6006.72574494,7567.09409694,0.206204433566,70.4929656,55230,694829,7567.09409694,"{""C"": 7567.094096939377}",,202602
global_anchor_L,1,"[0.0, 0.0, 0.0, 1.0]",Time limit reached,True,False,0,61.5163843008,1,26.7369592,55230,694828,368611.718476,{},,202603
global_epsilon_0_0,1,C,Infeasible,False,False,,,,3.3182021,55230,694835,368611.718476,"{""N"": 19, ""E"": 88.48478697348887, ""L"": 520.7998072166125}",True,202700
global_epsilon_0_1,1,C,Time limit reached,True,False,,9163.54886305,,12.5637602,55230,694835,368611.718476,"{""N"": 35, ""E"": 74.59487957131364, ""L"": 520.7998072166125}",True,202700
global_epsilon_0_1,2,L,Time limit reached,True,False,,520.799807217,,11.8902411,55230,694836,368611.718476,"{""N"": 35, ""E"": 74.59487957131364, ""L"": 520.7998072166125}",False,202700
global_epsilon_0_1,3,E,Time limit reached,True,False,,60.7049721691,,10.3579051,55230,694837,368611.718476,"{""N"": 35, ""E"": 74.59487957131364, ""L"": 520.7998072166125}",False,202700
global_epsilon_0_1,4,N,Optimal,True,True,20,20,0,8.5701139,55230,694838,368611.718476,"{""N"": 35, ""E"": 74.59487957131364, ""L"": 520.7998072166125}",False,202700
global_epsilon_0_2,1,C,Time limit reached,True,False,,7567.09409694,,12.4517362,55230,694835,368611.718476,"{""N"": 35, ""E"": 88.48478697348887, ""L"": 291.15809575872606}",True,202700
global_epsilon_0_2,2,L,Time limit reached,True,False,,200.565886509,,11.9497829,55230,694836,368611.718476,"{""N"": 35, ""E"": 88.48478697348887, ""L"": 291.15809575872606}",False,202700
global_epsilon_0_2,3,E,Time limit reached,True,False,,75.711315969,,10.3452277,55230,694837,368611.718476,"{""N"": 35, ""E"": 88.48478697348887, ""L"": 291.15809575872606}",False,202700
global_epsilon_0_2,4,N,Time limit reached,True,False,0,28,1,8.81626659998,55230,694838,368611.718476,"{""N"": 35, ""E"": 88.48478697348887, ""L"": 291.15809575872606}",False,202700
global_epsilon_0_3,1,C,Time limit reached,False,False,,,,12.5212211,55230,694835,368611.718476,"{""N"": 35, ""E"": 88.48478697348887, ""L"": 0.0}",True,202700
global_preference_0_LP,1,"[0.006666666666666665, 0.008999340051786405, 0.00015659698308187093, 0.0008709219188896246]",Time limit reached,False,False,,,,21.3281696,55230,694832,368611.718476,{},,202900
global_preference_1_LP,1,"[0.006666666666666665, 0.008999340051786405, 0.0002505551729309935, 0.0005443261993060154]",Time limit reached,False,False,,,,21.3321042,55230,694832,368611.718476,{},,202901
global_preference_2_LP,1,"[0.006666666666666665, 0.014398944082858248, 0.00015659698308187093, 0.0005443261993060154]",Time limit reached,False,False,,,,21.3913242,55230,694832,368611.718476,{},,202902
global_preference_3_LP,1,"[0.016666666666666666, 0.0035997360207145612, 0.00015659698308187093, 0.0008709219188896246]",Time limit reached,False,False,,,,21.3446364,55230,694832,368611.718476,{},,202903
global_preference_4_LP,1,"[0.016666666666666666, 0.0035997360207145612, 0.0002505551729309935, 0.0005443261993060154]",Time limit reached,False,False,,,,21.1213737,55230,694832,368611.718476,{},,202904
global_preference_5_LP,1,"[0.016666666666666666, 0.008999340051786405, 6.263879323274836e-05, 0.0008709219188896246]",Time limit reached,False,False,,,,21.1639099,55230,694832,368611.718476,{},,202905
global_preference_6_LP,1,"[0.016666666666666666, 0.008999340051786405, 0.0002505551729309935, 0.0002177304797224061]",Time limit reached,False,False,,,,21.1340436,55230,694832,368611.718476,{},,202906
global_preference_7_LP,1,"[0.016666666666666666, 0.014398944082858248, 6.263879323274836e-05, 0.0005443261993060154]",Time limit reached,False,False,,,,21.1244418,55230,694832,368611.718476,{},,202907
global_preference_8_LP,1,"[0.016666666666666666, 0.014398944082858248, 0.00015659698308187093, 0.0002177304797224061]",Optimal,False,True,2.4184879558,,,18.1534384,55230,694832,368611.718476,{},,202908
