货箱编号,服务区编号,物资类型,交付完成时刻s,适用截止时刻s,硬时限,首批保障,priority,时限裕度s
S001-MED-01,S001,医疗物资,2875.825147417636,3600.0,True,是,24,724.1748525823641
S001-MED-02,S001,医疗物资,2875.825147417636,3600.0,True,否,24,724.1748525823641
S001-WAT-01,S001,饮用水,2875.825147417636,3600.0,True,是,12,724.1748525823641
S002-MED-01,S002,医疗物资,1487.3310830122773,3600.0,True,是,24,2112.6689169877227
S002-WAT-01,S002,饮用水,1487.3310830122773,3600.0,True,是,12,2112.6689169877227
S003-MED-01,S003,医疗物资,6361.463804213114,7200.0,True,是,20,838.5361957868863
S003-WAT-01,S003,饮用水,6361.463804213114,7200.0,True,是,10,838.5361957868863
S004-MED-01,S004,医疗物资,6970.936554335702,7200.0,True,是,20,229.06344566429834
S004-WAT-01,S004,饮用水,6970.936554335702,7200.0,True,是,10,229.06344566429834
S005-MED-01,S005,医疗物资,8525.32201750848,10800.0,True,是,16,2274.6779824915193
S005-WAT-01,S005,饮用水,8525.32201750848,10800.0,True,是,8,2274.6779824915193
S006-MED-01,S006,医疗物资,1209.4213122433111,3600.0,True,是,24,2390.578687756689
S006-WAT-01,S006,饮用水,1209.4213122433111,3600.0,True,是,12,2390.578687756689
S007-MED-01,S007,医疗物资,3455.6025152299003,3600.0,True,是,24,144.3974847700997
S007-WAT-01,S007,饮用水,3455.6025152299003,3600.0,True,是,12,144.3974847700997
S008-MED-01,S008,医疗物资,4685.423432649062,7200.0,True,是,20,2514.5765673509377
S008-WAT-01,S008,饮用水,4685.423432649062,7200.0,True,是,10,2514.5765673509377
S009-MED-01,S009,医疗物资,6022.233658006704,10800.0,True,是,16,4777.766341993296
S009-WAT-01,S009,饮用水,6022.233658006704,10800.0,True,是,8,4777.766341993296
S010-MED-01,S010,医疗物资,2954.986101835468,3600.0,True,是,24,645.0138981645318
S010-WAT-01,S010,饮用水,2954.986101835468,3600.0,True,是,12,645.0138981645318
S011-MED-01,S011,医疗物资,7396.274138270809,10800.0,True,是,16,3403.725861729191
S011-WAT-01,S011,饮用水,7396.274138270809,10800.0,True,是,8,3403.725861729191
S012-MED-01,S012,医疗物资,1271.3434070745934,3600.0,True,是,22,2328.6565929254066
S012-WAT-01,S012,饮用水,1271.3434070745934,3600.0,True,是,12,2328.6565929254066
S013-MED-01,S013,医疗物资,2985.615941854783,3600.0,True,是,24,614.3840581452168
S013-WAT-01,S013,饮用水,2985.615941854783,3600.0,True,是,12,614.3840581452168
S014-MED-01,S014,医疗物资,1242.4305043060124,3600.0,True,是,22,2357.569495693988
S014-WAT-01,S014,饮用水,1242.4305043060124,3600.0,True,是,12,2357.569495693988
S015-MED-01,S015,医疗物资,6438.233799005063,7200.0,True,是,18,761.7662009949372
S015-WAT-01,S015,饮用水,6438.233799005063,10800.0,True,是,8,4361.766200994937
