资源类型,资源编号,机型编号,使用次数,任务总时长s,充电总时长s,最后返场s,最后充满s,无人机占用率
实体运输无人机,U01,A,3,5428.5023992,,5582.6067501,,0.717382700632
实体运输无人机,U02,A,3,5717.46559666,,6805.38127219,,0.755569512341
实体运输无人机,U03,A,4,6103.07892451,,6321.83179873,,0.806528747538
实体运输无人机,U04,A,3,5349.30326854,,6484.14127432,,0.706916446395
实体运输无人机,U05,B,4,5829.68419078,,6513.80302402,,0.770399325831
实体运输无人机,U06,B,4,6807.79107632,,7363.64951742,,0.899657251397
实体运输无人机,U07,C,4,7567.09409694,,7567.09409694,,1
实体运输无人机,U08,C,3,6281.15438904,,6907.99400947,,0.83006162056
共享电池,A-BAT-01,A,2,3134.68217119,2181.86162358,3986.99447477,5316.54379477,
共享电池,A-BAT-02,A,2,2845.79963273,1899.04545623,4474.43927862,5326.7515822,
共享电池,A-BAT-03,A,3,4414.43927862,3030.84431514,6321.83179873,7445.28359376,
共享电池,A-BAT-04,A,2,4227.99587113,2731.48975196,5582.6067501,6959.48562308,
共享电池,A-BAT-05,A,2,4237.59543646,2724.35334633,6805.38127219,8152.85574553,
共享电池,A-BAT-06,A,2,3737.83779879,2469.10094036,6484.14127432,7801.83140914,
共享电池,B-BAT-01,B,2,2698.93635161,2589.49167486,4680.57801496,5812.62872777,
共享电池,B-BAT-02,B,2,3018.8538511,2789.6798501,4847.18141128,6042.70299905,
共享电池,B-BAT-03,B,2,3942.25132839,3628.09127714,7363.64951742,9080.85419428,
共享电池,B-BAT-04,B,2,2977.433736,2862.14320051,6513.80302402,7709.32461179,
共享电池,C-BAT-01,C,2,4128.35275696,4030.94861701,5689.90538145,8236.15023237,
共享电池,C-BAT-02,C,2,4373.55369063,4948.37494108,6907.99400947,9321.92863171,
共享电池,C-BAT-03,C,2,3438.74133998,3513.79414321,7567.09409694,9543.93514995,
共享电池,C-BAT-04,C,1,1907.60069841,1757.16631967,4081.44286444,5838.6091841,
