架次编号,无人机先前返场s,电池先前充满s,给定资源顺序下最早开始s,实际开始s,额外等待s,电池相对无人机延后s,限制条件
Q2-0001,0,0,0,0,0,0,初始可用
Q2-0002,0,0,0,0,0,0,初始可用
Q2-0003,0,0,0,0,0,0,初始可用
Q2-0004,0,0,0,0,0,0,初始可用
Q2-0005,0,0,0,0,0,0,初始可用
Q2-0006,0,0,0,0,0,0,初始可用
Q2-0007,0,0,0,0,0,0,初始可用
Q2-0008,0,0,0,0,0,0,初始可用
Q2-0009,1190.90696274,0,1190.90696274,1190.90696274,0,0,无人机返场
Q2-0010,1510.51158874,0,1510.51158874,1510.51158874,0,0,无人机返场
Q2-0011,1594.89266999,0,1594.89266999,1594.89266999,0,0,无人机返场
Q2-0012,1626.17504586,0,1626.17504586,1626.17504586,0,0,无人机返场
Q2-0013,1869.74767528,0,1869.74767528,1869.74767528,0,0,无人机返场
Q2-0014,1654.89266999,2043.21926632,2043.21926632,2043.21926632,0,388.326596331,电池就绪
Q2-0015,2173.84216602,0,2173.84216602,2173.84216602,0,0,无人机返场
Q2-0016,2109.1981529,2649.97288652,2649.97288652,2649.97288652,0,540.774733619,电池就绪
Q2-0017,3187.72767035,3110.87881195,3187.72767035,3187.72767035,0,0,无人机返场
Q2-0018,3283.53231588,2701.62582264,3283.53231588,3283.53231588,0,0,无人机返场
Q2-0019,3309.70468097,3463.80903187,3463.80903187,3463.80903187,0,154.104350897,电池就绪
Q2-0020,3492.1532521,2967.95255079,3492.1532521,3492.1532521,0,0,无人机返场
Q2-0021,3698.07523545,3463.90593761,3698.07523545,3698.07523545,0,0,无人机返场
Q2-0022,3840.87984926,4434.94312142,4434.94312142,4434.94312142,0,594.063272159,电池就绪
Q2-0023,3986.99447477,4686.58355396,4686.58355396,4686.58355396,0,699.589079192,电池就绪
Q2-0024,4474.43927862,4693.19215284,4693.19215284,4693.19215284,0,218.752874218,电池就绪
Q2-0025,4081.44286444,4708.28248486,4708.28248486,4708.28248486,0,626.839620429,电池就绪
Q2-0026,4680.57801496,5364.69684819,5364.69684819,5364.69684819,0,684.118833236,电池就绪
Q2-0027,4847.18141128,5403.03985238,5403.03985238,5403.03985238,0,555.858441101,电池就绪
Q2-0028,5689.90538145,4724.68076054,5689.90538145,5689.90538145,0,0,无人机返场
