架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
Q2-0001,U05,B,B-BAT-01,0.0,O01→S008→O01,1961.841747175703,2.9752439668052673
Q2-0002,U06,B,B-BAT-04,0.0,O01→S007→O01,1576.3096400610816,1.6565783547096733
Q2-0003,U02,A,A-BAT-04,0.0,O01→S007→S015→O01,2310.045908667954,2.6917871853434314
Q2-0004,U03,A,A-BAT-02,0.0,O01→S011→O01,1222.0283099395829,1.1913113486362024
Q2-0005,U08,C,C-BAT-03,0.0,O01→S006→O01,1561.5526244866223,2.5979806407170596
Q2-0006,U07,C,C-BAT-02,0.0,O01→S001→O01,1626.175045862023,2.9176235505114585
Q2-0007,U04,A,A-BAT-05,0.0,O01→S007→O01,1727.4668858917819,1.9710239869422377
Q2-0008,U03,A,A-BAT-03,1222.0283099395829,O01→S014→S013→O01,3627.3294686293843,2.8761246797958235
Q2-0009,U08,C,C-BAT-04,1561.5526244866223,O01→S001→O01,3121.727670348645,2.995811635558193
Q2-0010,U06,B,B-BAT-03,1576.3096400610816,O01→S010→O01,3131.713159841299,1.8232594430204316
Q2-0011,U07,C,C-BAT-01,1626.175045862023,O01→S002→O01,3800.0172118865776,6.2810104080250655
Q2-0012,U04,A,A-BAT-06,1727.4668858917819,O01→S002→S013→O01,4130.9692484305815,3.440997448971373
Q2-0013,U05,B,B-BAT-02,1961.841747175703,O01→S012→O01,3884.66856132489,2.7526443904556688
Q2-0014,U02,A,A-BAT-01,2310.045908667954,O01→S014→O01,4300.444793944704,2.369426112953675
Q2-0015,U06,B,B-BAT-04,3131.713159841299,O01→S005→O01,4647.881579108812,1.834523173294776
Q2-0016,U08,C,C-BAT-02,3249.6980907922093,O01→S003→O01,5751.8758018914705,6.324596372619295
Q2-0017,U03,A,A-BAT-04,3627.3294686293843,O01→S003→S015→O01,6170.7971748374575,3.3575865551550192
Q2-0018,U07,C,C-BAT-03,3800.0172118865776,O01→S004→O01,6101.071930659024,6.152920552274484
Q2-0019,U05,B,B-BAT-01,3917.7807994579853,O01→S008→O01,5819.622546633688,2.7634667129067774
Q2-0020,U04,A,A-BAT-02,4130.9692484305815,O01→S005→S011→O01,6137.240343760291,2.25532719581864
Q2-0021,U02,A,A-BAT-05,4300.444793944704,O01→S005→O01,5992.63299218274,2.1929830345883476
Q2-0022,U06,B,B-BAT-03,4647.881579108812,O01→S009→O01,6206.344443443169,2.096289967733762
