货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,Q2-0006,S001,1314.2725229310115
S001-FOD-02,Q2-0009,S001,2809.825147417634
S001-FOD-03,Q2-0009,S001,2809.825147417634
S001-HYG-01,Q2-0006,S001,1314.2725229310115
S001-HYG-02,Q2-0009,S001,2809.825147417634
S001-MED-01,Q2-0006,S001,1314.2725229310115
S001-MED-02,Q2-0006,S001,1314.2725229310115
S001-WAT-01,Q2-0009,S001,2809.825147417634
S001-WAT-02,Q2-0006,S001,1314.2725229310115
S001-WAT-03,Q2-0009,S001,2809.825147417634
S001-WAT-04,Q2-0006,S001,1314.2725229310115
S001-WAT-05,Q2-0009,S001,2809.825147417634
S001-WAT-06,Q2-0009,S001,2809.825147417634
S001-WAT-07,Q2-0006,S001,1314.2725229310115
S001-WAT-08,Q2-0006,S001,1314.2725229310115
S002-FOD-01,Q2-0011,S002,3179.5061288743
S002-FOD-02,Q2-0011,S002,3179.5061288743
S002-HYG-01,Q2-0011,S002,3179.5061288743
S002-MED-01,Q2-0011,S002,3179.5061288743
S002-WAT-01,Q2-0012,S002,2981.294490114892
S002-WAT-02,Q2-0011,S002,3179.5061288743
S002-WAT-03,Q2-0011,S002,3179.5061288743
S002-WAT-04,Q2-0011,S002,3179.5061288743
S003-FOD-01,Q2-0016,S003,4961.24694634184
S003-FOD-02,Q2-0016,S003,4961.24694634184
S003-HYG-01,Q2-0016,S003,4961.24694634184
S003-MED-01,Q2-0016,S003,4961.24694634184
S003-WAT-01,Q2-0016,S003,4961.24694634184
S003-WAT-02,Q2-0016,S003,4961.24694634184
S003-WAT-03,Q2-0016,S003,4961.24694634184
S003-WAT-04,Q2-0017,S003,5006.671417277848
S004-FOD-01,Q2-0018,S004,5383.514571272801
S004-HYG-01,Q2-0018,S004,5383.514571272801
S004-MED-01,Q2-0018,S004,5383.514571272801
S004-WAT-01,Q2-0018,S004,5383.514571272801
S004-WAT-02,Q2-0018,S004,5383.514571272801
S004-WAT-03,Q2-0018,S004,5383.514571272801
S005-FOD-01,Q2-0021,S005,5429.295559730389
S005-HYG-01,Q2-0015,S005,4172.5540361417225
S005-MED-01,Q2-0020,S005,5289.820014216267
S005-WAT-01,Q2-0021,S005,5429.295559730389
S005-WAT-02,Q2-0015,S005,4172.5540361417225
S005-WAT-03,Q2-0020,S005,5289.820014216267
S006-FOD-01,Q2-0005,S006,1209.4213122433111
S006-HYG-01,Q2-0005,S006,1209.4213122433111
S006-MED-01,Q2-0005,S006,1209.4213122433111
S006-WAT-01,Q2-0005,S006,1209.4213122433111
S006-WAT-02,Q2-0005,S006,1209.4213122433111
S006-WAT-03,Q2-0005,S006,1209.4213122433111
S007-FOD-01,Q2-0007,S007,1141.373442945891
S007-HYG-01,Q2-0002,S007,1065.794820030541
S007-MED-01,Q2-0003,S007,1141.373442945891
S007-WAT-01,Q2-0002,S007,1065.794820030541
S007-WAT-02,Q2-0007,S007,1141.373442945891
S008-FOD-01,Q2-0001,S008,1291.1475402545182
S008-HYG-01,Q2-0019,S008,5148.928339712504
S008-MED-01,Q2-0001,S008,1291.1475402545182
S008-WAT-01,Q2-0001,S008,1291.1475402545182
S008-WAT-02,Q2-0019,S008,5148.928339712504
S009-FOD-01,Q2-0022,S009,5738.70301127599
S009-MED-01,Q2-0022,S009,5738.70301127599
S009-WAT-01,Q2-0022,S009,5738.70301127599
S010-FOD-01,Q2-0010,S010,2661.548066617857
S010-MED-01,Q2-0010,S010,2661.548066617857
S010-WAT-01,Q2-0010,S010,2661.548066617857
S011-FOD-01,Q2-0004,S011,893.2008216364582
S011-MED-01,Q2-0020,S011,5808.412855457166
S011-WAT-01,Q2-0004,S011,893.2008216364582
S012-FOD-01,Q2-0013,S012,3233.1851542502964
S012-MED-01,Q2-0013,S012,3233.1851542502964
S012-WAT-01,Q2-0013,S012,3233.1851542502964
S013-FOD-01,Q2-0012,S013,3602.4211731491732
S013-MED-01,Q2-0008,S013,3098.7813933479756
S013-WAT-01,Q2-0008,S013,3098.7813933479756
S014-FOD-01,Q2-0014,S014,3582.8020179729956
S014-MED-01,Q2-0008,S014,2494.7844192446246
S014-WAT-01,Q2-0014,S014,3582.8020179729956
S015-FOD-01,Q2-0017,S015,5459.910646546954
S015-MED-01,Q2-0003,S015,1599.1593803774504
S015-WAT-01,Q2-0003,S015,1599.1593803774504
