FILE D题\数据\无人机应急物资运输基础数据\物资需求与配送时限.xlsx SHEET 数据
1: ('服务区编号', '物资类型', '总需求箱数', '首批必须送达箱数', '单箱质量（kg）', '单箱体积（m³）', '应急优先系数', '首批截止时间（s）', '期望送达时间（s）')
2: ('S001', '医疗物资', 2, 1, 3, 0.012, 24, 3600, 3600)
3: ('S001', '饮用水', 8, 1, 14, 0.027, 12, 3600, 3600)
4: ('S001', '应急食品', 3, 0, 8, 0.028, 10, None, 7200)
5: ('S001', '生活卫生用品', 2, 0, 6, 0.035, 8, None, 10800)
6: ('S002', '医疗物资', 1, 1, 3, 0.012, 24, 3600, 3600)
7: ('S002', '饮用水', 4, 1, 14, 0.027, 12, 3600, 3600)
8: ('S002', '应急食品', 2, 0, 8, 0.028, 10, None, 7200)
9: ('S002', '生活卫生用品', 1, 0, 6, 0.035, 8, None, 10800)
10: ('S003', '医疗物资', 1, 1, 3, 0.012, 20, 7200, 7200)
11: ('S003', '饮用水', 4, 1, 14, 0.027, 10, 7200, 7200)
12: ('S003', '应急食品', 2, 0, 8, 0.028, 8, None, 10800)
13: ('S003', '生活卫生用品', 1, 0, 6, 0.035, 6, None, 14400)
14: ('S004', '医疗物资', 1, 1, 3, 0.012, 20, 7200, 7200)
15: ('S004', '饮用水', 3, 1, 14, 0.027, 10, 7200, 7200)
16: ('S004', '应急食品', 1, 0, 8, 0.028, 8, None, 10800)
17: ('S004', '生活卫生用品', 1, 0, 6, 0.035, 6, None, 14400)
18: ('S005', '医疗物资', 1, 1, 3, 0.012, 16, 10800, 10800)
19: ('S005', '饮用水', 3, 1, 14, 0.027, 8, 10800, 10800)
20: ('S005', '应急食品', 1, 0, 8, 0.028, 6, None, 14400)
21: ('S005', '生活卫生用品', 1, 0, 6, 0.035, 4, None, 18000)
22: ('S006', '医疗物资', 1, 1, 3, 0.012, 24, 3600, 3600)
23: ('S006', '饮用水', 3, 1, 14, 0.027, 12, 3600, 3600)
24: ('S006', '应急食品', 1, 0, 8, 0.028, 10, None, 7200)
25: ('S006', '生活卫生用品', 1, 0, 6, 0.035, 8, None, 10800)
26: ('S007', '医疗物资', 1, 1, 3, 0.012, 24, 3600, 3600)
27: ('S007', '饮用水', 2, 1, 14, 0.027, 12, 3600, 3600)
28: ('S007', '应急食品', 1, 0, 8, 0.028, 10, None, 7200)
29: ('S007', '生活卫生用品', 1, 0, 6, 0.035, 8, None, 10800)
30: ('S008', '医疗物资', 1, 1, 3, 0.012, 20, 7200, 7200)
31: ('S008', '饮用水', 2, 1, 14, 0.027, 10, 7200, 7200)
32: ('S008', '应急食品', 1, 0, 8, 0.028, 8, None, 10800)
33: ('S008', '生活卫生用品', 1, 0, 6, 0.035, 6, None, 14400)
34: ('S009', '医疗物资', 1, 1, 3, 0.012, 16, 10800, 10800)
35: ('S009', '饮用水', 1, 1, 14, 0.027, 8, 10800, 10800)
36: ('S009', '应急食品', 1, 0, 8, 0.028, 6, None, 14400)
37: ('S010', '医疗物资', 1, 1, 3, 0.012, 24, 3600, 3600)
38: ('S010', '饮用水', 1, 1, 14, 0.027, 12, 3600, 3600)
39: ('S010', '应急食品', 1, 0, 8, 0.028, 10, None, 7200)
40: ('S011', '医疗物资', 1, 1, 3, 0.012, 16, 10800, 10800)
41: ('S011', '饮用水', 1, 1, 14, 0.027, 8, 10800, 10800)
42: ('S011', '应急食品', 1, 0, 8, 0.028, 6, None, 14400)
43: ('S012', '医疗物资', 1, 1, 3, 0.012, 22, 3600, 7200)
44: ('S012', '饮用水', 1, 1, 14, 0.027, 12, 3600, 3600)
45: ('S012', '应急食品', 1, 0, 8, 0.028, 10, None, 7200)
46: ('S013', '医疗物资', 1, 1, 3, 0.012, 24, 3600, 3600)
47: ('S013', '饮用水', 1, 1, 14, 0.027, 12, 3600, 3600)
48: ('S013', '应急食品', 1, 0, 8, 0.028, 10, None, 7200)
49: ('S014', '医疗物资', 1, 1, 3, 0.012, 22, 3600, 7200)
50: ('S014', '饮用水', 1, 1, 14, 0.027, 12, 3600, 3600)
51: ('S014', '应急食品', 1, 0, 8, 0.028, 10, None, 7200)
52: ('S015', '医疗物资', 1, 1, 3, 0.012, 18, 7200, 7200)
53: ('S015', '饮用水', 1, 1, 14, 0.027, 8, 10800, 10800)
54: ('S015', '应急食品', 1, 0, 8, 0.028, 6, None, 14400)
FILE D题\数据\无人机应急物资运输基础数据\物资需求与配送时限.xlsx SHEET 逐箱货箱清单
1: ('货箱编号', '服务区编号', '物资类型', '单箱质量（kg）', '单箱体积（m³）', '是否首批保障', '首批截止时间（s）', '期望送达时间（s）', '应急优先系数')
2: ('S001-MED-01', 'S001', '医疗物资', 3, 0.012, '是', 3600, 3600, 24)
3: ('S001-MED-02', 'S001', '医疗物资', 3, 0.012, '否', None, 3600, 24)
4: ('S001-WAT-01', 'S001', '饮用水', 14, 0.027, '是', 3600, 3600, 12)
5: ('S001-WAT-02', 'S001', '饮用水', 14, 0.027, '否', None, 3600, 12)
6: ('S001-WAT-03', 'S001', '饮用水', 14, 0.027, '否', None, 3600, 12)
7: ('S001-WAT-04', 'S001', '饮用水', 14, 0.027, '否', None, 3600, 12)
8: ('S001-WAT-05', 'S001', '饮用水', 14, 0.027, '否', None, 3600, 12)
9: ('S001-WAT-06', 'S001', '饮用水', 14, 0.027, '否', None, 3600, 12)
10: ('S001-WAT-07', 'S001', '饮用水', 14, 0.027, '否', None, 3600, 12)
11: ('S001-WAT-08', 'S001', '饮用水', 14, 0.027, '否', None, 3600, 12)
12: ('S001-FOD-01', 'S001', '应急食品', 8, 0.028, '否', None, 7200, 10)
13: ('S001-FOD-02', 'S001', '应急食品', 8, 0.028, '否', None, 7200, 10)
14: ('S001-FOD-03', 'S001', '应急食品', 8, 0.028, '否', None, 7200, 10)
15: ('S001-HYG-01', 'S001', '生活卫生用品', 6, 0.035, '否', None, 10800, 8)
16: ('S001-HYG-02', 'S001', '生活卫生用品', 6, 0.035, '否', None, 10800, 8)
17: ('S002-MED-01', 'S002', '医疗物资', 3, 0.012, '是', 3600, 3600, 24)
18: ('S002-WAT-01', 'S002', '饮用水', 14, 0.027, '是', 3600, 3600, 12)
19: ('S002-WAT-02', 'S002', '饮用水', 14, 0.027, '否', None, 3600, 12)
20: ('S002-WAT-03', 'S002', '饮用水', 14, 0.027, '否', None, 3600, 12)
21: ('S002-WAT-04', 'S002', '饮用水', 14, 0.027, '否', None, 3600, 12)
22: ('S002-FOD-01', 'S002', '应急食品', 8, 0.028, '否', None, 7200, 10)
23: ('S002-FOD-02', 'S002', '应急食品', 8, 0.028, '否', None, 7200, 10)
24: ('S002-HYG-01', 'S002', '生活卫生用品', 6, 0.035, '否', None, 10800, 8)
25: ('S003-MED-01', 'S003', '医疗物资', 3, 0.012, '是', 7200, 7200, 20)
26: ('S003-WAT-01', 'S003', '饮用水', 14, 0.027, '是', 7200, 7200, 10)
27: ('S003-WAT-02', 'S003', '饮用水', 14, 0.027, '否', None, 7200, 10)
28: ('S003-WAT-03', 'S003', '饮用水', 14, 0.027, '否', None, 7200, 10)
29: ('S003-WAT-04', 'S003', '饮用水', 14, 0.027, '否', None, 7200, 10)
30: ('S003-FOD-01', 'S003', '应急食品', 8, 0.028, '否', None, 10800, 8)
31: ('S003-FOD-02', 'S003', '应急食品', 8, 0.028, '否', None, 10800, 8)
32: ('S003-HYG-01', 'S003', '生活卫生用品', 6, 0.035, '否', None, 14400, 6)
33: ('S004-MED-01', 'S004', '医疗物资', 3, 0.012, '是', 7200, 7200, 20)
34: ('S004-WAT-01', 'S004', '饮用水', 14, 0.027, '是', 7200, 7200, 10)
35: ('S004-WAT-02', 'S004', '饮用水', 14, 0.027, '否', None, 7200, 10)
36: ('S004-WAT-03', 'S004', '饮用水', 14, 0.027, '否', None, 7200, 10)
37: ('S004-FOD-01', 'S004', '应急食品', 8, 0.028, '否', None, 10800, 8)
38: ('S004-HYG-01', 'S004', '生活卫生用品', 6, 0.035, '否', None, 14400, 6)
39: ('S005-MED-01', 'S005', '医疗物资', 3, 0.012, '是', 10800, 10800, 16)
40: ('S005-WAT-01', 'S005', '饮用水', 14, 0.027, '是', 10800, 10800, 8)
41: ('S005-WAT-02', 'S005', '饮用水', 14, 0.027, '否', None, 10800, 8)
42: ('S005-WAT-03', 'S005', '饮用水', 14, 0.027, '否', None, 10800, 8)
43: ('S005-FOD-01', 'S005', '应急食品', 8, 0.028, '否', None, 14400, 6)
44: ('S005-HYG-01', 'S005', '生活卫生用品', 6, 0.035, '否', None, 18000, 4)
45: ('S006-MED-01', 'S006', '医疗物资', 3, 0.012, '是', 3600, 3600, 24)
46: ('S006-WAT-01', 'S006', '饮用水', 14, 0.027, '是', 3600, 3600, 12)
47: ('S006-WAT-02', 'S006', '饮用水', 14, 0.027, '否', None, 3600, 12)
48: ('S006-WAT-03', 'S006', '饮用水', 14, 0.027, '否', None, 3600, 12)
49: ('S006-FOD-01', 'S006', '应急食品', 8, 0.028, '否', None, 7200, 10)
50: ('S006-HYG-01', 'S006', '生活卫生用品', 6, 0.035, '否', None, 10800, 8)
51: ('S007-MED-01', 'S007', '医疗物资', 3, 0.012, '是', 3600, 3600, 24)
52: ('S007-WAT-01', 'S007', '饮用水', 14, 0.027, '是', 3600, 3600, 12)
53: ('S007-WAT-02', 'S007', '饮用水', 14, 0.027, '否', None, 3600, 12)
54: ('S007-FOD-01', 'S007', '应急食品', 8, 0.028, '否', None, 7200, 10)
55: ('S007-HYG-01', 'S007', '生活卫生用品', 6, 0.035, '否', None, 10800, 8)
56: ('S008-MED-01', 'S008', '医疗物资', 3, 0.012, '是', 7200, 7200, 20)
57: ('S008-WAT-01', 'S008', '饮用水', 14, 0.027, '是', 7200, 7200, 10)
58: ('S008-WAT-02', 'S008', '饮用水', 14, 0.027, '否', None, 7200, 10)
59: ('S008-FOD-01', 'S008', '应急食品', 8, 0.028, '否', None, 10800, 8)
60: ('S008-HYG-01', 'S008', '生活卫生用品', 6, 0.035, '否', None, 14400, 6)
61: ('S009-MED-01', 'S009', '医疗物资', 3, 0.012, '是', 10800, 10800, 16)
62: ('S009-WAT-01', 'S009', '饮用水', 14, 0.027, '是', 10800, 10800, 8)
63: ('S009-FOD-01', 'S009', '应急食品', 8, 0.028, '否', None, 14400, 6)
64: ('S010-MED-01', 'S010', '医疗物资', 3, 0.012, '是', 3600, 3600, 24)
65: ('S010-WAT-01', 'S010', '饮用水', 14, 0.027, '是', 3600, 3600, 12)
66: ('S010-FOD-01', 'S010', '应急食品', 8, 0.028, '否', None, 7200, 10)
67: ('S011-MED-01', 'S011', '医疗物资', 3, 0.012, '是', 10800, 10800, 16)
68: ('S011-WAT-01', 'S011', '饮用水', 14, 0.027, '是', 10800, 10800, 8)
69: ('S011-FOD-01', 'S011', '应急食品', 8, 0.028, '否', None, 14400, 6)
70: ('S012-MED-01', 'S012', '医疗物资', 3, 0.012, '是', 3600, 7200, 22)
71: ('S012-WAT-01', 'S012', '饮用水', 14, 0.027, '是', 3600, 3600, 12)
72: ('S012-FOD-01', 'S012', '应急食品', 8, 0.028, '否', None, 7200, 10)
73: ('S013-MED-01', 'S013', '医疗物资', 3, 0.012, '是', 3600, 3600, 24)
74: ('S013-WAT-01', 'S013', '饮用水', 14, 0.027, '是', 3600, 3600, 12)
75: ('S013-FOD-01', 'S013', '应急食品', 8, 0.028, '否', None, 7200, 10)
76: ('S014-MED-01', 'S014', '医疗物资', 3, 0.012, '是', 3600, 7200, 22)
77: ('S014-WAT-01', 'S014', '饮用水', 14, 0.027, '是', 3600, 3600, 12)
78: ('S014-FOD-01', 'S014', '应急食品', 8, 0.028, '否', None, 7200, 10)
79: ('S015-MED-01', 'S015', '医疗物资', 3, 0.012, '是', 7200, 7200, 18)
80: ('S015-WAT-01', 'S015', '饮用水', 14, 0.027, '是', 10800, 10800, 8)
81: ('S015-FOD-01', 'S015', '应急食品', 8, 0.028, '否', None, 14400, 6)
FILE D题\数据\无人机应急物资运输基础数据\调度中心与服务区.xlsx SHEET 数据
1: ('调度中心', None, None, None, None, None)
2: ('调度中心编号', '调度中心名称', '经度（°）', '纬度（°）', '海拔（m）', None)
3: ('O01', '凤丹村无人机调度中心', 109.2308517, 23.0085095, 127.7, None)
4: (None, None, None, None, None, None)
5: ('服务区', None, None, None, None, None)
6: ('服务区编号', '服务区名称', '经度（°）', '纬度（°）', '海拔（m）', '本次需保障人口（人）')
