G,group,type,task,vehicle_type,start,finish,energy_kwh,new_uav,new_battery_or_component,source_sha256
2,G2-01,运输,K000002,C,0.0,1561.5526244866223,2.5979806407170596,G2-01-U_C-01,G2-01-P_C-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-01,运输,K001310,A,0.0,1190.9069627433817,1.2195425893044773,G2-01-U_A-01,G2-01-P_A-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-01,运输,K000005,C,1561.5526244866223,3187.7276703486455,2.5656145660855434,G2-01-U_C-01,G2-01-P_C-02,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-01,运输,K000011,B,3782.30605001331,4931.4122258395255,1.220434433311425,G2-01-U_B-01,G2-01-P_B-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-01,运输,K000019,C,7801.37381719055,9163.548863052572,2.2814782762843073,G2-01-U_C-01,G2-01-P_C-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-01,运输,K000016,B,7976.729672266098,9165.154435126618,1.073963183411491,G2-01-U_B-01,G2-01-P_B-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-02,运输,K000004,B,0.0,1869.7476752786915,2.140365220765654,G2-02-U_B-02,G2-02-P_B-02,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-02,运输,K000003,B,-0.0,1922.826814149187,2.7526443904556688,G2-02-U_B-01,G2-02-P_B-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-02,运输,K000001,C,144.39748477010016,2252.2396507946546,6.2810104080250655,G2-02-U_C-01,G2-02-P_C-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-02,运输,K000006,B,1869.7476752786915,3425.151195058909,1.8232594430204312,G2-02-U_B-02,G2-02-P_B-03,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-02,运输,K000007,B,1922.826814149187,3433.3384028937116,1.8248637585718628,G2-02-U_B-01,G2-02-P_B-04,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-02,运输,K000008,C,2252.2396507946546,4159.840349205346,3.411075641855823,G2-02-U_C-01,G2-02-P_C-02,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-02,运输,K000009,C,3187.7276703486455,5387.439194949478,5.836066297505489,G2-02-U_C-02,G2-02-P_C-03,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-02,运输,K000010,B,3498.8957671228823,5255.61984843064,2.3613312390809593,G2-02-U_B-01,G2-02-P_B-02,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-02,运输,K000012,C,4715.91494866348,7152.09265976274,6.324596372619295,G2-02-U_C-01,G2-02-P_C-04,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-02,运输,K000014,B,5255.61984843064,7083.947408604299,2.3075883370944723,G2-02-U_B-01,G2-02-P_B-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-02,运输,K000015,C,5387.439194949478,7688.493913721924,6.152920552274484,G2-02-U_C-02,G2-02-P_C-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-02,运输,K000013,B,5774.985890338107,7333.448754672465,2.096289967733762,G2-02-U_B-02,G2-02-P_B-03,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-02,运输,K000017,B,7083.947408604299,9104.557073642362,2.424318485056973,G2-02-U_B-01,G2-02-P_B-02,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-02,运输,K000018,C,7152.09265976274,9029.281375254212,4.222182349592158,G2-02-U_C-01,G2-02-P_C-02,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-02,中继,Q3-R001,R,428.2224676063595,9165.15443502662,2.5597864798392678,G2-02-U_R-02,G2-02-P_R-02,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-02,中继,Q3-R004,R,131.59422923524016,3504.3026399893397,0.9385653074937486,G2-02-U_R-01,G2-02-P_R-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-02,中继,Q3-R005,R,5744.537700648645,7572.866928492787,0.472117798059544,G2-02-U_R-01,G2-02-P_R-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
2,G2-02,中继,Q3-R006,R,8007.763571171147,9024.841443537918,0.22405454383856052,G2-02-U_R-01,G2-02-P_R-03,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-01,运输,K001310,A,0.0,1190.9069627433817,1.2195425893044773,G3-01-U_A-01,G3-01-P_A-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-01,运输,K000005,C,1561.5526244866223,3187.7276703486455,2.5656145660855434,G3-01-U_C-01,G3-01-P_C-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-01,运输,K000011,B,3782.30605001331,4931.4122258395255,1.220434433311425,G3-01-U_B-01,G3-01-P_B-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-01,运输,K000019,C,7801.37381719055,9163.548863052572,2.2814782762843073,G3-01-U_C-01,G3-01-P_C-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-01,运输,K000016,B,7976.729672266098,9165.154435126618,1.073963183411491,G3-01-U_B-01,G3-01-P_B-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-02,运输,K000004,B,0.0,1869.7476752786915,2.140365220765654,G3-02-U_B-02,G3-02-P_B-02,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-02,运输,K000003,B,-0.0,1922.826814149187,2.7526443904556688,G3-02-U_B-01,G3-02-P_B-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-02,运输,K000001,C,144.39748477010016,2252.2396507946546,6.2810104080250655,G3-02-U_C-01,G3-02-P_C-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-02,运输,K000006,B,1869.7476752786915,3425.151195058909,1.8232594430204312,G3-02-U_B-02,G3-02-P_B-03,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-02,运输,K000007,B,1922.826814149187,3433.3384028937116,1.8248637585718628,G3-02-U_B-01,G3-02-P_B-04,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-02,运输,K000008,C,2252.2396507946546,4159.840349205346,3.411075641855823,G3-02-U_C-01,G3-02-P_C-02,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-02,运输,K000009,C,3187.7276703486455,5387.439194949478,5.836066297505489,G3-02-U_C-02,G3-02-P_C-03,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-02,运输,K000010,B,3498.8957671228823,5255.61984843064,2.3613312390809593,G3-02-U_B-01,G3-02-P_B-02,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-02,运输,K000012,C,4715.91494866348,7152.09265976274,6.324596372619295,G3-02-U_C-01,G3-02-P_C-04,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-02,运输,K000014,B,5255.61984843064,7083.947408604299,2.3075883370944723,G3-02-U_B-01,G3-02-P_B-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-02,运输,K000015,C,5387.439194949478,7688.493913721924,6.152920552274484,G3-02-U_C-02,G3-02-P_C-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-02,运输,K000013,B,5774.985890338107,7333.448754672465,2.096289967733762,G3-02-U_B-02,G3-02-P_B-03,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-02,运输,K000017,B,7083.947408604299,9104.557073642362,2.424318485056973,G3-02-U_B-01,G3-02-P_B-02,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-02,运输,K000018,C,7152.09265976274,9029.281375254212,4.222182349592158,G3-02-U_C-01,G3-02-P_C-02,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-02,中继,Q3-R001,R,428.2224676063595,9165.15443502662,2.5597864798392678,G3-02-U_R-02,G3-02-P_R-02,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-02,中继,Q3-R004,R,131.59422923524016,3504.3026399893397,0.9385653074937486,G3-02-U_R-01,G3-02-P_R-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-02,中继,Q3-R005,R,5744.537700648645,7572.866928492787,0.472117798059544,G3-02-U_R-01,G3-02-P_R-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-02,中继,Q3-R006,R,8007.763571171147,9024.841443537918,0.22405454383856052,G3-02-U_R-01,G3-02-P_R-03,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
3,G3-03,运输,K000002,C,0.0,1561.5526244866223,2.5979806407170596,G3-03-U_C-01,G3-03-P_C-01,f3be3724a2685c5edf027d4e567ec9144efcca2fc63899a9e6ab9d73d5b88f53
