G,merge_step,resource,left_units,right_units,left_peak,right_peak,merged_peak,reuse_gain
2,1,U_A,"[0, 2, 3]",[1],1,0,1,0
2,1,U_B,"[0, 2, 3]",[1],1,2,2,1
2,1,U_C,"[0, 2, 3]",[1],1,2,2,1
2,1,P_A,"[0, 2, 3]",[1],1,0,1,0
2,1,P_B,"[0, 2, 3]",[1],1,4,4,1
2,1,P_C,"[0, 2, 3]",[1],2,4,4,2
2,1,U_R,"[0, 2, 3]",[1],0,2,2,0
2,1,P_R,"[0, 2, 3]",[1],0,3,3,0
3,1,U_A,"[0, 3]",[1],1,0,1,0
3,1,U_B,"[0, 3]",[1],1,2,2,1
3,1,U_C,"[0, 3]",[1],1,2,2,1
3,1,P_A,"[0, 3]",[1],1,0,1,0
3,1,P_B,"[0, 3]",[1],1,4,4,1
3,1,P_C,"[0, 3]",[1],1,4,4,1
3,1,U_R,"[0, 3]",[1],0,2,2,0
3,1,P_R,"[0, 3]",[1],0,3,3,0
3,2,U_A,"[0, 1, 3]",[2],1,0,1,0
3,2,U_B,"[0, 1, 3]",[2],2,0,2,0
3,2,U_C,"[0, 1, 3]",[2],2,1,2,1
3,2,P_A,"[0, 1, 3]",[2],1,0,1,0
3,2,P_B,"[0, 1, 3]",[2],4,0,4,0
3,2,P_C,"[0, 1, 3]",[2],4,1,4,1
3,2,U_R,"[0, 1, 3]",[2],2,0,2,0
3,2,P_R,"[0, 1, 3]",[2],3,0,3,0
