task,task_type,component,resource_type,old_resource,start,task_end,ready
K000002,T,2,U_C,U08,0.0,1561.5526244866223,1561.5526244866223
K000002,T,2,P_C,C-BAT-04,0.0,1561.5526244866223,3098.505714680826
K000004,T,1,U_B,U05,0.0,1869.7476752786915,1869.7476752786915
K000004,T,1,P_B,B-BAT-04,0.0,1869.7476752786915,3463.905937610475
K001310,T,0,U_A,U01,0.0,1190.9069627433817,1190.9069627433817
K001310,T,0,P_A,A-BAT-01,0.0,1190.9069627433817,2043.2192663202309
K000003,T,1,U_B,U06,0.0,1922.826814149187,1922.826814149187
K000003,T,1,P_B,B-BAT-01,0.0,1922.826814149187,3782.30605001331
K000001,T,1,U_C,U07,144.39748477010016,2252.2396507946546,2252.2396507946546
K000001,T,1,P_C,C-BAT-02,144.39748477010016,2252.2396507946546,4786.679969634777
K000005,T,0,U_C,U08,1561.5526244866223,3187.7276703486455,3187.7276703486455
K000005,T,0,P_C,C-BAT-01,1561.5526244866223,3187.7276703486455,4715.91494866348
K000006,T,1,U_B,U05,1869.7476752786915,3425.151195058909,3425.151195058909
K000006,T,1,P_B,B-BAT-03,1869.7476752786915,3425.151195058909,4881.896953701095
K000007,T,1,U_B,U06,1922.826814149187,3433.3384028937116,3433.3384028937116
K000007,T,1,P_B,B-BAT-02,1922.826814149187,3433.3384028937116,4890.779364941519
K000008,T,1,U_C,U07,2252.2396507946546,4159.840349205346,4159.840349205346
K000008,T,1,P_C,C-BAT-03,2252.2396507946546,4159.840349205346,5917.006668874631
K000009,T,1,U_C,U08,3187.7276703486455,5387.439194949478,5387.439194949478
K000009,T,1,P_C,C-BAT-04,3187.7276703486455,5387.439194949478,7801.373817190548
K000010,T,1,U_B,U06,3498.8957671228823,5255.61984843064,5255.61984843064
K000010,T,1,P_B,B-BAT-04,3498.8957671228823,5255.61984843064,6945.530052032389
K000011,T,0,U_B,U05,3782.30605001331,4931.4122258395255,4931.4122258395255
K000011,T,0,P_B,B-BAT-01,3782.30605001331,4931.4122258395255,6126.9338136078095
K000012,T,1,U_C,U07,4715.91494866348,7152.09265976274,7152.09265976274
K000012,T,1,P_C,C-BAT-01,4715.91494866348,7152.09265976274,9698.337510680467
K000014,T,1,U_B,U06,5255.61984843064,7083.947408604299,7083.947408604299
K000014,T,1,P_B,B-BAT-02,5255.61984843064,7083.947408604299,8750.569021345236
K000015,T,1,U_C,U08,5387.439194949478,7688.493913721924,7688.493913721924
K000015,T,1,P_C,C-BAT-02,5387.439194949478,7688.493913721924,10188.24322996293
K000013,T,1,U_B,U05,5774.985890338107,7333.448754672465,7333.448754672465
K000013,T,1,P_B,B-BAT-03,5774.985890338107,7333.448754672465,8908.507740690427
K000017,T,1,U_B,U06,7083.947408604299,9104.557073642362,9104.557073642362
K000017,T,1,P_B,B-BAT-04,7083.947408604299,9104.557073642362,10821.761750500384
K000018,T,1,U_C,U07,7152.09265976274,9029.281375254212,9029.281375254212
K000018,T,1,P_C,C-BAT-03,7152.09265976274,9029.281375254212,11006.122428268754
K000019,T,0,U_C,U08,7801.37381719055,9163.548863052572,9163.548863052572
K000019,T,0,P_C,C-BAT-04,7801.37381719055,9163.548863052572,10614.782562879573
K000016,T,3,U_B,U05,7976.729672266098,9165.154435126618,9165.154435126618
K000016,T,3,P_B,B-BAT-01,7976.729672266098,9165.154435126618,10297.205147938264
Q3-R001,R,1,U_R,R01,428.2224676063595,9165.15443502662,9465.15443502662
Q3-R001,R,1,P_R,R-EC-01,428.2224676063595,9165.15443502662,10705.067692461322
Q3-R004,R,1,U_R,R02,131.59422923524016,3504.3026399893397,3804.3026399893397
Q3-R004,R,1,P_R,R-EC-03,131.59422923524016,3504.3026399893397,4385.594796158675
Q3-R005,R,1,U_R,R02,5744.537700648645,7572.866928492787,7872.866928492787
Q3-R005,R,1,P_R,R-EC-03,5744.537700648645,7572.866928492787,8264.664783954477
Q3-R006,R,1,U_R,R02,8007.763571171147,9024.841443537918,9324.841443537918
Q3-R006,R,1,P_R,R-EC-02,8007.763571171147,9024.841443537918,9465.948826720085
