G,resource,inventory,central_P,demand,split_loss,gap,stock_left,peak_certificates
2,U_A,4,1,1,0,0,3,"资源峰值证书.json: G=2, resource=U_A"
2,U_B,2,2,3,1,1,0,"资源峰值证书.json: G=2, resource=U_B"
2,U_C,2,2,3,1,1,0,"资源峰值证书.json: G=2, resource=U_C"
2,P_A,6,1,1,0,0,5,"资源峰值证书.json: G=2, resource=P_A"
2,P_B,4,4,5,1,1,0,"资源峰值证书.json: G=2, resource=P_B"
2,P_C,4,4,6,2,2,0,"资源峰值证书.json: G=2, resource=P_C"
2,U_R,2,2,2,0,0,0,"资源峰值证书.json: G=2, resource=U_R"
2,P_R,6,3,3,0,0,3,"资源峰值证书.json: G=2, resource=P_R"
3,U_A,4,1,1,0,0,3,"资源峰值证书.json: G=3, resource=U_A"
3,U_B,2,2,3,1,1,0,"资源峰值证书.json: G=3, resource=U_B"
3,U_C,2,2,4,2,2,0,"资源峰值证书.json: G=3, resource=U_C"
3,P_A,6,1,1,0,0,5,"资源峰值证书.json: G=3, resource=P_A"
3,P_B,4,4,5,1,1,0,"资源峰值证书.json: G=3, resource=P_B"
3,P_C,4,4,6,2,2,0,"资源峰值证书.json: G=3, resource=P_C"
3,U_R,2,2,2,0,0,0,"资源峰值证书.json: G=3, resource=U_R"
3,P_R,6,3,3,0,0,3,"资源峰值证书.json: G=3, resource=P_R"
