G,group,resource_type,new_resource,task,task_type,old_resource,start,task_end,ready
2,G2-01,U_A,G2-01-U_A-01,K001310,T,U01,0.0,1190.9069627433817,1190.9069627433817
2,G2-01,U_B,G2-01-U_B-01,K000011,T,U05,3782.30605001331,4931.4122258395255,4931.4122258395255
2,G2-01,U_B,G2-01-U_B-01,K000016,T,U05,7976.729672266098,9165.154435126618,9165.154435126618
2,G2-01,U_C,G2-01-U_C-01,K000002,T,U08,0.0,1561.5526244866223,1561.5526244866223
2,G2-01,U_C,G2-01-U_C-01,K000005,T,U08,1561.5526244866223,3187.7276703486455,3187.7276703486455
2,G2-01,U_C,G2-01-U_C-01,K000019,T,U08,7801.37381719055,9163.548863052572,9163.548863052572
2,G2-01,P_A,G2-01-P_A-01,K001310,T,A-BAT-01,0.0,1190.9069627433817,2043.2192663202309
2,G2-01,P_B,G2-01-P_B-01,K000011,T,B-BAT-01,3782.30605001331,4931.4122258395255,6126.9338136078095
2,G2-01,P_B,G2-01-P_B-01,K000016,T,B-BAT-01,7976.729672266098,9165.154435126618,10297.205147938264
2,G2-01,P_C,G2-01-P_C-01,K000002,T,C-BAT-04,0.0,1561.5526244866223,3098.505714680826
2,G2-01,P_C,G2-01-P_C-02,K000005,T,C-BAT-01,1561.5526244866223,3187.7276703486455,4715.91494866348
2,G2-01,P_C,G2-01-P_C-01,K000019,T,C-BAT-04,7801.37381719055,9163.548863052572,10614.782562879573
2,G2-02,U_B,G2-02-U_B-01,K000003,T,U06,0.0,1922.826814149187,1922.826814149187
2,G2-02,U_B,G2-02-U_B-02,K000004,T,U05,0.0,1869.7476752786915,1869.7476752786915
2,G2-02,U_B,G2-02-U_B-02,K000006,T,U05,1869.7476752786915,3425.151195058909,3425.151195058909
2,G2-02,U_B,G2-02-U_B-01,K000007,T,U06,1922.826814149187,3433.3384028937116,3433.3384028937116
2,G2-02,U_B,G2-02-U_B-01,K000010,T,U06,3498.8957671228823,5255.61984843064,5255.61984843064
2,G2-02,U_B,G2-02-U_B-01,K000014,T,U06,5255.61984843064,7083.947408604299,7083.947408604299
2,G2-02,U_B,G2-02-U_B-02,K000013,T,U05,5774.985890338107,7333.448754672465,7333.448754672465
2,G2-02,U_B,G2-02-U_B-01,K000017,T,U06,7083.947408604299,9104.557073642362,9104.557073642362
2,G2-02,U_C,G2-02-U_C-01,K000001,T,U07,144.39748477010016,2252.2396507946546,2252.2396507946546
2,G2-02,U_C,G2-02-U_C-01,K000008,T,U07,2252.2396507946546,4159.840349205346,4159.840349205346
2,G2-02,U_C,G2-02-U_C-02,K000009,T,U08,3187.7276703486455,5387.439194949478,5387.439194949478
2,G2-02,U_C,G2-02-U_C-01,K000012,T,U07,4715.91494866348,7152.09265976274,7152.09265976274
2,G2-02,U_C,G2-02-U_C-02,K000015,T,U08,5387.439194949478,7688.493913721924,7688.493913721924
2,G2-02,U_C,G2-02-U_C-01,K000018,T,U07,7152.09265976274,9029.281375254212,9029.281375254212
2,G2-02,P_B,G2-02-P_B-01,K000003,T,B-BAT-01,0.0,1922.826814149187,3782.30605001331
2,G2-02,P_B,G2-02-P_B-02,K000004,T,B-BAT-04,0.0,1869.7476752786915,3463.905937610475
2,G2-02,P_B,G2-02-P_B-03,K000006,T,B-BAT-03,1869.7476752786915,3425.151195058909,4881.896953701095
2,G2-02,P_B,G2-02-P_B-04,K000007,T,B-BAT-02,1922.826814149187,3433.3384028937116,4890.779364941519
2,G2-02,P_B,G2-02-P_B-02,K000010,T,B-BAT-04,3498.8957671228823,5255.61984843064,6945.530052032389
2,G2-02,P_B,G2-02-P_B-01,K000014,T,B-BAT-02,5255.61984843064,7083.947408604299,8750.569021345236
2,G2-02,P_B,G2-02-P_B-03,K000013,T,B-BAT-03,5774.985890338107,7333.448754672465,8908.507740690427
2,G2-02,P_B,G2-02-P_B-02,K000017,T,B-BAT-04,7083.947408604299,9104.557073642362,10821.761750500384
2,G2-02,P_C,G2-02-P_C-01,K000001,T,C-BAT-02,144.39748477010016,2252.2396507946546,4786.679969634777
2,G2-02,P_C,G2-02-P_C-02,K000008,T,C-BAT-03,2252.2396507946546,4159.840349205346,5917.006668874631
2,G2-02,P_C,G2-02-P_C-03,K000009,T,C-BAT-04,3187.7276703486455,5387.439194949478,7801.373817190548
2,G2-02,P_C,G2-02-P_C-04,K000012,T,C-BAT-01,4715.91494866348,7152.09265976274,9698.337510680467
2,G2-02,P_C,G2-02-P_C-01,K000015,T,C-BAT-02,5387.439194949478,7688.493913721924,10188.24322996293
2,G2-02,P_C,G2-02-P_C-02,K000018,T,C-BAT-03,7152.09265976274,9029.281375254212,11006.122428268754
2,G2-02,U_R,G2-02-U_R-01,Q3-R004,R,R02,131.59422923524016,3504.3026399893397,3804.3026399893397
2,G2-02,U_R,G2-02-U_R-02,Q3-R001,R,R01,428.2224676063595,9165.15443502662,9465.15443502662
2,G2-02,U_R,G2-02-U_R-01,Q3-R005,R,R02,5744.537700648645,7572.866928492787,7872.866928492787
2,G2-02,U_R,G2-02-U_R-01,Q3-R006,R,R02,8007.763571171147,9024.841443537918,9324.841443537918
2,G2-02,P_R,G2-02-P_R-01,Q3-R004,R,R-EC-03,131.59422923524016,3504.3026399893397,4385.594796158675
2,G2-02,P_R,G2-02-P_R-02,Q3-R001,R,R-EC-01,428.2224676063595,9165.15443502662,10705.067692461322
2,G2-02,P_R,G2-02-P_R-01,Q3-R005,R,R-EC-03,5744.537700648645,7572.866928492787,8264.664783954477
2,G2-02,P_R,G2-02-P_R-03,Q3-R006,R,R-EC-02,8007.763571171147,9024.841443537918,9465.948826720085
3,G3-01,U_A,G3-01-U_A-01,K001310,T,U01,0.0,1190.9069627433817,1190.9069627433817
3,G3-01,U_B,G3-01-U_B-01,K000011,T,U05,3782.30605001331,4931.4122258395255,4931.4122258395255
3,G3-01,U_B,G3-01-U_B-01,K000016,T,U05,7976.729672266098,9165.154435126618,9165.154435126618
3,G3-01,U_C,G3-01-U_C-01,K000005,T,U08,1561.5526244866223,3187.7276703486455,3187.7276703486455
3,G3-01,U_C,G3-01-U_C-01,K000019,T,U08,7801.37381719055,9163.548863052572,9163.548863052572
3,G3-01,P_A,G3-01-P_A-01,K001310,T,A-BAT-01,0.0,1190.9069627433817,2043.2192663202309
3,G3-01,P_B,G3-01-P_B-01,K000011,T,B-BAT-01,3782.30605001331,4931.4122258395255,6126.9338136078095
3,G3-01,P_B,G3-01-P_B-01,K000016,T,B-BAT-01,7976.729672266098,9165.154435126618,10297.205147938264
3,G3-01,P_C,G3-01-P_C-01,K000005,T,C-BAT-01,1561.5526244866223,3187.7276703486455,4715.91494866348
3,G3-01,P_C,G3-01-P_C-01,K000019,T,C-BAT-04,7801.37381719055,9163.548863052572,10614.782562879573
3,G3-02,U_B,G3-02-U_B-01,K000003,T,U06,0.0,1922.826814149187,1922.826814149187
3,G3-02,U_B,G3-02-U_B-02,K000004,T,U05,0.0,1869.7476752786915,1869.7476752786915
3,G3-02,U_B,G3-02-U_B-02,K000006,T,U05,1869.7476752786915,3425.151195058909,3425.151195058909
3,G3-02,U_B,G3-02-U_B-01,K000007,T,U06,1922.826814149187,3433.3384028937116,3433.3384028937116
3,G3-02,U_B,G3-02-U_B-01,K000010,T,U06,3498.8957671228823,5255.61984843064,5255.61984843064
3,G3-02,U_B,G3-02-U_B-01,K000014,T,U06,5255.61984843064,7083.947408604299,7083.947408604299
3,G3-02,U_B,G3-02-U_B-02,K000013,T,U05,5774.985890338107,7333.448754672465,7333.448754672465
3,G3-02,U_B,G3-02-U_B-01,K000017,T,U06,7083.947408604299,9104.557073642362,9104.557073642362
3,G3-02,U_C,G3-02-U_C-01,K000001,T,U07,144.39748477010016,2252.2396507946546,2252.2396507946546
3,G3-02,U_C,G3-02-U_C-01,K000008,T,U07,2252.2396507946546,4159.840349205346,4159.840349205346
3,G3-02,U_C,G3-02-U_C-02,K000009,T,U08,3187.7276703486455,5387.439194949478,5387.439194949478
3,G3-02,U_C,G3-02-U_C-01,K000012,T,U07,4715.91494866348,7152.09265976274,7152.09265976274
3,G3-02,U_C,G3-02-U_C-02,K000015,T,U08,5387.439194949478,7688.493913721924,7688.493913721924
3,G3-02,U_C,G3-02-U_C-01,K000018,T,U07,7152.09265976274,9029.281375254212,9029.281375254212
3,G3-02,P_B,G3-02-P_B-01,K000003,T,B-BAT-01,0.0,1922.826814149187,3782.30605001331
3,G3-02,P_B,G3-02-P_B-02,K000004,T,B-BAT-04,0.0,1869.7476752786915,3463.905937610475
3,G3-02,P_B,G3-02-P_B-03,K000006,T,B-BAT-03,1869.7476752786915,3425.151195058909,4881.896953701095
3,G3-02,P_B,G3-02-P_B-04,K000007,T,B-BAT-02,1922.826814149187,3433.3384028937116,4890.779364941519
3,G3-02,P_B,G3-02-P_B-02,K000010,T,B-BAT-04,3498.8957671228823,5255.61984843064,6945.530052032389
3,G3-02,P_B,G3-02-P_B-01,K000014,T,B-BAT-02,5255.61984843064,7083.947408604299,8750.569021345236
3,G3-02,P_B,G3-02-P_B-03,K000013,T,B-BAT-03,5774.985890338107,7333.448754672465,8908.507740690427
3,G3-02,P_B,G3-02-P_B-02,K000017,T,B-BAT-04,7083.947408604299,9104.557073642362,10821.761750500384
3,G3-02,P_C,G3-02-P_C-01,K000001,T,C-BAT-02,144.39748477010016,2252.2396507946546,4786.679969634777
3,G3-02,P_C,G3-02-P_C-02,K000008,T,C-BAT-03,2252.2396507946546,4159.840349205346,5917.006668874631
3,G3-02,P_C,G3-02-P_C-03,K000009,T,C-BAT-04,3187.7276703486455,5387.439194949478,7801.373817190548
3,G3-02,P_C,G3-02-P_C-04,K000012,T,C-BAT-01,4715.91494866348,7152.09265976274,9698.337510680467
3,G3-02,P_C,G3-02-P_C-01,K000015,T,C-BAT-02,5387.439194949478,7688.493913721924,10188.24322996293
3,G3-02,P_C,G3-02-P_C-02,K000018,T,C-BAT-03,7152.09265976274,9029.281375254212,11006.122428268754
3,G3-02,U_R,G3-02-U_R-01,Q3-R004,R,R02,131.59422923524016,3504.3026399893397,3804.3026399893397
3,G3-02,U_R,G3-02-U_R-02,Q3-R001,R,R01,428.2224676063595,9165.15443502662,9465.15443502662
3,G3-02,U_R,G3-02-U_R-01,Q3-R005,R,R02,5744.537700648645,7572.866928492787,7872.866928492787
3,G3-02,U_R,G3-02-U_R-01,Q3-R006,R,R02,8007.763571171147,9024.841443537918,9324.841443537918
3,G3-02,P_R,G3-02-P_R-01,Q3-R004,R,R-EC-03,131.59422923524016,3504.3026399893397,4385.594796158675
3,G3-02,P_R,G3-02-P_R-02,Q3-R001,R,R-EC-01,428.2224676063595,9165.15443502662,10705.067692461322
3,G3-02,P_R,G3-02-P_R-01,Q3-R005,R,R-EC-03,5744.537700648645,7572.866928492787,8264.664783954477
