kind,route,relay,t0,t1
interval,K000004,Q3-R004,806.8341108106792,906.0515492278873
interval,K000004,Q3-R004,906.0515492278881,1002.4305043060124
interval,K000004,Q3-R004,1002.4305043060131,1242.4305043060124
interval,K000004,Q3-R004,1242.430504306013,1322.7463002044499
interval,K000004,Q3-R004,1322.7463002044503,1421.963738621658
interval,K000003,Q3-R004,748.3583560217763,977.9430091253748
interval,K000003,Q3-R004,977.9430091253749,1031.3434070745936
interval,K000003,Q3-R004,1031.3434070745936,1271.3434070745936
interval,K000003,Q3-R004,1271.3434070745936,1315.8437386989424
interval,K000003,Q3-R004,1315.8437386989426,1545.428391802541
interval,K000001,Q3-R004,960.4330658467265,1191.0014407071822
interval,K000001,Q3-R001,1191.0014407071824,1235.7285677823775
interval,K000001,Q3-R001,1235.7285677823777,1631.7285677823775
interval,K000001,Q3-R001,1631.7285677823777,1667.5102694425336
interval,K000001,Q3-R004,1667.5102694425339,1898.0786443029892
interval,K000006,Q3-R004,2625.4467874945058,2681.3714875776545
interval,K000006,Q3-R004,2681.371487577655,2714.986101835467
interval,K000006,Q3-R004,2714.9861018354677,2954.986101835467
interval,K000006,Q3-R004,2954.9861018354677,2982.9982803836438
interval,K000006,Q3-R004,2982.9982803836447,3038.9229804667925
interval,K000007,Q3-R004,2666.5404235777714,2726.623212362595
interval,K000007,Q3-R004,2726.6232123625955,2745.6159418547822
interval,K000007,Q3-R004,2745.615941854783,2985.6159418547822
interval,K000007,Q3-R004,2985.615941854783,3001.4432164316054
interval,K000007,Q3-R004,3001.4432164316063,3061.5260052164303
interval,K000008,Q3-R001,3118.5815899209965,3158.2634124755855
interval,K000008,Q3-R001,3158.263412475586,3239.9999999999995
interval,K000008,Q3-R001,3240.0,3599.9999999999995
interval,K000008,Q3-R001,3600.0,3665.3892700195306
interval,K000008,Q3-R001,3665.389270019531,3705.0710925741205
interval,K000009,Q3-R001,4026.1865846930204,4274.418766511367
interval,K000009,Q3-R001,4274.418766511369,4325.423432649062
interval,K000009,Q3-R001,4325.423432649064,4685.423432649062
interval,K000009,Q3-R001,4685.423432649064,4726.2271655592185
interval,K000009,Q3-R001,4726.22716555922,4974.459347377565
interval,K000010,Q3-R001,4182.847731256149,4413.416106116605
interval,K000010,Q3-R001,4413.416106116605,4449.197807776762
interval,K000010,Q3-R001,4449.197807776762,4659.197807776762
interval,K000010,Q3-R001,4659.197807776762,4689.015892493559
interval,K000010,Q3-R001,4689.015892493559,4919.584267354015
interval,K000012,Q3-R001,5631.8608755782225,5853.811735121313
interval,K000012,Q3-R001,5853.811735121313,5965.46380421311
interval,K000012,Q3-R001,5965.46380421311,6361.46380421311
interval,K000012,Q3-R001,6361.46380421311,6450.785459486548
interval,K000012,Q3-R001,6450.785459486548,6660.193083782504
interval,K000012,Q3-R005,6660.193083782504,6672.736319029638
interval,K000014,Q3-R001,6055.8862182977045,6194.303926369032
interval,K000014,Q3-R001,6194.303926369033,6233.2236285174695
interval,K000014,Q3-R001,6233.223628517471,6473.2236285174695
interval,K000014,Q3-R001,6473.223628517471,6505.656713641168
interval,K000014,Q3-R005,6505.6567136411695,6518.580939215837
interval,K000014,Q3-R001,6518.580939215837,6644.074421712495
interval,K000015,Q3-R001,6348.029891158703,6489.9669712058185
interval,K000015,Q3-R001,6489.96697120582,6532.451762770762
interval,K000015,Q3-R005,6532.451762770762,6574.936554335702
interval,K000015,Q3-R005,6574.9365543357035,6970.936554335702
interval,K000015,Q3-R005,6970.9365543357035,7004.924387587656
interval,K000015,Q3-R001,7004.924387587656,7038.9122208396075
interval,K000015,Q3-R001,7038.912220839609,7180.849300886722
interval,K000013,Q3-R005,6483.736750892952,6600.51575756388
interval,K000013,Q3-R005,6600.5157575638805,6625.807322505286
interval,K000013,Q3-R005,6625.807322505287,6865.807322505286
interval,K000013,Q3-R005,6865.807322505287,6886.883626623125
interval,K000013,Q3-R005,6886.883626623126,7003.662633294052
interval,K000017,Q3-R001,7850.953059640136,8072.903919183225
interval,K000017,Q3-R001,8072.903919183227,8162.225574456663
interval,K000017,Q3-R001,8162.225574456665,8372.225574456663
interval,K000017,Q3-R001,8372.225574456665,8446.660287184528
interval,K000017,Q3-R001,8446.66028718453,8538.276122814008
interval,K000017,Q3-R006,8538.276122814008,8668.61114672762
interval,K000018,Q3-R001,7975.060846595585,8063.616573172539
interval,K000018,Q3-R001,8063.61657317254,8129.322017508476
interval,K000018,Q3-R001,8129.322017508477,8525.322017508475
interval,K000018,Q3-R001,8525.322017508477,8551.604195242853
interval,K000018,Q3-R006,8551.604195242853,8577.886372977226
interval,K000018,Q3-R006,8577.886372977227,8666.44209955418
endpoint,K000004,Q3-R004,815.7259442288588,815.7259442288588
endpoint,K000004,Q3-R004,828.629602085863,828.629602085863
endpoint,K000004,Q3-R004,841.5332599428672,841.5332599428672
endpoint,K000004,Q3-R004,854.4369177998714,854.4369177998714
endpoint,K000004,Q3-R004,867.3405756568756,867.3405756568756
endpoint,K000004,Q3-R004,880.2442335138797,880.2442335138797
endpoint,K000004,Q3-R004,893.1478913708839,893.1478913708839
endpoint,K000004,Q3-R004,906.0515492278873,906.0515492278873
endpoint,K000004,Q3-R004,906.0515492278873,906.0515492278873
endpoint,K000004,Q3-R004,906.0515492278881,906.0515492278881
endpoint,K000004,Q3-R004,938.1778675872631,938.1778675872631
endpoint,K000004,Q3-R004,970.3041859466381,970.3041859466381
endpoint,K000004,Q3-R004,1002.4305043060124,1002.4305043060124
endpoint,K000004,Q3-R004,1002.4305043060124,1002.4305043060124
endpoint,K000004,Q3-R004,1002.4305043060131,1002.4305043060131
endpoint,K000004,Q3-R004,1242.4305043060124,1242.4305043060124
endpoint,K000004,Q3-R004,1242.4305043060124,1242.4305043060124
endpoint,K000004,Q3-R004,1242.430504306013,1242.430504306013
endpoint,K000004,Q3-R004,1269.2024362721588,1269.2024362721588
endpoint,K000004,Q3-R004,1295.9743682383046,1295.9743682383046
endpoint,K000004,Q3-R004,1322.7463002044499,1322.7463002044499
endpoint,K000004,Q3-R004,1322.7463002044499,1322.7463002044499
endpoint,K000004,Q3-R004,1322.7463002044503,1322.7463002044503
endpoint,K000004,Q3-R004,1335.6499580614545,1335.6499580614545
endpoint,K000004,Q3-R004,1348.5536159184587,1348.5536159184587
endpoint,K000004,Q3-R004,1361.457273775463,1361.457273775463
endpoint,K000004,Q3-R004,1374.360931632467,1374.360931632467
endpoint,K000004,Q3-R004,1387.2645894894713,1387.2645894894713
endpoint,K000004,Q3-R004,1400.1682473464755,1400.1682473464755
endpoint,K000004,Q3-R004,1413.0719052034797,1413.0719052034797
endpoint,K000003,Q3-R004,751.5477248681468,751.5477248681468
endpoint,K000003,Q3-R004,764.8650945303367,764.8650945303367
endpoint,K000003,Q3-R004,778.1824641925266,778.1824641925266
endpoint,K000003,Q3-R004,791.4998338547165,791.4998338547165
endpoint,K000003,Q3-R004,804.8172035169064,804.8172035169064
endpoint,K000003,Q3-R004,818.1345731790963,818.1345731790963
endpoint,K000003,Q3-R004,831.4519428412862,831.4519428412862
endpoint,K000003,Q3-R004,844.769312503476,844.769312503476
endpoint,K000003,Q3-R004,858.0866821656659,858.0866821656659
endpoint,K000003,Q3-R004,871.4040518278558,871.4040518278558
endpoint,K000003,Q3-R004,884.7214214900457,884.7214214900457
endpoint,K000003,Q3-R004,898.0387911522356,898.0387911522356
endpoint,K000003,Q3-R004,911.3561608144255,911.3561608144255
endpoint,K000003,Q3-R004,924.6735304766154,924.6735304766154
endpoint,K000003,Q3-R004,937.9909001388053,937.9909001388053
endpoint,K000003,Q3-R004,951.3082698009952,951.3082698009952
endpoint,K000003,Q3-R004,964.625639463185,964.625639463185
endpoint,K000003,Q3-R004,977.9430091253748,977.9430091253748
endpoint,K000003,Q3-R004,977.9430091253748,977.9430091253748
endpoint,K000003,Q3-R004,977.9430091253749,977.9430091253749
endpoint,K000003,Q3-R004,1004.6432080999843,1004.6432080999843
endpoint,K000003,Q3-R004,1031.3434070745936,1031.3434070745936
endpoint,K000003,Q3-R004,1031.3434070745936,1031.3434070745936
endpoint,K000003,Q3-R004,1271.3434070745936,1271.3434070745936
endpoint,K000003,Q3-R004,1271.3434070745936,1271.3434070745936
endpoint,K000003,Q3-R004,1293.593572886768,1293.593572886768
endpoint,K000003,Q3-R004,1315.8437386989424,1315.8437386989424
endpoint,K000003,Q3-R004,1315.8437386989426,1315.8437386989426
endpoint,K000003,Q3-R004,1315.8437386989426,1315.8437386989426
endpoint,K000003,Q3-R004,1329.1611083611322,1329.1611083611322
endpoint,K000003,Q3-R004,1342.478478023322,1342.478478023322
endpoint,K000003,Q3-R004,1355.7958476855117,1355.7958476855117
endpoint,K000003,Q3-R004,1369.1132173477015,1369.1132173477015
endpoint,K000003,Q3-R004,1382.4305870098913,1382.4305870098913
endpoint,K000003,Q3-R004,1395.747956672081,1395.747956672081
endpoint,K000003,Q3-R004,1409.0653263342708,1409.0653263342708
endpoint,K000003,Q3-R004,1422.3826959964606,1422.3826959964606
endpoint,K000003,Q3-R004,1435.7000656586504,1435.7000656586504
endpoint,K000003,Q3-R004,1449.0174353208401,1449.0174353208401
endpoint,K000003,Q3-R004,1462.33480498303,1462.33480498303
endpoint,K000003,Q3-R004,1475.6521746452197,1475.6521746452197
endpoint,K000003,Q3-R004,1488.9695443074095,1488.9695443074095
endpoint,K000003,Q3-R004,1502.2869139695993,1502.2869139695993
endpoint,K000003,Q3-R004,1515.604283631789,1515.604283631789
endpoint,K000003,Q3-R004,1528.9216532939788,1528.9216532939788
endpoint,K000003,Q3-R004,1542.2390229561686,1542.2390229561686
endpoint,K000001,Q3-R004,969.9556953727681,969.9556953727681
endpoint,K000001,Q3-R004,982.9583862747925,982.9583862747925
endpoint,K000001,Q3-R004,995.9610771768168,995.9610771768168
endpoint,K000001,Q3-R004,1008.9637680788412,1008.9637680788412
endpoint,K000001,Q3-R004,1021.9664589808656,1021.9664589808656
endpoint,K000001,Q3-R004,1034.96914988289,1034.96914988289
endpoint,K000001,Q3-R004,1047.9718407849143,1047.9718407849143
endpoint,K000001,Q3-R004,1060.9745316869387,1060.9745316869387
endpoint,K000001,Q3-R004,1073.977222588963,1073.977222588963
endpoint,K000001,Q3-R004,1086.9799134909874,1086.9799134909874
endpoint,K000001,Q3-R004,1099.9826043930118,1099.9826043930118
endpoint,K000001,Q3-R004,1112.9852952950362,1112.9852952950362
endpoint,K000001,Q3-R004,1125.9879861970605,1125.9879861970605
endpoint,K000001,Q3-R004,1138.990677099085,1138.990677099085
endpoint,K000001,Q3-R004,1151.9933680011093,1151.9933680011093
endpoint,K000001,Q3-R004,1164.9960589031336,1164.9960589031336
endpoint,K000001,Q3-R004,1177.998749805158,1177.998749805158
endpoint,K000001,Q3-R004,1191.0014407071822,1191.0014407071822
endpoint,K000001,Q3-R004,1191.0014407071822,1191.0014407071822
endpoint,K000001,Q3-R004,1191.0014407071824,1191.0014407071824
endpoint,K000001,Q3-R001,1235.7285677823775,1235.7285677823775
endpoint,K000001,Q3-R001,1235.7285677823775,1235.7285677823775
endpoint,K000001,Q3-R001,1235.7285677823777,1235.7285677823777
endpoint,K000001,Q3-R001,1631.7285677823775,1631.7285677823775
endpoint,K000001,Q3-R001,1631.7285677823775,1631.7285677823775
endpoint,K000001,Q3-R001,1631.7285677823777,1631.7285677823777
endpoint,K000001,Q3-R001,1667.5102694425336,1667.5102694425336
endpoint,K000001,Q3-R001,1667.5102694425336,1667.5102694425336
endpoint,K000001,Q3-R001,1667.5102694425339,1667.5102694425339
endpoint,K000001,Q3-R004,1680.5129603445582,1680.5129603445582
endpoint,K000001,Q3-R004,1693.5156512465826,1693.5156512465826
endpoint,K000001,Q3-R004,1706.518342148607,1706.518342148607
endpoint,K000001,Q3-R004,1719.5210330506313,1719.5210330506313
endpoint,K000001,Q3-R004,1732.5237239526557,1732.5237239526557
endpoint,K000001,Q3-R004,1745.52641485468,1745.52641485468
endpoint,K000001,Q3-R004,1758.5291057567044,1758.5291057567044
endpoint,K000001,Q3-R004,1771.5317966587288,1771.5317966587288
endpoint,K000001,Q3-R004,1784.5344875607532,1784.5344875607532
endpoint,K000001,Q3-R004,1797.5371784627775,1797.5371784627775
endpoint,K000001,Q3-R004,1810.539869364802,1810.539869364802
endpoint,K000001,Q3-R004,1823.5425602668263,1823.5425602668263
endpoint,K000001,Q3-R004,1836.5452511688507,1836.5452511688507
endpoint,K000001,Q3-R004,1849.547942070875,1849.547942070875
endpoint,K000001,Q3-R004,1862.5506329728994,1862.5506329728994
endpoint,K000001,Q3-R004,1875.5533238749238,1875.5533238749238
endpoint,K000001,Q3-R004,1888.5560147769481,1888.5560147769481
endpoint,K000006,Q3-R004,2628.2084375080794,2628.2084375080794
endpoint,K000006,Q3-R004,2641.4992000254733,2641.4992000254733
endpoint,K000006,Q3-R004,2654.789962542867,2654.789962542867
endpoint,K000006,Q3-R004,2668.080725060261,2668.080725060261
endpoint,K000006,Q3-R004,2681.3714875776545,2681.3714875776545
endpoint,K000006,Q3-R004,2681.3714875776545,2681.3714875776545
endpoint,K000006,Q3-R004,2681.371487577655,2681.371487577655
endpoint,K000006,Q3-R004,2714.986101835467,2714.986101835467
endpoint,K000006,Q3-R004,2714.986101835467,2714.986101835467
endpoint,K000006,Q3-R004,2714.9861018354677,2714.9861018354677
endpoint,K000006,Q3-R004,2954.986101835467,2954.986101835467
endpoint,K000006,Q3-R004,2954.986101835467,2954.986101835467
